#lambda/nm	DC	C1
208.295	566.6	566.2
208.67	504.4	507
209.045	472.2	471.6
209.419	469.6	461.2
209.794	678.6	678.8
210.169	659	661.4
210.544	781.8	784.4
210.919	680.8	683.8
211.295	662.6	666
211.67	672	673.6
212.045	680.8	681.4
212.421	659.4	652.6
212.796	704.4	704.6
213.172	671.2	664.8
213.547	663.8	663.2
213.923	671.8	663.8
214.299	666	669.2
214.675	678.2	675
215.051	679.4	687.2
215.427	679.2	688.4
215.803	688.6	684.2
216.179	673	674.4
216.555	659.2	665
216.932	675	687
217.308	663.2	671
217.684	669.8	677.4
218.061	675	671.6
218.438	679	670.4
218.814	662.2	666
219.191	677.8	674.8
219.568	670.2	665.6
219.945	668.6	662.4
220.322	676.8	676.4
220.699	675.8	673.6
221.076	682.4	676.2
221.453	678	681.6
221.83	668.2	659.8
222.208	669.4	662.6
222.585	657.2	668.6
222.962	676.2	675.4
223.34	670.6	675
223.717	670.4	669.8
224.095	664.2	668.2
224.473	673.6	660.6
224.851	657	664.2
225.229	664.4	662.6
225.607	683.8	684.8
225.985	659.8	664
226.363	665.2	666.2
226.741	665	678
227.119	674	663.6
227.497	680.4	685.2
227.876	659.4	655.8
228.254	669	666.8
228.633	671.2	675.6
229.011	665.2	662.4
229.39	677.4	670
229.769	669.4	679.8
230.148	674.4	676.6
230.527	689.2	687.8
230.905	681.6	669.2
231.284	673.6	675.8
231.664	661.6	670
232.043	681	682.8
232.422	676.2	678.2
232.801	668.6	673
233.181	672.8	674.2
233.56	669.2	675.6
233.94	665.8	678.4
234.319	662.8	657.6
234.699	664.6	667.4
235.079	720	717.6
235.458	704	718.4
235.838	689.6	692.6
236.218	657	663
236.598	657.4	658.6
236.978	657	670.4
237.358	662.2	659.4
237.738	662.2	669
238.119	675.4	681
238.499	659.6	660.2
238.88	669.8	673.4
239.26	679.6	679.8
239.641	661.8	653.4
240.021	667.2	658.6
240.402	680.2	672.6
240.783	659.4	664.6
241.163	665.6	662.8
241.544	674.6	669
241.925	670.4	669
242.306	688.2	685
242.687	662.6	663.8
243.069	668.8	670
243.45	681.2	670.8
243.831	664.8	656.6
244.212	670	663.8
244.594	706.2	702.8
244.975	687.4	667.6
245.357	672	664.4
245.739	667.6	669.8
246.12	668.2	669.6
246.502	682.2	680.4
246.884	669.8	667.6
247.266	668.8	664.6
247.648	672	674.6
248.03	694	696
248.412	677	671.8
248.794	679.8	682.6
249.176	666.2	659.6
249.559	682	687
249.941	662.2	663.4
250.323	659.8	660.8
250.706	662.4	671.2
251.089	667.2	670.8
251.471	679.4	678
251.854	663.6	671
252.237	667.4	678
252.62	682.4	675.2
253.002	683	680.4
253.385	677	661.2
253.769	685	682.6
254.152	664.4	664.4
254.535	681.8	685.8
254.918	671.8	652.8
255.301	665	674.2
255.685	663	671.8
256.068	655.8	661.6
256.452	691.6	698
256.835	685.6	672
257.219	678.2	676.6
257.603	689.2	684.2
257.986	662.6	657.2
258.37	673.8	673.8
258.754	661.2	653.4
259.138	682.4	680.6
259.522	677.6	676
259.906	671.2	661
260.29	671.6	674.4
260.675	657.8	666.6
261.059	674.4	667.6
261.443	657.4	668.6
261.828	677.2	682.4
262.212	674	678.2
262.597	659.4	652.4
262.981	664	671.6
263.366	677.4	677.4
263.751	671.8	673.8
264.136	663.4	663.8
264.521	658.6	664.2
264.906	675.8	669.6
265.291	673.6	677.6
265.676	662.2	666.8
266.061	675.6	679
266.446	690.4	688.2
266.831	673.2	671.6
267.217	686	691.2
267.602	677.8	678.2
267.987	672.6	674
268.373	671.8	671.4
268.759	681.2	673.6
269.144	672.8	670.6
269.53	666.4	665.8
269.916	660	667.4
270.302	671.2	664.6
270.688	673.6	670.2
271.074	675.4	674.6
271.46	675	675.2
271.846	705	706.2
272.232	676.4	669
272.618	672.4	662.8
273.004	669.4	670.8
273.391	686.4	674
273.777	684.8	679
274.164	671.6	675
274.55	680.6	680.4
274.937	670.2	677.2
275.324	659	671
275.71	681.8	677.4
276.097	671.6	684.6
276.484	665.2	655.6
276.871	672.2	672.8
277.258	676.2	675
277.645	660	658.4
278.032	667.6	673.2
278.419	670.6	665.4
278.807	683	680.8
279.194	662.8	672.6
279.581	662.8	665.6
279.969	673	672.6
280.356	676	675.2
280.744	674.8	670
281.131	698.8	693.4
281.519	678	679.2
281.907	665.6	672.8
282.295	666.8	668
282.682	686	685.6
283.07	676.6	670.4
283.458	684.4	688.4
283.846	681.8	676.2
284.235	688.4	685.4
284.623	688.4	685.8
285.011	663.2	662
285.399	670.4	665.2
285.788	671.8	673.4
286.176	656.8	652.6
286.565	691.8	696.2
286.953	666.4	663.4
287.342	666.8	669
287.731	664	668
288.119	659	660.6
288.508	667.6	668.8
288.897	672.8	665
289.286	659.6	653.8
289.675	674.8	674.4
290.064	678	683.6
290.453	664.4	666
290.821	673	670.6
291.21	685.8	679.2
291.599	667	666
291.989	669.2	663.6
292.378	678	677.8
292.768	697.2	687.4
293.157	674.4	680
293.547	688.8	680.8
293.936	669.2	667.8
294.326	665.8	667
294.716	680	673.2
295.106	669.6	666.2
295.496	675.4	676.6
295.886	684.4	676.2
296.276	664.6	670.6
296.666	655.8	669.6
297.056	671.6	669.8
297.446	658.6	667.4
297.836	685.4	691.6
298.227	669.8	672.4
298.617	672.6	674.6
299.008	685.6	684.8
299.398	667.8	662.4
299.789	665.2	678
300.179	676.2	670.8
300.57	684	694.2
300.961	662.6	664.8
301.352	666.2	672.2
301.742	681.2	677.8
302.133	671.4	678.4
302.524	667.2	673.6
302.915	667.4	671.4
303.307	665	661
303.698	685.4	680.8
304.089	679.4	673
304.48	664	670.8
304.872	678	675.6
305.263	681.2	668.6
305.655	662.4	671
306.046	678.4	679.8
306.438	678.8	677.4
306.829	666.4	665.8
307.221	691.8	685.4
307.613	680.8	676
308.005	679.4	688.6
308.397	682	683
308.789	702.4	693.2
309.181	705.6	698
309.573	693	687.6
309.965	691	682
310.357	670.4	668
310.749	684.6	687.4
311.142	668.4	664.2
311.534	668.8	673.8
311.926	689	679.8
312.319	675.4	670.2
312.711	665	665.6
313.104	691.6	683.6
313.497	674.8	678
313.889	715	715.4
314.282	691.8	685.2
314.675	694.6	702
315.068	676.2	678.4
315.461	679.8	688.4
315.854	699.8	705
316.247	677.6	690.2
316.64	669.6	670
317.033	680.6	669.4
317.405	689.6	685.8
317.798	668.4	678.8
318.192	681.2	680.4
318.585	668.4	672.2
318.979	683.4	679.4
319.372	667.8	665.4
319.766	676.8	671
320.16	680.8	687.2
320.553	693	683.8
320.947	703.8	697.4
321.341	670.2	671.4
321.735	666.6	677.4
322.129	664.4	657.2
322.523	701.2	699.2
322.917	664	665
323.311	696	685.2
323.705	672.6	672.8
324.099	686	684.6
324.494	689.4	696.6
324.888	685	679.6
325.282	673.4	665.8
325.677	684	677.4
326.071	684.2	681.2
326.466	688.8	685
326.861	677.4	674
327.255	681.2	684.6
327.65	685.4	694
328.045	688.8	693
328.44	673.8	664.4
328.835	677.4	671.6
329.23	661	672.8
329.625	699.4	695.2
330.02	664.6	668.2
330.415	694.8	680.6
330.81	677.4	670.8
331.206	674.4	673
331.601	666.6	669.2
331.996	676.6	676.2
332.37	688	697.8
332.766	656.2	663.8
333.161	698.8	693.4
333.557	669	666.2
333.953	668.6	679.8
334.348	1072.4	1142.4
334.744	663.8	678.8
335.14	669.8	673.8
335.536	664	675.2
335.932	681	679.4
336.328	680	672.8
336.724	681.6	675
337.12	676.6	677.8
337.516	672.8	683.2
337.913	670	673.4
338.309	683.2	692.2
338.705	677	670.6
339.102	678.4	679.8
339.498	664	674.6
339.895	680.4	685.2
340.291	673.8	664.6
340.688	681	687
341.085	657.6	660.2
341.481	670.6	667.4
341.878	666.6	672.4
342.275	697	693
342.672	661.8	667.4
343.069	672.8	667.4
343.466	659.4	662
343.842	677.8	686
344.239	662.2	667
344.636	667.8	674.6
345.033	664.8	662.6
345.431	658.4	663
345.828	669.8	668.8
346.225	667.8	663.6
346.623	714	702.2
347.02	676.4	669.4
347.418	678.8	680.6
347.816	690	692.2
348.213	661.8	662.2
348.611	670.6	674.4
349.009	663.6	678.6
349.407	692	693.4
349.805	661.2	656.6
350.203	661.8	665
350.601	684.6	683.4
350.999	666.6	665.6
351.397	745.8	727.2
351.795	673.2	674
352.193	679	676
352.57	676.6	675.2
352.969	683.4	684.8
353.367	669	660.2
353.766	665.6	659
354.164	666.4	659.6
354.563	676.6	685
354.961	672.6	662.6
355.36	667.4	664.4
355.759	664.8	670
356.158	664	663.4
356.557	668.4	661.6
356.956	668.2	662
357.355	656.8	655.6
357.754	679.8	671.8
358.153	669.2	671.4
358.552	701.2	696.2
358.951	664	679.8
359.35	678	674.2
359.75	661.8	667.8
360.149	659	666.6
360.527	656	653.6
360.926	651.8	667.4
361.326	674.6	672
361.726	667	667.8
362.125	660.2	657.2
362.525	682.8	673.8
362.925	663.4	660.6
363.325	670.2	667.8
363.724	660.4	669.4
364.124	659.8	661.8
364.524	668	656.2
364.924	663.6	659.2
365.324	684	673.6
365.725	645.6	658.6
366.125	672	676.2
366.525	664	668
366.904	658.8	652.4
367.304	648.8	654
367.705	685.4	685.4
368.105	678.4	677.4
368.506	668.4	655.8
368.906	665.8	666.4
369.307	660.8	665.6
369.708	680.8	665
370.108	649.8	653.2
370.509	670.8	676
370.91	661	658.4
371.311	671	666.4
371.712	670	673.8
372.113	664.8	668.6
372.514	649.8	654
372.894	661.4	666.6
373.295	662.2	659.4
373.696	675.4	674.8
374.097	675	676
374.499	697.8	694.2
374.9	675.2	661
375.301	663.2	662.4
375.703	668.8	670
376.105	656	659.2
376.506	668	661.8
376.908	674	674.2
377.309	665	660.6
377.711	665.8	665.8
378.113	662.4	661.8
378.493	671.8	667
378.895	662.8	661.8
379.297	672.4	677.6
379.699	640.4	650.8
380.102	666.6	671.2
380.504	668.8	658.4
380.906	656.2	657.6
381.308	693.2	684.2
381.71	657.6	664.4
382.113	674.6	674.6
382.515	664.6	656.8
382.918	673.6	673.6
383.299	666.6	667.8
383.701	677.4	667.8
384.104	674.6	670.2
384.507	648.8	653.2
384.909	661	669.6
385.312	651.2	650.6
385.715	650.2	650.4
386.118	672.2	661
386.521	650.8	653.8
386.924	667.8	677.8
387.327	655.8	656.8
387.709	647.4	647.6
388.112	649.6	657.2
388.515	659.8	665.8
388.918	668	662.8
389.322	666.4	663
389.725	660.2	661
390.129	684.6	688.4
390.532	669.8	672.8
390.936	661	667.4
391.339	650.2	656.6
391.743	658.2	672
392.125	659.4	653
392.529	673.2	675
392.933	679.2	671
393.337	663.6	658.4
393.74	655	675.2
394.144	664.8	662.8
394.548	658.6	657.8
394.953	667	657.8
395.357	670.2	665.8
395.761	667.8	661.4
396.144	666.4	669.2
396.548	661	662
396.952	672.8	664.4
397.357	668.2	668.8
397.761	664	658.2
398.166	672	663.8
398.57	661	659.8
398.975	659.4	648.6
399.379	659	667.4
399.763	710.4	722.8
400.168	659.6	665
400.572	660.6	666
400.977	660.6	671.6
401.382	691.4	693.2
401.787	669.4	674
402.192	680.6	680.6
402.597	679.8	672.4
403.002	657.2	657.8
403.386	678	679
403.791	681	686.2
404.197	657.4	659.6
404.602	664	672.2
405.007	664.8	666.6
405.413	662.4	661.2
405.818	662.2	669.8
406.224	658.8	655.4
406.608	667.4	667.4
407.014	649.6	660.4
407.42	685	679
407.825	670	661
408.231	683.6	673.8
408.637	665.4	679.6
409.043	685	682.8
409.449	656	666
409.834	663.4	656.6
410.24	675.8	668.4
410.646	680.4	676.6
411.052	670.6	679
411.458	667.4	674
411.865	678	668.2
412.271	673.4	671.6
412.677	669.4	669
413.062	681.6	671.4
413.469	659.2	656
413.875	694	692.4
414.282	687.6	686.4
414.689	664.6	670.6
415.095	667.8	672.8
415.502	660.4	652.6
415.888	666.2	667
416.294	653	659.8
416.701	705.4	709.8
417.108	661.6	649.8
417.515	672.8	673.2
417.923	664.4	659.6
418.33	695.8	685.4
418.715	682	678
419.123	661.8	662.8
419.53	663	661.6
419.937	666	670
420.345	688.8	690.4
420.752	658.8	666.8
421.16	676.6	682.2
421.546	663.2	665.2
421.953	673.8	674.6
422.361	648.8	653.8
422.769	666.2	659
423.177	663.6	652.6
423.585	693.6	694.4
423.992	698	695.4
424.379	681.6	684.4
424.787	669.6	674.6
425.195	695.4	678.4
425.603	667.4	667
426.011	683	677
426.419	680.8	685
426.806	667.4	669.2
427.214	669.8	685.2
427.623	677.2	676
428.031	687.8	684
428.44	676	671.4
428.848	686.8	686.6
429.235	676	687.6
429.644	669.6	667.4
430.053	673.2	668.2
430.461	689.4	679.6
430.87	688.4	699
431.279	677	683.8
431.666	655.4	666.2
432.075	677	670.4
432.484	671	670.4
432.893	666.4	660.6
433.302	684.4	687.2
433.711	721.4	713.8
434.099	677.2	676
434.508	656.6	661
434.918	659	660
435.327	678.4	674
435.737	664.6	667.8
436.125	670.6	670
436.534	668.6	671.8
436.944	669.8	667
437.353	670.8	666.6
437.763	689.4	693.8
438.173	661.2	667.4
438.561	675.8	676
438.971	655.2	650.8
439.381	667	664.8
439.791	667.6	673.2
440.201	644.4	646.4
440.589	665.2	673.2
440.999	669	673.2
441.409	665.2	667
441.819	657.6	657.6
442.23	675.8	678.8
442.619	678.8	683.4
443.029	668.8	664.6
443.439	669.2	668
443.85	674	679.4
444.26	679.2	688.8
444.649	672.2	676.2
445.06	660.8	677.6
445.471	667.6	660.6
445.881	662.2	672.2
446.292	679.4	684.2
446.682	694.6	697
447.092	648.2	659
447.503	718.2	725.6
447.914	668.4	666.6
448.325	667.2	665.4
448.715	660	670.4
449.126	665.8	660.6
449.537	667	666.6
449.948	666.2	667.2
450.338	669.4	669.6
450.75	676.4	679.8
451.161	671.4	677.4
451.572	681.8	678.6
451.984	663.6	660.4
452.374	653.8	651
452.786	667.8	659
453.197	673.2	670.6
453.609	673	676.4
453.999	649.2	657.4
454.411	653.4	655.2
454.823	681.2	680.6
455.235	672.4	669.8
455.647	662.2	662.6
456.037	674.4	666.2
456.449	649	644
456.862	670	668.6
457.274	673.2	672.2
457.665	666.4	653
458.077	669	674.2
458.489	702.8	689
458.902	666	663.8
459.293	670.4	662
459.705	660.6	661.8
460.118	664.2	662.6
460.53	667	671.2
460.921	662.8	661.6
461.334	670.4	666.2
461.747	660.4	664.4
462.16	683.8	682.2
462.551	682.2	682.4
462.964	672.8	679.2
463.377	652.6	651.2
463.79	663.8	656.6
464.182	671.4	680.6
464.595	647.6	657.8
465.008	663.4	659.2
465.421	668	666.4
465.813	656.4	668.4
466.226	673.2	673.2
466.64	658.2	663.6
467.053	709.4	712.8
467.445	670	673
