#lambda/nm	DC	C1
208.295	570.6	570
208.67	509.8	505
209.045	474.6	470
209.419	468	465.2
209.794	677.6	677
210.169	660.8	662.4
210.544	813.6	809.4
210.919	715.8	713
211.295	697.6	685.8
211.67	705.8	695.2
212.045	714.2	702.2
212.421	697.4	696.6
212.796	738.8	742.6
213.172	699.6	703.2
213.547	702.8	698.6
213.923	711	705
214.299	705.4	705.6
214.675	706.2	713.4
215.051	711.2	711.4
215.427	724.8	723.8
215.803	732.6	729.8
216.179	722.6	725.6
216.555	703.8	719
216.932	728.8	728.8
217.308	725.8	730.4
217.684	715.8	724
218.061	717	730.4
218.438	729	730.2
218.814	721.8	731.8
219.191	742.6	733.8
219.568	725.6	732.4
219.945	739.2	731.8
220.322	740	740.4
220.699	749	741.8
221.076	741.6	743.4
221.453	749.2	740.4
221.83	743	737.6
222.208	738.2	739.6
222.585	742.2	744.2
222.962	745.2	756.6
223.34	748.6	754
223.717	747.8	747.8
224.095	753.2	747.8
224.473	755.4	754
224.851	749.8	749.4
225.229	746	754.4
225.607	780.8	781.6
225.985	746.8	758
226.363	764.2	771
226.741	760.4	763.8
227.119	760.4	760.4
227.497	786.2	789
227.876	757	764
228.254	776	785.6
228.633	773.4	779.8
229.011	772.6	771.6
229.39	784.6	784.4
229.769	780	781.2
230.148	784.2	795.8
230.527	797	807.4
230.905	787.8	782.6
231.284	789.2	786.8
231.664	797	779.8
232.043	809	816.2
232.422	806.4	803.8
232.801	804.2	793.2
233.181	812.2	817.8
233.56	803	805
233.94	818.6	808
234.319	808.2	803.6
234.699	816.4	815.8
235.079	875.6	856.4
235.458	870.6	876.6
235.838	844.4	845.8
236.218	835.4	830.8
236.598	820	814
236.978	833.8	835.6
237.358	834.6	834
237.738	842.6	836
238.119	848.8	868.6
238.499	839.2	846.2
238.88	860.2	846.2
239.26	877	870.4
239.641	848.6	855.4
240.021	857.2	858
240.402	865.6	865.2
240.783	859.8	869.6
241.163	872.2	865.8
241.544	869.6	866
241.925	875	868.4
242.306	886.6	880.4
242.687	866	855.8
243.069	858.8	869
243.45	871.2	876
243.831	862.6	858.8
244.212	855.4	861.2
244.594	885.4	902.8
244.975	857.2	868.4
245.357	854.6	852
245.739	840	846.4
246.12	844.4	847.6
246.502	854.2	851.6
246.884	837.8	826.8
247.266	817.6	821.8
247.648	832.4	826.6
248.03	831	827.8
248.412	804.2	808.4
248.794	804	799.6
249.176	797.6	789.2
249.559	790.2	801.6
249.941	779.4	783.6
250.323	767	770.8
250.706	760	771.6
251.089	767.2	766.6
251.471	765.2	772.6
