#lambda/nm	DC	C1
208.295	572.6	565.4
208.67	509.2	512.4
209.045	472	467
209.419	466.8	467
209.794	682	680
210.169	670	665.6
210.544	809.8	812.2
210.919	716.6	713.4
211.295	698	697.4
211.67	703.6	702.6
212.045	699.4	706.8
212.421	691.6	701
212.796	745.4	742.8
213.172	701	696.8
213.547	700	703.2
213.923	716	700.6
214.299	706.2	699.8
214.675	710.2	723.2
215.051	711	721.8
215.427	723.6	713.8
215.803	729.4	726.4
216.179	723	722.6
216.555	710.6	717.6
216.932	741	735.8
217.308	718.6	717
217.684	726.8	719.4
218.061	731.4	728.2
218.438	736	734.6
218.814	736.6	724.2
219.191	744	745.2
219.568	728.4	734.4
219.945	736	738.8
220.322	746.6	745.8
220.699	749.6	741.8
221.076	740.2	749.6
221.453	747.2	746.2
221.83	741	741
222.208	737.2	747.6
222.585	744.6	742.8
222.962	756.6	755.4
223.34	753.2	753.2
223.717	755	752.2
224.095	752.2	755.6
224.473	755.6	759.6
224.851	748.4	751.6
225.229	748.6	744.6
225.607	784.4	773.4
225.985	759.6	752
226.363	768.6	766.4
226.741	759.8	762.4
227.119	764.8	765.8
227.497	780	778.2
227.876	751.6	758.2
228.254	783	775
228.633	778.2	776.6
229.011	776.2	788.8
229.39	782	777.2
229.769	787.6	789.4
230.148	801.4	781.4
230.527	807.8	806
230.905	788.6	793.2
231.284	794.6	792.2
231.664	780	785.8
232.043	809.4	802.4
232.422	806.2	806
232.801	797.2	790
233.181	807.6	806
233.56	814	811
233.94	814	801
234.319	805.4	807
234.699	825.2	812.2
235.079	857	869.2
235.458	867.6	866
235.838	846.4	853
236.218	819.2	819.6
236.598	823	826.2
236.978	838.8	834
237.358	829	842.6
237.738	834.6	849.2
238.119	855.6	855.2
238.499	838.6	835
238.88	857.6	841
239.26	873.8	869.2
239.641	850.6	850
240.021	846	867
240.402	869.4	856.6
240.783	863	865.6
241.163	868.8	866
241.544	870.2	863.2
241.925	872	872.2
242.306	892.8	879.2
242.687	871	858.6
243.069	877.8	864.2
243.45	880	874
243.831	858.2	859
244.212	860.8	855.2
244.594	912	900
244.975	874	876
245.357	860.2	854
245.739	840.4	839.8
246.12	851	844.4
246.502	846.8	852
246.884	834	826.6
247.266	827.8	815.6
247.648	816.8	820
248.03	839	830.4
248.412	816.4	811.8
248.794	810.2	806
249.176	794	790.8
249.559	806.6	805.6
249.941	776	779.2
250.323	763.8	760.4
250.706	772.2	761.6
251.089	770.6	769.2
251.471	756.8	769.6
251.854	763.4	758.4
252.237	764.2	754.6
252.62	767.4	761.8
253.002	753.4	746.4
253.385	746.2	754.4
253.769	753.8	755.2
254.152	740.4	750.8
254.535	744.8	742.4
254.918	718.8	724
255.301	728.4	736
255.685	735.6	728.6
256.068	722.2	721.2
256.452	755.2	760.4
256.835	727	743.6
257.219	733	732.4
257.603	745	746.4
257.986	714.2	702.6
258.37	725.8	734.8
258.754	707	705.4
259.138	721.2	733
259.522	728.8	722.4
259.906	710	717.6
260.29	722.8	719.6
260.675	717.8	712.2
261.059	716.8	716.2
261.443	702	709.6
261.828	723.4	727.2
262.212	717.2	722
262.597	704.2	706
262.981	703.2	714.2
263.366	717	728.4
263.751	716.2	712.4
264.136	703.6	717.4
264.521	712.2	710.4
264.906	711.2	707.2
265.291	722.2	721.6
265.676	713	709.8
266.061	718.4	717.6
266.446	727.6	738.2
266.831	713.6	714.2
267.217	738.2	730.2
267.602	715	722
267.987	713.8	716.6
268.373	715.2	707
268.759	726.6	731.6
269.144	727.4	719.4
269.53	714.6	712.8
269.916	709.2	701.4
270.302	707.6	705
270.688	728.6	719.6
271.074	714.2	716.6
271.46	726	728.2
271.846	752.6	748
272.232	716.4	710.8
272.618	713.8	716.8
273.004	709.8	712
273.391	726.6	721.8
273.777	741.4	738.8
274.164	722.8	720.2
274.55	737.8	731.6
274.937	718	720.6
275.324	717.2	713.2
275.71	725.6	723.6
276.097	721.2	727.2
276.484	704.6	709.2
276.871	718.2	722.4
277.258	717.8	718.4
277.645	711.4	705
278.032	714.8	724
278.419	718.4	714.6
278.807	718	716.6
279.194	700.6	701.6
279.581	703.4	701
279.969	726	727.8
280.356	714.4	717.2
280.744	715	716
281.131	735	742.8
281.519	723.6	713.6
281.907	709.6	710.2
282.295	713.8	713.4
282.682	726.4	728.6
283.07	711.2	715.6
283.458	732.2	717.2
283.846	722	735.2
284.235	730	730.8
284.623	720.2	718.8
285.011	708.4	717
285.399	715.4	713.2
285.788	710.8	713.4
286.176	704.6	703.8
286.565	728.8	725.2
286.953	708.6	706.6
287.342	713.4	719.6
287.731	719.8	712.2
288.119	709.8	714.8
288.508	714.2	709
288.897	723.6	722.4
289.286	703.2	698.4
289.675	715.4	722
290.064	730.4	719
290.453	719.2	720
290.821	722.8	712.8
291.21	729.8	739.8
291.599	714.8	713.8
291.989	719	726.6
292.378	734.4	731.4
292.768	744.8	741.2
293.157	729	734.8
293.547	725.6	728.4
293.936	714.2	719.2
294.326	718.6	712
294.716	714	723.6
295.106	718.8	706.2
295.496	725.8	723.8
295.886	730.6	729.8
296.276	725.4	720.8
296.666	718.2	715.8
297.056	712.2	720
297.446	713.6	706
297.836	726.4	734.8
298.227	720.8	719.6
298.617	722.8	728.4
299.008	730	731.6
299.398	713	718.8
299.789	713.4	707.8
300.179	726.2	731.4
300.57	730	737.4
300.961	721	719.8
301.352	707.2	717.2
301.742	730.4	730.6
302.133	721.6	719.2
302.524	721.4	722.4
302.915	728.2	725.8
303.307	710	702.2
303.698	723.2	729.6
304.089	731.4	729.4
304.48	717.4	717.6
304.872	734.8	724.2
305.263	716.2	723.6
305.655	718.6	721.2
306.046	728.4	723
306.438	728.6	734.4
306.829	716.6	725.4
307.221	740.8	743.4
307.613	731.8	728.4
308.005	733.8	735.4
308.397	741.2	731
308.789	748.8	742.6
309.181	753.8	747.8
309.573	742	744.4
309.965	735.2	736.8
310.357	719.8	730
310.749	737.6	737
311.142	711.4	709.4
311.534	719	727.4
311.926	736.2	733.6
312.319	722.6	727
312.711	729.4	723
313.104	744.4	737.4
313.497	729.2	727.2
313.889	776	785.6
314.282	764.4	757.6
314.675	771.6	784
315.068	771.2	774.8
315.461	798.2	799.4
315.854	840.6	839.2
316.247	839.6	841.4
316.64	835.4	842.8
317.033	860.6	859.4
317.405	863.2	863.2
317.798	854.8	856.2
318.192	871.2	865.6
318.585	835.8	840
318.979	833.4	842.4
319.372	801.4	794.6
319.766	784.6	786
320.16	797	792.2
320.553	781	776.4
320.947	787.6	787
321.341	760.4	756.8
321.735	760	750.8
322.129	753	747.8
322.523	788.4	791
322.917	753.2	759.2
323.311	784.2	771.8
323.705	773	770.6
324.099	770.8	783.4
324.494	786.2	788
324.888	796.2	792.8
325.282	770.6	779
325.677	787.4	792.6
326.071	789	787.8
326.466	796.6	785.8
326.861	798.8	790.4
327.255	800.6	800.2
327.65	799.4	809.4
328.045	811.2	801.2
328.44	797	789.4
328.835	786.4	783.8
329.23	787	794.2
329.625	816.6	814.8
330.02	801.2	786.6
330.415	822.8	831.4
330.81	808	801.4
331.206	819.4	797.6
331.601	803.8	792.6
331.996	812.6	812.8
332.37	819.4	836.6
332.766	803.2	797.8
333.161	830.4	835.8
333.557	804.6	802.4
333.953	825.4	817.8
334.348	1105.8	1176
334.744	818.8	819.6
335.14	819.4	816.6
335.536	816	814.6
335.932	850	845.4
336.328	846.2	845.6
336.724	871.6	856.6
337.12	856.6	852.8
337.516	869	865
337.913	881.2	883.4
338.309	896.8	898.6
338.705	885.8	868.4
339.102	893.2	893.2
339.498	887.4	880.4
339.895	882.6	899
340.291	868.4	860.2
340.688	870.2	877.8
341.085	863	866.2
341.481	858	855.6
341.878	864.2	855.8
342.275	878	888.6
342.672	851.2	851.4
343.069	852.6	854.4
343.466	844	861.6
343.842	861.6	875.2
344.239	876.2	854
344.636	861.6	864.2
345.033	859.2	857.8
345.431	862.8	852
345.828	873.6	879
346.225	853.6	864.6
346.623	917.4	901.2
347.02	880.8	874.4
347.418	892.4	882.6
347.816	887.6	891.4
348.213	869.4	871.2
348.611	877.2	890.4
349.009	874.2	881
349.407	896	898.2
349.805	871.6	875.2
350.203	870	866.4
350.601	899.2	894.2
350.999	878	884.2
351.397	945.8	941.8
351.795	895	892
352.193	896.2	886.4
352.57	892.8	888.8
352.969	901	898.6
353.367	872.2	868.4
353.766	875.6	864.4
354.164	875.4	876.2
354.563	890.8	879.6
354.961	880.2	871.4
355.36	866.4	873.6
355.759	874	865.8
356.158	853	862.4
356.557	861	850.8
356.956	863.2	852.8
357.355	847	858.6
357.754	866.6	865
358.153	866.4	865.4
358.552	881.4	879.6
358.951	856.6	858
359.35	870.2	867.6
359.75	849.8	853.2
360.149	843	844.6
360.527	836.2	842.8
360.926	836.2	845.2
361.326	850.6	841
361.726	845.2	845.8
362.125	833	832.8
362.525	857	840.8
362.925	836	844.2
363.325	853.8	842
363.724	834.4	841.8
364.124	817.6	834.2
364.524	831.6	827.4
364.924	848	848
365.324	874.8	860.6
365.725	866.4	859.8
366.125	944.4	943.8
366.525	1049.8	1049
366.904	1236.4	1224
367.304	1490.8	1493.2
367.705	1818.2	1814.6
368.105	2095.2	2088
368.506	2350.8	2337.4
368.906	2548.8	2543.6
369.307	2665.2	2702.4
369.708	2753.6	2752.4
370.108	2743	2742.4
370.509	2668.6	2644.6
370.91	2389.4	2371.8
371.311	2089	2093
371.712	1793.2	1794.6
372.113	1507.4	1500
372.514	1256	1249.2
372.894	1094.6	1085.6
373.295	971	977
373.696	913.2	918.8
374.097	882.2	867.4
374.499	864.6	869
374.9	836.4	826.4
375.301	811	814.8
375.703	824.8	815.2
376.105	805.8	804.8
376.506	819.8	811
376.908	811.8	816.8
377.309	802.6	812.6
377.711	816.6	813.6
378.113	804	814.2
378.493	819	814.6
378.895	808.4	806.4
379.297	821	819.4
379.699	798.4	798.8
380.102	819.6	833.8
380.504	813.8	823.6
380.906	823.4	829
381.308	851.4	862
381.71	848.8	843.2
382.113	862.2	862
382.515	851.4	859.8
382.918	864.4	876.2
383.299	868.4	863
383.701	874.2	890
384.104	870.6	883
384.507	854.2	861.6
384.909	876.6	891.6
385.312	860.6	858.4
385.715	864.2	876.6
386.118	865	871.6
386.521	864.6	860.6
386.924	886.2	884.4
387.327	860.8	864.8
387.709	856.8	852.8
388.112	849.6	841.6
388.515	852.4	865.6
388.918	849.4	854.2
389.322	849	858.8
389.725	844	846.6
390.129	856	868.4
390.532	853.2	854.8
390.936	833	841
391.339	822.6	833
391.743	846	861
392.125	829.8	850.2
392.529	857.6	862.2
392.933	859.8	881.2
393.337	855	871.4
393.74	850.8	872.6
394.144	862.4	867.6
394.548	859.2	869.2
394.953	869.2	890.4
395.357	888.2	893
395.761	873.6	879.4
396.144	881.6	887.4
396.548	872.8	878.4
396.952	866.8	880.4
397.357	888.8	887
397.761	880.6	877.4
398.166	879.8	894.8
398.57	886.2	897
398.975	884.6	896
399.379	906.4	918
399.763	959.2	970.2
400.168	912.2	921.8
400.572	930.2	930.6
400.977	933	953.2
401.382	964.4	978.2
401.787	954.4	973
402.192	991.4	990.8
402.597	1000.8	1003.2
403.002	985.4	996.4
403.386	1029.8	1026.2
403.791	1076.4	1078
404.197	1095	1109
404.602	1215.2	1212.4
405.007	1444.4	1467.6
405.413	1864.8	1890
405.818	2816.8	2868.2
406.224	4496.6	4603.8
406.608	6767.2	6861.8
407.014	9046.6	9207.4
407.42	11218.8	11326.2
407.825	13010.4	13214.8
408.231	14558.4	14803.2
408.637	15574.8	15802.8
409.043	16221	16534.6
409.449	16265.8	16609.4
409.834	15629	15831.8
410.24	13830.6	13983
410.646	11587.2	11720.6
411.052	9500.6	9606.8
411.458	7676	7778.2
411.865	6221.8	6334
412.271	5135.2	5223.2
412.677	4366	4424.2
413.062	3784	3815.4
413.469	3319.4	3353.8
413.875	3008.6	3033.6
414.282	2798.6	2813
414.689	2636.6	2661.6
415.095	2576.6	2579.8
415.502	2538.6	2549.6
415.888	2551.4	2558.2
416.294	2591.2	2597.6
416.701	2684.8	2737.4
417.108	2746.2	2749.8
417.515	2847.2	2856
417.923	2941.8	2944.6
418.33	3048.4	3060.8
418.715	3124.2	3157.2
419.123	3219.6	3235.6
419.53	3326	3335.8
419.937	3438.4	3419.2
420.345	3538.8	3529.4
420.752	3608.8	3626
421.16	3718.4	3730.8
421.546	3789.6	3801
421.953	3917.6	3911.8
422.361	3976.8	3987.4
422.769	4073.4	4099.6
423.177	4173.2	4174.8
423.585	4305.2	4323.4
423.992	4427.6	4392
424.379	4498.8	4506.4
424.787	4632	4624.8
425.195	4738.8	4764.8
425.603	4827.8	4851
426.011	4956.2	5023
