#lambda/nm	C1
208.295	531.6
208.67	488.6
209.045	455.6
209.419	450.4
209.794	682.6
210.169	662
210.544	804.8
210.919	692.6
211.295	682
211.67	677.6
212.045	686.2
212.421	680.4
212.796	724.2
213.172	681.8
213.547	679
213.923	683.4
214.299	689.6
214.675	692.4
215.051	686
215.427	702.8
215.803	708.2
216.179	683.2
216.555	679.6
216.932	698.2
217.308	679.6
217.684	681
218.061	679.8
218.438	683.4
218.814	670
219.191	689.2
219.568	668.4
219.945	674.2
220.322	690
220.699	684.4
221.076	695.2
221.453	688.6
221.83	680.2
222.208	676.8
222.585	681.6
222.962	683.8
223.34	681
223.717	681.4
224.095	686.8
224.473	685.2
224.851	672.4
225.229	673.6
225.607	691.2
225.985	669
226.363	678.4
226.741	685.8
227.119	682.4
227.497	689.2
227.876	668
228.254	686.8
228.633	688.6
229.011	680.4
229.39	689.6
229.769	689.6
230.148	688.6
230.527	702
230.905	685
231.284	691.2
231.664	673.6
232.043	700.4
232.422	698.2
232.801	670.4
233.181	685.8
233.56	683
233.94	680.6
234.319	667.6
234.699	678.6
235.079	732.2
235.458	728.8
235.838	704
236.218	680
236.598	669.6
236.978	672.2
237.358	672.8
237.738	684.6
238.119	693.8
238.499	677.4
238.88	692.4
239.26	705.4
239.641	676.6
240.021	672.2
240.402	691
240.783	678
241.163	681.2
241.544	689.6
241.925	690.4
242.306	704.4
242.687	683.8
243.069	689.6
243.45	692.8
243.831	680.2
244.212	663.6
244.594	730.2
244.975	697.6
245.357	685.8
245.739	686.2
246.12	688
246.502	700.2
246.884	685
247.266	678.8
247.648	688.4
248.03	709.8
248.412	690.2
248.794	688
249.176	682
249.559	694.6
249.941	680.6
250.323	680.4
250.706	673
251.089	688
251.471	685.8
251.854	683.4
252.237	680
252.62	690.8
253.002	688.8
253.385	679.6
253.769	705
254.152	687.8
254.535	689.8
254.918	664.2
255.301	686.8
255.685	686.2
256.068	675.2
256.452	709
256.835	707.4
257.219	696
257.603	696.6
257.986	677.6
258.37	686.4
258.754	671.6
259.138	693.8
259.522	696.6
259.906	690.2
260.29	693.2
260.675	680.8
261.059	683.2
261.443	672.4
261.828	693
262.212	696.6
262.597	669.2
262.981	677.6
263.366	690.6
263.751	678.6
264.136	673.4
264.521	680
264.906	679.8
265.291	691.6
265.676	679.2
266.061	691
266.446	697.4
266.831	690.6
267.217	699
267.602	682
267.987	689.2
268.373	680.6
268.759	686.2
269.144	686.6
269.53	681.8
269.916	676.2
270.302	677.2
270.688	682.8
271.074	676.8
271.46	700.2
271.846	727
272.232	681.6
272.618	686.2
273.004	686.6
273.391	694
273.777	698.6
274.164	683.6
274.55	705
274.937	688.4
275.324	685.2
275.71	693.6
276.097	699
276.484	671.6
276.871	692.8
277.258	698.4
277.645	678.4
278.032	686
278.419	680.8
278.807	686.2
279.194	678.6
279.581	678
279.969	694.8
280.356	695.6
280.744	682.6
281.131	719
281.519	692.4
281.907	686
282.295	668.2
282.682	703.4
283.07	690.6
283.458	689
283.846	693
284.235	709.2
284.623	695.2
285.011	678.6
285.399	679.8
285.788	688.2
286.176	678.8
286.565	700.4
286.953	664.6
287.342	675.4
287.731	671.2
288.119	665.4
288.508	674
288.897	679.4
289.286	671.4
289.675	678.6
290.064	700.8
290.453	684.8
290.821	676.4
291.21	695.8
291.599	684.6
291.989	682
292.378	687.2
292.768	712.2
293.157	692.2
293.547	697
293.936	680.8
294.326	684
294.716	687.8
295.106	680
295.496	701.4
295.886	696
296.276	689.4
296.666	686.2
297.056	679.6
297.446	675
297.836	709.6
298.227	678.2
298.617	690.4
299.008	701.8
299.398	681.4
299.789	683
300.179	700.6
300.57	705.8
300.961	687.8
301.352	688.2
301.742	696.6
302.133	682.4
302.524	678.4
302.915	692.2
303.307	670.8
303.698	693
304.089	692.8
304.48	676.8
304.872	687.4
305.263	685.6
305.655	682.2
306.046	684.8
306.438	682.8
306.829	681
307.221	701.6
307.613	690.2
308.005	691.6
308.397	709.6
308.789	708.8
309.181	717.8
309.573	700.6
309.965	690.8
310.357	686.2
310.749	698
311.142	673.8
311.534	688.2
311.926	699.4
312.319	686
312.711	673.4
313.104	702.6
313.497	675.6
313.889	729
314.282	708.2
314.675	719.6
315.068	685
315.461	694.4
315.854	724.8
316.247	695.6
316.64	682.6
317.033	693
317.405	702
317.798	692.8
318.192	686.6
318.585	677.2
318.979	697.2
319.372	685.6
319.766	684.6
320.16	694.2
320.553	705
320.947	711
321.341	687.2
321.735	686.8
322.129	678.6
322.523	712.4
322.917	683.6
323.311	706.2
323.705	693
324.099	695
324.494	698
324.888	706.2
325.282	685
325.677	710.4
326.071	701
326.466	702.2
326.861	689.4
327.255	708.4
327.65	714
328.045	713.2
328.44	690.8
328.835	682.8
329.23	682.2
329.625	712.2
330.02	680
330.415	719.8
330.81	691.6
331.206	700.6
331.601	687.8
331.996	693.6
332.37	702.2
332.766	673.4
333.161	719.4
333.557	677.2
333.953	679.8
334.348	1023.2
334.744	683.6
335.14	682.2
335.536	683.6
335.932	701.6
336.328	684
336.724	699
337.12	693.8
337.516	689.2
337.913	688.2
338.309	712
338.705	699.4
339.102	697.2
339.498	676.8
339.895	696
340.291	690
340.688	694.2
341.085	687.6
341.481	683.4
341.878	684.8
342.275	712.6
342.672	673.2
343.069	680.2
343.466	667
343.842	690.2
344.239	680.6
344.636	681.4
345.033	676.4
345.431	681.2
345.828	679.6
346.225	678.4
346.623	725.6
347.02	684.6
347.418	690.6
347.816	700.4
348.213	682.2
348.611	690
349.009	676.8
349.407	707.6
349.805	672
350.203	680.2
350.601	693.2
350.999	686.6
351.397	767
351.795	690.8
352.193	698.6
352.57	695.2
352.969	707.6
353.367	677.8
353.766	675.2
354.164	684
354.563	701
354.961	680.8
355.36	685.4
355.759	686.2
356.158	674.6
356.557	689
356.956	678
357.355	675.6
357.754	688.6
358.153	690.2
358.552	714.2
358.951	675.2
359.35	688.4
359.75	687.8
360.149	674
360.527	666.2
360.926	677.4
361.326	688.4
361.726	675.2
362.125	667
362.525	691.4
362.925	686
363.325	685.8
363.724	681
364.124	676.2
364.524	685.2
364.924	681
365.324	704
365.725	665
366.125	693
366.525	683.8
366.904	674
367.304	655.4
367.705	698.6
368.105	691.4
368.506	679.8
368.906	683
369.307	677.4
369.708	689.2
370.108	659.8
370.509	686.8
370.91	667.6
371.311	680.4
371.712	680.4
372.113	680
372.514	664.4
372.894	675.6
373.295	666.2
373.696	691.8
374.097	686.6
374.499	714.2
374.9	683.2
375.301	667.4
375.703	679.2
376.105	667.2
376.506	680.8
376.908	687.2
377.309	681.2
377.711	685
378.113	673.4
378.493	684
378.895	673.8
379.297	692.2
379.699	666.2
380.102	684.2
380.504	681.4
380.906	676
381.308	713.8
381.71	679.8
382.113	694
382.515	679.8
382.918	676.2
383.299	672.6
383.701	687.4
384.104	687.4
384.507	655.4
384.909	678.4
385.312	676.2
385.715	665.8
386.118	676
386.521	665.4
386.924	682.2
387.327	679.8
387.709	668.6
388.112	653.4
388.515	670.6
388.918	678.2
389.322	689.4
389.725	674.4
390.129	701.2
390.532	673.4
390.936	679.4
391.339	662.6
391.743	671.2
392.125	666.4
392.529	679
392.933	693
393.337	670.2
393.74	671.8
394.144	676.2
394.548	662.6
394.953	678.4
395.357	677
395.761	675.2
396.144	671.6
396.548	666.2
396.952	678.6
397.357	682.4
397.761	674
398.166	679.4
398.57	674
398.975	669.6
399.379	679.6
399.763	730.6
400.168	679.2
400.572	677.8
400.977	672.2
401.382	686.2
401.787	681.6
402.192	699
402.597	696.8
403.002	666.2
403.386	692.8
403.791	694.8
404.197	668.4
404.602	681.8
405.007	687.2
405.413	672.2
405.818	661.8
406.224	674.2
406.608	678.8
407.014	668
407.42	702.2
407.825	673
408.231	695
408.637	683.8
409.043	694
409.449	670
409.834	675.4
410.24	676
410.646	695.8
411.052	691.8
411.458	679.8
411.865	687.2
412.271	689.6
412.677	680.2
413.062	676.4
413.469	668.8
413.875	707.6
414.282	698.4
414.689	689
415.095	690.8
415.502	672
415.888	681.4
416.294	656
416.701	725.4
417.108	677
417.515	688.2
417.923	684
418.33	700.2
418.715	684.6
419.123	686.2
419.53	681.6
419.937	683.6
420.345	704
420.752	667.2
421.16	697.2
421.546	684.6
421.953	690.4
422.361	670
422.769	686
423.177	672.4
423.585	709.6
423.992	702.4
424.379	698.4
424.787	696
425.195	709.6
425.603	688.6
426.011	701
426.419	697
426.806	684.6
427.214	680.8
427.623	692.4
428.031	697.2
428.44	691.4
428.848	702
429.235	701.6
429.644	685.6
430.053	686.8
430.461	707.8
430.87	713
431.279	694.8
431.666	682.2
432.075	678.6
432.484	688.2
432.893	691.8
433.302	701.4
433.711	730.8
434.099	690
434.508	675.8
434.918	675.6
435.327	691.6
435.737	690.6
436.125	683.6
436.534	689.6
436.944	675
437.353	691.6
437.763	702.8
438.173	673
438.561	689.8
438.971	662.8
439.381	681.8
439.791	696.2
440.201	665.8
440.589	685.4
440.999	692.4
441.409	695.2
441.819	681.2
442.23	691.2
442.619	703.2
443.029	699.6
443.439	700
443.85	711
444.26	724.2
444.649	705
445.06	701.4
445.471	695
445.881	698
446.292	718.6
446.682	725.4
447.092	686.8
447.503	752.8
447.914	697.4
448.325	705.6
448.715	700.2
449.126	702.2
449.537	703.4
449.948	697
450.338	704.2
450.75	718.8
451.161	704.2
451.572	717.4
451.984	700.6
452.374	693.8
452.786	708.2
453.197	714
453.609	717.6
453.999	694.2
454.411	702
454.823	713.8
455.235	717.2
455.647	712
456.037	721.6
456.449	699.2
456.862	711.8
457.274	716
457.665	702
458.077	716.4
458.489	754
458.902	709.6
459.293	713.8
459.705	708.2
460.118	709.6
460.53	723
460.921	714.2
461.334	720
461.747	716.6
462.16	732.4
462.551	735.4
462.964	720
463.377	701.2
463.79	717.4
464.182	729.2
464.595	704.4
465.008	720.2
465.421	721
465.813	715.4
466.226	721
466.64	714.6
467.053	768.6
467.445	724.6
467.859	736.4
468.272	725.4
468.686	732.2
469.078	708.2
469.492	706.4
469.906	713.2
470.298	723.8
470.712	715.2
471.126	778
471.54	709
471.933	705.2
472.347	712
472.761	712.6
473.175	701
473.568	714.2
473.982	710.6
474.397	723
474.79	710
475.204	724.2
475.619	719.4
476.033	717.6
476.426	720.2
476.841	709.6
477.256	734.8
477.649	711
478.064	709.6
478.479	712.2
478.872	705.2
479.287	691.2
479.702	703.8
480.118	708.8
480.511	716.2
480.927	716.2
481.342	708.6
481.736	713.4
482.151	700.8
482.566	732.4
482.96	712.6
483.376	724.4
483.792	711.6
484.186	719.6
484.602	708.8
485.017	721
485.412	719.2
485.827	720
486.243	717
486.638	747.4
487.054	721.6
487.47	739.4
487.865	709.6
488.281	708.4
488.697	710
489.092	711.6
489.508	700.6
489.925	724.2
490.32	698.6
490.736	724.6
491.153	722
491.548	721.6
491.964	726.2
492.381	693.4
492.776	716
493.193	719.2
493.61	710
494.006	713.6
494.422	719.6
494.84	701
495.235	713.4
495.652	706.2
496.069	708.4
496.465	692.6
496.883	701.6
497.3	744.8
497.696	708.8
498.113	711.6
498.509	688.6
498.927	684
499.344	689.8
499.741	698.6
500.158	713.2
500.576	719.8
500.973	715.4
501.39	698
501.787	702.2
502.205	709.4
502.623	697
503.02	701.4
503.438	701.6
503.856	714
504.253	707.4
504.671	709
505.068	697.6
505.486	699.8
505.905	721.4
506.302	704.6
506.72	711.2
507.118	699
507.536	699
507.955	703.4
508.352	716.2
508.771	703.2
509.169	701.6
509.587	697.8
510.006	693.4
510.404	693.8
510.823	701.6
511.221	693.6
511.64	696.6
512.038	715.8
512.457	699.6
512.877	692
513.275	699.2
513.694	698
514.092	699.2
514.512	702.8
514.91	695.8
515.33	693.8
515.749	696
516.148	694.4
516.568	695.6
516.966	692.6
517.386	684.4
517.785	697.8
518.205	687.2
518.603	680.6
519.024	676.2
519.444	690.4
519.843	697.8
520.263	716
520.662	698.2
521.082	691.8
521.481	700.8
521.902	699.8
522.301	696.6
522.722	701.4
523.121	690.4
523.542	694.8
523.963	693.4
524.362	695.6
524.783	697.2
525.183	685.6
525.604	693
526.003	678.2
526.425	689
526.824	690.4
527.246	700.6
527.646	700.2
528.067	687.6
528.467	697.6
528.888	688.6
529.289	684
529.71	705.4
530.11	677.6
530.532	693.2
530.932	680.8
531.354	672
531.755	723
532.176	694
532.577	694
532.999	688.4
533.4	682.6
533.822	696
534.223	684.4
534.645	684.2
535.046	679
535.468	685.2
535.869	700.6
536.292	683.4
536.693	724.8
537.115	688.2
537.516	676
537.939	679.4
538.34	707.8
538.742	694
539.165	688.6
539.566	692
539.989	674.4
540.391	675.6
540.814	681.2
541.216	683.2
541.639	691.4
542.041	692.8
542.464	679
542.866	677
543.268	672.8
543.691	689.8
544.093	684
544.517	699.2
544.919	670.8
545.343	701
545.745	665.8
546.147	685
546.571	678.6
546.974	673
547.398	682.6
547.8	689.6
548.224	676.2
548.627	671
549.03	685.2
549.454	668
549.857	669.4
550.281	674.4
550.684	671.4
551.087	691.2
551.512	678
551.915	685.6
552.34	677.4
552.743	668.6
553.146	673.2
553.571	686.8
553.975	700.4
554.399	662
554.803	737.8
555.207	680
555.632	676.2
556.036	679.4
556.461	669.2
556.865	678.4
557.268	674.2
557.694	666.6
558.098	681
558.502	686.2
558.927	672.8
559.332	672.4
559.736	678.6
560.162	683
560.566	666.2
560.992	683.2
561.396	678
561.801	670
562.227	681
562.631	671.6
563.036	673.8
563.462	688
563.867	669.4
564.272	660.2
564.698	678.4
565.103	659.4
565.508	697.8
565.935	676.2
566.34	673.6
566.745	687
567.172	675.4
567.577	701.2
567.982	683.6
568.409	676
568.815	662.6
569.22	685.4
569.626	677
570.053	659
570.459	673.2
570.865	677
571.292	678
571.698	676.6
572.104	655.8
572.531	671.2
572.937	678
573.343	677.4
573.75	670.8
574.177	672
574.583	676.4
574.99	665.8
575.396	674.4
575.824	674
576.231	680.8
576.637	671
577.065	693
577.472	656.6
577.879	661.8
578.286	678.4
578.714	660.6
579.121	652.2
579.528	671.8
579.935	685
580.364	663.2
580.771	652.2
581.178	657.4
581.585	674.6
582.014	667.4
582.421	653.4
582.829	663.2
583.236	677.6
583.644	659.6
584.073	665
584.481	671
584.889	660.6
585.296	671.8
585.726	665
586.134	653.4
586.542	659.8
586.95	689.4
587.358	657.8
587.787	663.4
588.196	650.4
588.604	662
589.012	667.2
589.421	655.4
589.851	666.2
590.259	663.4
590.668	663.4
591.076	703.4
591.485	661.6
591.894	672.8
592.324	669.8
592.733	675.4
593.142	657.8
593.551	654.8
593.96	704.8
594.369	658.4
594.8	653.6
595.209	652.6
595.618	650.6
596.028	659.4
596.437	650.8
596.847	661.8
597.256	671.4
597.687	678.4
598.097	663.6
598.507	656
598.917	665.4
599.327	664.4
599.736	666
600.146	678
600.556	654.6
600.988	668.6
601.398	656.8
601.808	675.6
602.219	644
602.629	661.8
603.039	660.8
603.45	691.2
603.86	650.8
604.271	680
604.703	652.8
605.114	671
605.525	666
605.935	672.6
606.346	686.4
606.757	664
607.168	665
607.579	656.8
607.99	678.8
608.402	664
608.813	672
609.224	654.8
609.636	651
610.047	656.8
610.48	667.8
610.892	676.8
611.303	668.8
611.715	664.6
612.127	659.4
612.539	660.4
612.95	661.2
613.362	652
613.774	644
614.186	657.2
614.599	663.6
615.011	673.8
615.423	658.6
615.835	661.4
616.248	657.4
616.66	675.4
617.073	655.4
617.485	655.2
617.898	666.2
618.311	662.2
618.723	664.8
619.136	691.8
619.549	677
619.962	677.4
620.375	662.2
620.788	664.6
621.201	649.4
621.614	672.2
622.028	655.2
622.441	669.2
622.854	675.4
623.268	650.4
623.681	665.4
624.095	666.8
624.509	676.4
624.922	671.6
625.336	651.6
625.728	661.6
626.142	667.2
626.556	678.8
626.97	665
627.384	662
627.799	663.4
628.213	678.6
628.627	655.4
629.041	660.6
629.456	662
629.87	655
630.285	676.8
630.699	667.4
631.093	661.4
631.507	670.2
631.922	675.2
632.337	676.6
632.752	652.2
633.167	659.4
633.582	660
633.997	659.6
634.412	659.4
634.806	656.8
635.221	652.2
635.637	674.2
636.052	651
636.468	655.4
636.883	687.2
637.299	671.4
637.715	644
638.109	662
638.525	642
638.941	682.4
639.357	671.2
639.773	677
640.189	655.8
640.584	661.2
641	666.2
641.416	648.8
641.832	652.4
642.249	659.6
642.665	656.4
643.06	669.2
643.477	670.8
643.894	644
644.31	654.4
644.727	663.6
645.123	662.2
645.54	646
645.957	660.6
646.374	669.2
646.77	656.6
647.187	689.6
647.604	664.2
648.021	645.6
648.439	649.8
648.835	661.6
649.252	661.2
649.67	657.2
650.088	667.4
650.484	663
650.902	661.8
651.32	654.2
651.738	659.4
652.134	665.4
652.552	681.4
652.971	667.6
653.389	657.8
653.786	679.2
654.204	681.2
654.622	650
655.019	659
655.438	666.8
655.857	667
656.275	663.6
656.673	648.6
657.091	742.8
657.51	651.4
657.908	679.6
658.327	681.2
658.746	656.6
659.144	664.2
659.563	674.6
659.982	661.6
660.38	651
660.8	659.2
661.219	666.6
661.617	672.6
662.037	661.8
662.457	674
662.855	649.4
663.275	695.6
663.695	657.6
664.094	649.6
664.514	661.4
664.934	651
665.333	670.4
665.753	651.4
666.152	648.8
666.572	651
666.993	682.8
667.392	653.8
667.812	656.8
668.212	656.6
668.632	666.8
669.053	656.6
669.453	670.6
669.874	659.8
670.273	664.4
670.694	651.2
671.116	663.4
671.515	666.6
671.937	656
672.337	655.2
672.758	656.2
673.158	667
673.58	644.6
673.98	662.4
674.402	661.6
674.824	655
675.224	665.6
675.646	646.6
676.047	649
676.469	664.8
676.869	667.8
677.292	666
677.693	658
678.115	650.6
678.516	669.8
678.939	666.6
679.34	653.8
679.762	671.4
680.164	664.6
680.586	643.2
680.988	655.2
681.411	690.4
681.812	648.6
682.236	647.6
682.637	645.8
683.061	654.2
683.462	661.2
683.864	656.6
684.288	657
684.69	645.2
685.114	673
685.516	665.4
685.94	646.8
686.342	662.4
686.766	653.4
687.168	655.6
687.571	671.8
687.995	662.6
688.398	636.6
688.822	650
689.225	675
689.628	678.6
690.052	660.8
690.456	667.2
690.88	656.4
691.284	644.6
691.687	670.2
692.112	648
692.515	647.2
692.919	660.2
693.344	660.8
693.747	659.4
694.173	651.8
694.577	669.4
694.98	658.6
695.406	650.8
695.81	664
696.214	665.8
696.64	657.2
697.044	664.2
697.448	663
697.874	655.4
698.279	651.8
698.684	652.2
699.11	654.2
699.514	653.2
699.919	650
700.324	647.4
700.75	662
701.156	659.8
701.561	668.6
701.987	668.2
702.393	673.2
702.798	670.8
703.203	646.8
703.63	637.8
704.036	650.8
704.442	662.8
704.847	641.8
705.274	644.4
705.68	665.2
706.086	670.8
706.492	636.8
706.92	651.6
707.326	658
707.732	655.2
708.139	650.8
708.545	651.6
708.973	650
709.38	648.6
709.786	640.4
710.193	671
710.6	658.8
711.028	642.8
711.435	661
711.842	658
712.249	647.2
712.656	661
713.064	673
713.492	638.6
713.9	648.2
714.307	660
714.715	650
715.123	658
715.53	663.2
715.938	674.6
716.367	656.8
716.775	656
717.184	655.6
717.592	650
718	673.6
718.408	699.4
718.816	704.8
719.225	664.6
719.633	663.2
720.042	650.8
720.472	649
720.881	680.6
721.29	658.8
721.699	649
722.108	661.2
722.517	656
722.926	643.2
723.335	674
723.744	650.8
724.154	656.6
724.563	658.4
724.973	658.8
725.382	659.6
725.792	650.6
726.202	642.4
726.612	679.6
727.022	660
727.432	652.6
779.813	652.4
780.223	699.4
780.634	655.6
781.044	640.6
781.454	645
781.865	668.2
782.276	649.2
782.686	669.8
783.097	660.8
783.508	646.6
783.919	657.6
784.33	675.6
784.741	669.2
785.152	640.6
785.563	639.4
