#lambda/nm	C1
208.295	539.2
208.67	483
209.045	450
209.419	455.2
209.794	680.4
210.169	666
210.544	796.4
210.919	691.2
211.295	674.4
211.67	686.8
212.045	676.6
212.421	676
212.796	724.4
213.172	679.6
213.547	670.2
213.923	682
214.299	676.8
214.675	686
215.051	686.8
215.427	691
215.803	693.6
216.179	681.6
216.555	673.8
216.932	695
217.308	688.6
217.684	675.4
218.061	687.6
218.438	687.4
218.814	684.2
219.191	686.8
219.568	677
219.945	682.8
220.322	688
220.699	693.2
221.076	693.6
221.453	690.8
221.83	676.4
222.208	676
222.585	671.2
222.962	693.8
223.34	688.4
223.717	667.6
224.095	677.6
224.473	681.4
224.851	678.8
225.229	666.4
225.607	696.6
225.985	671.8
226.363	684.8
226.741	684.2
227.119	674.8
227.497	699.2
227.876	668.2
228.254	694
228.633	691.6
229.011	681.4
229.39	693.6
229.769	684.2
230.148	690.4
230.527	704.4
230.905	676.4
231.284	676.4
231.664	675.6
232.043	693.2
232.422	691
232.801	677.2
233.181	686.6
233.56	678.4
233.94	684.6
234.319	664.4
234.699	677
235.079	724
235.458	717.8
235.838	707
236.218	670.8
236.598	673.6
236.978	674.6
237.358	676.2
237.738	673.4
238.119	684
238.499	664.2
238.88	687
239.26	703.6
239.641	669.6
240.021	683.4
240.402	684.6
240.783	680.2
241.163	676.8
241.544	682.6
241.925	687.4
242.306	697.4
242.687	678.4
243.069	684.8
243.45	698
243.831	679.8
244.212	674
244.594	727.4
244.975	695.6
245.357	680.6
245.739	680.6
246.12	680.4
246.502	697
246.884	672.8
247.266	691.4
247.648	685.4
248.03	703.8
248.412	687.2
248.794	684.8
249.176	679.6
249.559	693.6
249.941	671
250.323	665.2
250.706	676.4
251.089	679.2
251.471	682.8
251.854	677.8
252.237	683.6
252.62	693.8
253.002	682.6
253.385	677.4
253.769	700.6
254.152	670.2
254.535	692.8
254.918	666.2
255.301	676
255.685	676
256.068	671
256.452	710.2
256.835	697
257.219	695.2
257.603	700
257.986	678.2
258.37	698
258.754	673.6
259.138	691
259.522	697.2
259.906	693.6
260.29	680.6
260.675	681.2
261.059	692.6
261.443	677.8
261.828	692.4
262.212	694.2
262.597	671.4
262.981	671.8
263.366	696
263.751	681.6
264.136	681.2
264.521	674.6
264.906	677.6
265.291	693.6
265.676	681.4
266.061	685.6
266.446	700
266.831	688.6
267.217	701.8
267.602	682.8
267.987	678.6
268.373	679.8
268.759	696.8
269.144	691.6
269.53	682.2
269.916	677
270.302	673.6
270.688	690.6
271.074	688.2
271.46	695.8
271.846	712.8
272.232	686.8
272.618	680.6
273.004	677.4
273.391	693.4
273.777	698.6
274.164	693.2
274.55	692.4
274.937	686.8
275.324	685.4
275.71	688.6
276.097	692.6
276.484	669.6
276.871	687.4
277.258	685.8
277.645	668.2
278.032	681.8
278.419	679.2
278.807	697
279.194	670.6
279.581	677
279.969	694.8
280.356	681.8
280.744	691.6
281.131	716.2
281.519	690
281.907	676.4
282.295	680.8
282.682	703.2
283.07	693.6
283.458	695
283.846	694.2
284.235	700.2
284.623	693.2
285.011	666.8
285.399	681
285.788	685.8
286.176	670
286.565	691.4
286.953	670.6
287.342	679
287.731	678.8
288.119	681
288.508	684.8
288.897	682.4
289.286	672.8
289.675	686
290.064	692.2
290.453	682
290.821	685
291.21	710.2
291.599	680.8
291.989	686.6
292.378	689.8
292.768	709.4
293.157	688.4
293.547	686.6
293.936	680.2
294.326	684.6
294.716	686.8
295.106	683.8
295.496	695.2
295.886	694.4
296.276	681.6
296.666	678
297.056	685.2
297.446	669
297.836	706.8
298.227	685.6
298.617	682.4
299.008	699.2
299.398	700
299.789	686.4
300.179	692.2
300.57	699.4
300.961	682
301.352	681.6
301.742	690.4
302.133	690.8
302.524	681.2
302.915	687.8
303.307	685.4
303.698	691.2
304.089	686.4
304.48	682.4
304.872	695.8
305.263	686.8
305.655	677.6
306.046	690.8
306.438	686.8
306.829	676.8
307.221	702.2
307.613	696
308.005	691.4
308.397	705.4
308.789	703.2
309.181	720.4
309.573	708.6
309.965	702.6
310.357	690
310.749	701.8
311.142	677
311.534	686.2
311.926	696.6
312.319	696.8
312.711	674.8
313.104	696.8
313.497	690.2
313.889	735.4
314.282	705.4
314.675	717.4
315.068	682.8
315.461	690.6
315.854	721.4
316.247	701.8
316.64	687
317.033	691.2
317.405	690.4
317.798	690.8
318.192	689.4
318.585	679.4
318.979	689.4
319.372	674.2
319.766	683.2
320.16	695.6
320.553	703
320.947	717.8
321.341	684.2
321.735	688
322.129	666.4
322.523	721
322.917	684.6
323.311	696.4
323.705	687.2
324.099	686.4
324.494	703.6
324.888	696.2
325.282	681.8
325.677	699.2
326.071	699
326.466	697.4
326.861	694
327.255	706.4
327.65	696.6
328.045	706
328.44	681.8
328.835	688
329.23	679.4
329.625	715.6
330.02	679.8
330.415	709.8
330.81	693.2
331.206	685
331.601	682.2
331.996	694.4
332.37	715
332.766	678.8
333.161	712
333.557	681.4
333.953	697.2
334.348	1178.6
334.744	685.6
335.14	679
335.536	682.6
335.932	705.6
336.328	691.4
336.724	698.4
337.12	693.2
337.516	680
337.913	688
338.309	700.4
338.705	686.6
339.102	692.6
339.498	680.8
339.895	711.8
340.291	678.2
340.688	694.4
341.085	676
341.481	689.2
341.878	680.2
342.275	704.6
342.672	681.2
343.069	693.4
343.466	661
343.842	696.8
344.239	678
344.636	678.8
345.033	671.4
345.431	680.8
345.828	685.6
346.225	680.4
346.623	718.8
347.02	680.6
347.418	693.2
347.816	709.2
348.213	675.6
348.611	693
349.009	678.4
349.407	698
349.805	671.2
350.203	666.6
350.601	700
350.999	685
351.397	735
351.795	680.2
352.193	689
352.57	697.2
352.969	694
353.367	673.8
353.766	674.6
354.164	681.8
354.563	695
354.961	678
355.36	675.4
355.759	682.8
356.158	677.8
356.557	667.2
356.956	667.8
357.355	675.6
357.754	684.6
358.153	687.4
358.552	706.6
358.951	673.2
359.35	689.6
359.75	673
360.149	673.4
360.527	660.8
360.926	673.4
361.326	683.8
361.726	670.8
362.125	671.4
362.525	690.8
362.925	679.2
363.325	679.6
363.724	680
364.124	677.4
364.524	675.8
364.924	684.6
365.324	691.4
365.725	654.4
366.125	682.2
366.525	680
366.904	666
367.304	668
367.705	714.8
368.105	692.8
368.506	681.4
368.906	673.6
369.307	676.4
369.708	683.8
370.108	668.6
370.509	685
370.91	682.6
371.311	679.8
371.712	681.4
372.113	673.6
372.514	662
372.894	677.6
373.295	672.2
373.696	683.8
374.097	686.2
374.499	722.8
374.9	673.2
375.301	669.6
375.703	672
376.105	672.8
376.506	675.2
376.908	682.2
377.309	674.4
377.711	685.4
378.113	676
378.493	675.4
378.895	676.8
379.297	694.2
379.699	667.4
380.102	680.2
380.504	672.6
380.906	667.2
381.308	702.4
381.71	677.8
382.113	686.6
382.515	678.2
382.918	688.6
383.299	670.6
383.701	695.6
384.104	670.6
384.507	653.8
384.909	678.2
385.312	667.6
385.715	665.2
386.118	675
386.521	658
386.924	680.4
387.327	673
387.709	654.6
388.112	670.4
388.515	677
388.918	676.6
389.322	680.6
389.725	667.2
390.129	706
390.532	675
390.936	665.2
391.339	672.6
391.743	674
392.125	668.2
392.529	688.4
392.933	687.4
393.337	676.4
393.74	666.8
394.144	683.4
394.548	667.4
394.953	679.2
395.357	685.4
395.761	670.2
396.144	674.6
396.548	675.8
396.952	682.4
397.357	666.2
397.761	672
398.166	678.6
398.57	670
398.975	662
399.379	685
399.763	733.2
400.168	676.6
400.572	678
400.977	669
401.382	696.4
401.787	690.2
402.192	697.8
402.597	700
403.002	655.8
403.386	706.8
403.791	699.4
404.197	671.4
404.602	682.2
405.007	680.8
405.413	672
405.818	675.6
406.224	668.6
406.608	671
407.014	664.8
407.42	692
407.825	669.2
408.231	689.8
408.637	674.6
409.043	704
409.449	676.4
409.834	671.8
410.24	688
410.646	692.6
411.052	683.2
411.458	687
411.865	690
412.271	689
412.677	678.2
413.062	686.2
413.469	674.4
413.875	707
414.282	694.6
414.689	681.6
415.095	684.4
415.502	667.2
415.888	686
416.294	657.8
416.701	723.4
417.108	677.6
417.515	693.4
417.923	674.8
418.33	697.2
418.715	689.4
419.123	677
419.53	679.6
419.937	681.2
420.345	695.6
420.752	683.4
421.16	697.2
421.546	684.8
421.953	687.4
422.361	674.2
422.769	678.8
423.177	672.4
423.585	702.2
423.992	703
424.379	695.4
424.787	687.4
425.195	711.6
425.603	676.4
426.011	695.8
426.419	693.8
426.806	688.8
427.214	685.6
427.623	689.8
428.031	694.4
428.44	691.6
428.848	697
429.235	696
429.644	689.4
430.053	689.8
430.461	699.2
430.87	712.4
431.279	704.6
431.666	677
432.075	691.2
432.484	698.4
432.893	685.8
433.302	703
433.711	729.2
434.099	684.4
434.508	678.6
434.918	666.4
435.327	695.6
435.737	675.8
436.125	682.8
436.534	691.8
436.944	691
437.353	696.2
437.763	712.2
438.173	686.4
438.561	699.4
438.971	669.4
439.381	702.2
439.791	701
440.201	675.2
440.589	700.8
440.999	718.6
441.409	714
441.819	688.4
442.23	719
442.619	717.4
443.029	704.2
443.439	711.8
443.85	725.4
444.26	729
444.649	722.6
445.06	718.6
445.471	725.2
445.881	721.2
446.292	747.4
446.682	743.2
447.092	712.6
447.503	785.6
447.914	730
448.325	729.6
448.715	730
449.126	730.6
449.537	731.4
449.948	738.2
450.338	738.6
450.75	744.4
451.161	745.2
451.572	747.6
451.984	732.6
452.374	727.8
452.786	736.6
453.197	754.6
453.609	748.2
453.999	734.4
454.411	732
454.823	751
455.235	750
455.647	737.6
456.037	749.4
456.449	733.8
456.862	756
457.274	754.4
457.665	741.2
458.077	763.6
458.489	790.2
458.902	758.8
459.293	754.4
459.705	753
460.118	744.4
460.53	765.6
460.921	751.4
461.334	760.6
461.747	755.8
462.16	766
462.551	768.4
462.964	773.2
463.377	748.2
463.79	760.8
464.182	760.6
464.595	752.4
465.008	773.2
465.421	768
465.813	759.8
466.226	768.4
466.64	770.4
467.053	828.4
467.445	785.6
467.859	787.8
468.272	778
468.686	782.8
469.078	770.6
469.492	754.2
469.906	774.8
470.298	792.2
470.712	763.4
471.126	842.2
471.54	759.8
471.933	758.4
472.347	767.8
472.761	763.2
473.175	762
473.568	761.6
473.982	766.4
474.397	768.4
474.79	769.8
475.204	772.6
475.619	764.8
476.033	770.6
476.426	768
476.841	764.6
