#lambda/nm	C1
208.295	541
208.67	486.8
209.045	446.8
209.419	454.2
209.794	677.6
210.169	657
210.544	806.2
210.919	686.6
211.295	667
211.67	679.8
212.045	681.6
212.421	674.2
212.796	719.8
213.172	681.2
213.547	673.6
213.923	671.4
214.299	670.4
214.675	693.2
215.051	678.6
215.427	695.4
215.803	709.4
216.179	688.2
216.555	670.4
216.932	691.8
217.308	671.4
217.684	673
218.061	680.4
218.438	673.4
218.814	676.4
219.191	691.2
219.568	681.4
219.945	674.6
220.322	685
220.699	686.8
221.076	698
221.453	680.6
221.83	685
222.208	674.2
222.585	676.8
222.962	690.4
223.34	689
223.717	685.4
224.095	686.6
224.473	678.4
224.851	680.6
225.229	672.6
225.607	697.2
225.985	667.6
226.363	686.2
226.741	676
227.119	681.4
227.497	704
227.876	667.6
228.254	689.8
228.633	687.4
229.011	690.6
229.39	688
229.769	688.6
230.148	691.2
230.527	700.8
230.905	683.4
231.284	684.8
231.664	679.4
232.043	709.4
232.422	699.4
232.801	673.8
233.181	699.8
233.56	679.6
233.94	679.4
234.319	669.6
234.699	681.8
235.079	726.4
235.458	731
235.838	713
236.218	679.6
236.598	678.2
236.978	681
237.358	673.6
237.738	673.6
238.119	689.6
238.499	670.4
238.88	675.2
239.26	701.2
239.641	671
240.021	669.6
240.402	675.6
240.783	676.6
241.163	674.6
241.544	690
241.925	674.4
242.306	694.2
242.687	675.4
243.069	685.4
243.45	693
243.831	670.8
244.212	673
244.594	715.6
244.975	689.8
245.357	681.2
245.739	688.6
246.12	679.6
246.502	707
246.884	676.4
247.266	687
247.648	688.8
248.03	709.8
248.412	690.4
248.794	690.2
249.176	688.4
249.559	693.6
249.941	681.6
250.323	672.2
250.706	674.2
251.089	686.4
251.471	689
251.854	685.8
252.237	681.6
252.62	690.4
253.002	682.8
253.385	686.2
253.769	701.4
254.152	687.8
254.535	686.2
254.918	674.6
255.301	668
255.685	674.4
256.068	668.2
256.452	710
256.835	690.6
257.219	687
257.603	702.4
257.986	672.4
258.37	689.4
258.754	673
259.138	696.2
259.522	707.2
259.906	680.4
260.29	683.4
