#lambda/nm	C1
208.295	530.8
208.67	486.2
209.045	445.2
209.419	447
209.794	681.2
210.169	658.6
210.544	798.4
210.919	685.8
211.295	671.8
211.67	682
212.045	667.2
212.421	679.8
212.796	717
213.172	671.2
213.547	683.4
213.923	675.8
214.299	671.4
214.675	687.4
215.051	685
215.427	692.6
215.803	696.8
216.179	686.4
216.555	680.4
216.932	686.6
217.308	676.8
217.684	678.2
218.061	685.2
218.438	679
218.814	677.8
219.191	692
219.568	679.4
219.945	682.2
220.322	693.8
220.699	689.6
221.076	685.6
221.453	687
221.83	677.6
222.208	680.8
222.585	680.2
222.962	678
223.34	688
223.717	674.6
224.095	682.4
224.473	683
224.851	682.8
225.229	671
225.607	701
225.985	670
226.363	688.6
226.741	688.2
227.119	679.8
227.497	692.4
227.876	673.2
228.254	687
228.633	688.6
229.011	677.4
229.39	675.4
229.769	687.4
230.148	683.4
230.527	709.4
230.905	687
231.284	679.8
231.664	679.2
232.043	694.4
232.422	688.2
232.801	685.2
233.181	694.6
233.56	674.2
233.94	678.4
234.319	665.8
234.699	672
235.079	727.6
235.458	732.8
235.838	704.2
236.218	677.8
236.598	676.8
236.978	678.4
237.358	669.6
237.738	673.4
238.119	684.8
238.499	675.4
238.88	695.4
239.26	705.2
239.641	669.8
240.021	674.4
240.402	682.6
240.783	682.8
241.163	679.6
241.544	683.4
241.925	676.6
242.306	697.8
242.687	667.6
243.069	691.6
243.45	692.8
243.831	679.4
244.212	676.4
244.594	726.4
244.975	698.6
245.357	684.8
245.739	675.2
246.12	686.2
246.502	699
246.884	682
247.266	687.4
247.648	689.4
248.03	701.8
248.412	686.2
248.794	695.4
249.176	678.2
249.559	701.6
249.941	677.4
250.323	666.6
250.706	673.6
251.089	689.6
251.471	688.4
251.854	678.6
252.237	688
252.62	690
253.002	683.6
253.385	683
253.769	705.4
254.152	682
254.535	686.2
254.918	675
255.301	675.4
255.685	673.4
256.068	670.6
256.452	703.2
256.835	696.2
257.219	681.6
257.603	705.2
257.986	674
258.37	685.4
258.754	665.2
259.138	691.8
259.522	698
259.906	677.4
260.29	682.2
260.675	684.6
261.059	689
261.443	670
261.828	681.2
262.212	689.8
262.597	664.2
262.981	677.4
263.366	685.6
263.751	690.6
264.136	682.4
264.521	682.2
264.906	678.8
265.291	691.8
265.676	675.8
266.061	686.2
266.446	701.2
266.831	692.4
267.217	709.6
267.602	685.6
267.987	683.4
268.373	681.4
268.759	695.2
269.144	688.4
269.53	679.6
269.916	682.2
270.302	679.8
270.688	696.2
271.074	677.6
271.46	704.2
271.846	723.6
272.232	682
272.618	679.4
273.004	676.6
273.391	694.8
273.777	694.4
274.164	690.6
274.55	704.4
274.937	699.8
275.324	689.8
275.71	696.8
276.097	699.4
276.484	675
276.871	683.8
277.258	681.6
277.645	669.4
278.032	680.8
278.419	677.6
278.807	683.2
279.194	680.6
279.581	669.8
279.969	689.4
280.356	684.6
280.744	683.6
281.131	706.4
281.519	693
281.907	678.6
282.295	681
282.682	698.8
283.07	693
283.458	692.8
283.846	692.4
284.235	693.8
284.623	692.8
285.011	677
285.399	684.8
285.788	689
286.176	673.4
286.565	697.6
286.953	674
287.342	678.2
287.731	674.4
288.119	681.2
288.508	676.2
288.897	683
289.286	670.2
289.675	680.2
290.064	698.2
290.453	680.8
290.821	688.6
291.21	695.4
291.599	675.6
291.989	668
292.378	692.2
292.768	698.8
293.157	681
293.547	686.4
293.936	671.2
294.326	669
294.716	679.4
295.106	670.8
295.496	686.2
295.886	685.8
296.276	674.4
296.666	672.8
297.056	669.2
297.446	665
297.836	692
298.227	679.2
298.617	688.2
299.008	697.4
299.398	677.2
299.789	676
300.179	691.2
300.57	693.8
300.961	686
301.352	673.6
301.742	695
302.133	680
302.524	674.8
302.915	682.2
303.307	672
303.698	686.6
304.089	684.6
304.48	681.8
304.872	683.4
305.263	679.6
305.655	678.6
306.046	693.4
306.438	692.2
306.829	673.4
307.221	702.6
307.613	693.6
308.005	697.6
308.397	704
308.789	705.2
309.181	714.8
309.573	710
309.965	692.6
310.357	682.6
310.749	699.8
311.142	676.8
311.534	687.8
311.926	700.2
312.319	686.2
