#lambda/nm	C1
208.295	541
208.67	493
209.045	457
209.419	458.2
209.794	690.6
210.169	669.4
210.544	809.4
210.919	698.8
211.295	677.4
211.67	689
212.045	698.4
212.421	676.2
212.796	732.4
213.172	683.8
213.547	683.2
213.923	686.6
214.299	685.4
214.675	698.6
215.051	689.8
215.427	694.4
215.803	709.6
216.179	693
216.555	676.8
216.932	697.4
217.308	688.6
217.684	680
218.061	687.6
218.438	693.6
218.814	681.6
219.191	692
219.568	674.6
219.945	682.4
220.322	693.2
220.699	697
221.076	697.4
221.453	696.4
221.83	685
222.208	685.8
222.585	687.2
222.962	697.2
223.34	687.2
223.717	690.6
224.095	688
224.473	693.4
224.851	677.8
225.229	686.2
225.607	705.2
225.985	669.6
226.363	692.4
226.741	682
227.119	681
227.497	702.8
227.876	671.4
228.254	697.6
228.633	703
229.011	687.2
229.39	693.6
229.769	691.4
230.148	701.6
230.527	708.8
230.905	690.2
231.284	685.2
231.664	690
232.043	707.8
232.422	694.6
232.801	676.2
233.181	696.6
233.56	684.8
233.94	692.8
234.319	677
234.699	692.2
235.079	739.6
235.458	730.2
235.838	709.8
236.218	682.2
236.598	669.6
236.978	684.2
237.358	679.2
237.738	682.4
238.119	691
238.499	677.4
238.88	681
239.26	701.4
239.641	679
240.021	683.4
240.402	682.4
240.783	686.4
241.163	679.2
241.544	683.8
241.925	679.2
242.306	701.6
242.687	682.4
243.069	688.6
243.45	696.4
243.831	682
244.212	680
244.594	730.2
244.975	699.6
245.357	690
245.739	675.4
246.12	680.8
246.502	701.8
246.884	690.2
247.266	687.8
247.648	691.6
248.03	711.6
248.412	689
248.794	694.2
249.176	680
249.559	696.8
249.941	674.2
250.323	676
250.706	678.2
251.089	683.6
251.471	689.8
251.854	695.4
252.237	680.2
252.62	703.6
253.002	693
253.385	691.6
253.769	705.4
254.152	688.4
254.535	689
254.918	681.6
255.301	691.2
255.685	684.2
256.068	681.6
256.452	718.2
256.835	698
257.219	700.4
257.603	705
257.986	681.4
258.37	699
258.754	672
259.138	691.6
259.522	700.8
259.906	685
260.29	693.4
260.675	689.6
261.059	681.2
261.443	675.8
261.828	700.8
262.212	689.6
262.597	674.2
262.981	678.2
263.366	694.4
263.751	687.6
264.136	676.2
264.521	676.4
264.906	675.8
265.291	690.6
265.676	676.6
266.061	692.4
266.446	702.2
266.831	689
267.217	707.6
267.602	698.2
267.987	689.8
268.373	683.2
268.759	698.2
269.144	690.4
269.53	695.8
269.916	680.4
270.302	679
270.688	692.2
271.074	695
271.46	693.6
271.846	729.2
272.232	685.2
272.618	682.8
273.004	689.4
273.391	704
273.777	702
274.164	687
274.55	709.2
274.937	691.4
275.324	680
275.71	684.2
276.097	695.6
276.484	672.8
276.871	695.6
277.258	688.4
277.645	676
278.032	683
278.419	685
278.807	692
279.194	670.4
279.581	683.6
279.969	700.2
280.356	695.2
280.744	687.6
281.131	706
281.519	699.6
281.907	680.4
282.295	676.2
282.682	700.8
283.07	686.8
283.458	692.4
283.846	703.2
284.235	695.6
284.623	703.2
285.011	676.4
285.399	680.2
285.788	685.6
286.176	680.2
286.565	699
286.953	685
287.342	684.8
287.731	686.8
288.119	678.8
288.508	679.8
288.897	689
289.286	670.8
289.675	692.6
290.064	706.6
290.453	688
290.821	691
291.21	711.2
291.599	685.2
291.989	690.4
292.378	700.8
292.768	717.4
293.157	698.6
293.547	694.8
293.936	680.6
294.326	681.4
294.716	693
295.106	689.2
295.496	699.6
295.886	689.4
296.276	691.4
296.666	677.6
297.056	685.8
297.446	683
297.836	708.6
298.227	690.4
298.617	692.6
299.008	710.8
299.398	689.6
299.789	682.8
300.179	694
300.57	703.4
300.961	687
301.352	691.4
301.742	699
302.133	687.2
302.524	698.4
302.915	689.4
303.307	680.4
303.698	699.6
304.089	695.6
304.48	688.6
304.872	694
305.263	697.4
305.655	687.8
306.046	695.2
