#lambda/nm	C1
208.295	544
208.67	492.4
209.045	455.8
209.419	455.4
209.794	694.2
210.169	672
210.544	818.8
210.919	692.6
211.295	684.6
211.67	693.6
212.045	689.2
212.421	689.4
212.796	743.6
213.172	685.4
213.547	668.2
213.923	683.2
214.299	675
214.675	699.8
215.051	682.4
215.427	698.6
215.803	714
216.179	698.6
216.555	678.4
216.932	699.6
217.308	685.4
217.684	688.8
218.061	691.6
218.438	686.4
218.814	678.8
219.191	686.4
219.568	683
219.945	683.2
220.322	700.6
220.699	699.4
221.076	694.4
221.453	688
221.83	679.4
222.208	680.4
222.585	681.8
222.962	695.2
223.34	691.4
223.717	689
224.095	680.8
224.473	686.4
224.851	680.8
225.229	676.4
225.607	699.8
225.985	673.8
226.363	688.4
226.741	685
227.119	688.8
227.497	701
227.876	684
228.254	697.2
228.633	697
229.011	687.8
229.39	688.4
229.769	685
230.148	693.2
230.527	705.8
230.905	688
231.284	687
231.664	682.2
232.043	707.2
232.422	695.8
232.801	680.8
233.181	702.4
233.56	684.8
233.94	690.4
234.319	670.2
234.699	688
235.079	736.6
235.458	730.4
235.838	701.6
236.218	679.2
236.598	679
236.978	672.6
237.358	674.2
237.738	683.6
238.119	693.6
238.499	676.8
238.88	680
239.26	704
239.641	673.6
240.021	672.6
240.402	676
240.783	677
241.163	678.4
241.544	689.4
241.925	685.6
242.306	699.6
242.687	678
243.069	680.8
243.45	703
243.831	681
244.212	683.4
244.594	727.2
244.975	697.8
245.357	684.2
245.739	682
246.12	686.6
246.502	696
246.884	684.8
247.266	685
247.648	690.2
248.03	713.6
248.412	692.4
248.794	697.8
249.176	691.6
249.559	694.4
249.941	677.8
250.323	682
250.706	687.6
251.089	683.8
251.471	688.4
251.854	682.2
252.237	687.8
252.62	699
253.002	698.6
253.385	692.2
253.769	699.2
254.152	680
254.535	699.6
254.918	681.2
255.301	684.4
255.685	687.2
256.068	684.6
256.452	716.4
256.835	698.6
257.219	700.6
257.603	707.2
257.986	674.2
258.37	695.4
258.754	675.4
259.138	698.6
259.522	693.6
259.906	684.6
260.29	698.2
260.675	691
261.059	696.4
261.443	679
261.828	695.6
262.212	692
262.597	672
262.981	693.4
263.366	697.6
263.751	690.6
264.136	684.2
264.521	691.6
264.906	682
265.291	692.2
265.676	687.8
266.061	702.8
266.446	707.6
266.831	692.2
267.217	714.4
267.602	693
267.987	696.8
268.373	688.8
268.759	692.2
269.144	688.4
269.53	688.4
269.916	692.8
270.302	678
270.688	704.4
271.074	699.4
271.46	710.8
271.846	729.2
272.232	686.8
272.618	685
273.004	687.8
273.391	693.4
273.777	710.8
274.164	701.6
274.55	707.2
274.937	696
275.324	685.6
275.71	702.2
276.097	699.2
276.484	677.2
276.871	693.8
277.258	695.4
277.645	681.8
278.032	682.8
278.419	681.4
278.807	690.6
279.194	684.6
279.581	683.6
279.969	699.6
280.356	683.6
280.744	690.8
281.131	714
281.519	703.2
281.907	682.8
282.295	680.8
282.682	702.8
283.07	688.2
283.458	691.8
283.846	708.2
284.235	699.2
284.623	698.2
285.011	684.2
285.399	691.2
285.788	691.6
286.176	675.2
286.565	696.6
286.953	685.2
287.342	683
287.731	682.8
288.119	682.4
288.508	688.4
288.897	695
289.286	679
289.675	689.4
290.064	700.4
290.453	691.2
290.821	692.2
291.21	706
291.599	691.4
291.989	692.2
292.378	695.2
292.768	710.2
293.157	693.8
293.547	708.6
293.936	694.6
294.326	688.8
294.716	689
295.106	689
295.496	701.8
295.886	692.2
296.276	686.6
296.666	687.2
297.056	682.4
297.446	680
297.836	712.6
298.227	689.8
298.617	698
299.008	708.2
299.398	688.8
299.789	686.2
300.179	698.4
300.57	696
300.961	696
301.352	690.8
301.742	704.2
302.133	693.8
302.524	694.8
302.915	698.6
303.307	688.4
303.698	696.4
304.089	709
304.48	688.6
304.872	701.6
305.263	681
305.655	682.2
306.046	696.2
306.438	692.4
306.829	690.8
307.221	706.2
307.613	697.2
308.005	709.6
308.397	713
308.789	710.8
309.181	722
309.573	712
309.965	716.6
310.357	692.4
310.749	709.2
311.142	680.4
311.534	686
311.926	698
312.319	701.6
312.711	682.2
313.104	710.6
313.497	681.4
313.889	732.4
314.282	712.6
314.675	719.4
315.068	693.2
315.461	706.4
315.854	726.6
316.247	706.6
316.64	690.8
317.033	695.2
317.405	704.8
317.798	695.8
318.192	699.8
318.585	680.8
318.979	706
319.372	688.2
319.766	689.6
320.16	701.8
320.553	707.2
320.947	712.6
321.341	691
321.735	697
322.129	678.6
322.523	711
322.917	682.2
323.311	709
323.705	693.2
324.099	691.4
324.494	709.8
324.888	695.2
325.282	690.2
325.677	699.8
326.071	693.8
326.466	704.2
326.861	700
327.255	709.6
327.65	710.8
328.045	713.6
328.44	689.8
328.835	689.8
329.23	691.8
329.625	722.8
330.02	675.6
330.415	721.6
330.81	693.8
331.206	690
331.601	688.6
331.996	701.2
332.37	712.4
332.766	674.4
333.161	712.6
333.557	680.8
333.953	696.8
334.348	1117.2
334.744	690.2
335.14	685
335.536	683.4
335.932	704.8
336.328	695.6
336.724	711
337.12	696
337.516	699.8
337.913	706.8
338.309	707.4
338.705	703.6
339.102	707
339.498	680.2
339.895	714.6
340.291	690.6
340.688	705
341.085	681.4
341.481	696.8
341.878	690
342.275	707
342.672	680
343.069	696.4
343.466	674
343.842	697
344.239	677.6
344.636	681.6
345.033	679.6
345.431	676.6
345.828	690.4
346.225	680.6
346.623	733
347.02	675.4
347.418	696.4
347.816	699.8
348.213	673
348.611	692.6
349.009	684.8
349.407	698.2
349.805	682
350.203	675.6
350.601	716
350.999	685.8
351.397	741.2
351.795	686.8
352.193	702.6
352.57	694.4
352.969	702.8
353.367	691.8
353.766	687.2
354.164	692.4
354.563	695.8
354.961	684
355.36	692.6
355.759	690.6
356.158	680.8
356.557	676
356.956	678.6
357.355	668
357.754	691
358.153	685.6
358.552	716.8
358.951	680.8
359.35	696.6
359.75	682.4
360.149	673.8
360.527	666.4
360.926	669.4
361.326	682.6
361.726	681.2
362.125	678.6
362.525	696.2
362.925	683.4
363.325	683.2
363.724	681.4
364.124	683.8
364.524	675.6
364.924	680.2
365.324	692.2
365.725	666
366.125	698.8
366.525	685.2
366.904	681
367.304	657
367.705	693.8
368.105	690
368.506	688.2
368.906	690.8
369.307	679.6
369.708	699.4
370.108	682.8
370.509	689.4
370.91	674.4
371.311	681
371.712	685.2
372.113	688.8
372.514	671.2
372.894	679.2
373.295	680.8
373.696	702.4
374.097	697
374.499	711.4
374.9	693.6
375.301	677.6
375.703	681.4
376.105	674.2
376.506	686.8
376.908	695.4
377.309	685.4
377.711	682.6
378.113	677.8
378.493	686
378.895	676
379.297	694.4
379.699	667.4
380.102	689.4
380.504	686.2
380.906	678
381.308	719.2
381.71	682.8
382.113	700.8
382.515	675.2
382.918	685.8
383.299	682.8
383.701	696.8
384.104	686.2
384.507	659.4
384.909	683.6
385.312	660.2
385.715	660.4
386.118	672.4
386.521	666
386.924	689.4
387.327	671.2
387.709	661.6
388.112	658.4
388.515	679.2
388.918	676.6
389.322	681.6
389.725	682
390.129	701
390.532	698.2
390.936	681.2
391.339	677.2
391.743	686
392.125	680.8
392.529	694
392.933	699.6
393.337	680.6
393.74	681.2
394.144	687
394.548	673.2
394.953	669.2
395.357	688.2
395.761	677.4
396.144	678.2
396.548	678.8
396.952	679.4
397.357	679
397.761	681
398.166	682
398.57	674
398.975	670
399.379	686.8
399.763	739.2
400.168	680.2
400.572	683.6
400.977	676.4
401.382	702.4
401.787	690.4
402.192	701.8
402.597	693.4
403.002	674.6
403.386	701.8
403.791	703.2
404.197	673.6
404.602	691.8
405.007	682.4
405.413	677.4
405.818	689.6
406.224	670
406.608	684.6
407.014	683.4
407.42	693
407.825	674.4
408.231	696.2
408.637	683.2
409.043	706.2
409.449	687.4
409.834	674.8
410.24	696
410.646	692
411.052	695.2
411.458	691.4
411.865	697
412.271	690.6
412.677	686
413.062	696.8
413.469	674
413.875	708.4
414.282	694.4
414.689	688
415.095	697.6
415.502	680.8
415.888	691.6
416.294	668.2
416.701	730.6
417.108	682.4
417.515	686
417.923	678.6
418.33	713.6
418.715	700.2
419.123	680.6
419.53	685.2
419.937	678
420.345	708.4
420.752	688.8
421.16	708.6
421.546	689.6
421.953	701
422.361	677.8
422.769	678.8
423.177	675.2
423.585	715.2
423.992	717
424.379	708.8
424.787	705.4
425.195	708
425.603	686.2
426.011	700.8
426.419	710
426.806	697
427.214	692.8
427.623	695.2
428.031	703.2
428.44	691
428.848	700
429.235	711
429.644	697
430.053	688
430.461	698.2
430.87	719.2
431.279	704
431.666	689.8
432.075	694.6
432.484	699.2
432.893	696.6
433.302	716.2
433.711	752.8
434.099	707.8
434.508	694.6
434.918	696.2
435.327	714.2
435.737	717.6
436.125	716
436.534	710.2
436.944	709
437.353	720.6
437.763	739
438.173	709.2
438.561	735
438.971	701.6
439.381	720.8
439.791	731.8
440.201	704.8
440.589	736.8
440.999	734.2
441.409	733.8
441.819	718.8
442.23	742.8
442.619	747.4
443.029	736.2
443.439	743
443.85	755.6
444.26	757.4
444.649	754.8
445.06	743.6
445.471	729.6
445.881	742
446.292	758.6
446.682	770
447.092	735
447.503	803.2
447.914	756.6
448.325	747.4
448.715	735.2
449.126	743.4
449.537	741.8
449.948	751.8
450.338	751.8
450.75	760
451.161	753.6
451.572	757.6
451.984	749.6
452.374	733.8
452.786	748
453.197	760.6
453.609	766.6
453.999	730.2
454.411	753.6
454.823	765.6
455.235	769.6
455.647	760.4
456.037	773.4
456.449	742.2
456.862	766.6
457.274	755
457.665	756.4
458.077	767.4
458.489	802.4
458.902	753.8
459.293	762.8
459.705	764
460.118	747.2
460.53	774.2
460.921	762.4
461.334	756.8
461.747	759.2
462.16	765.4
462.551	763.4
462.964	765.4
463.377	738
463.79	756.2
464.182	770.8
464.595	748.6
465.008	763.8
465.421	754
465.813	753
466.226	764.2
466.64	757.2
467.053	819.6
467.445	768.2
467.859	773.4
468.272	754.6
468.686	779.2
469.078	759.8
469.492	742.8
469.906	761
470.298	769.2
470.712	749.6
471.126	819
471.54	738.6
471.933	749.8
472.347	757.4
472.761	740
473.175	746.2
473.568	761.8
473.982	747
474.397	754.4
474.79	757.6
475.204	773.2
475.619	751.2
476.033	760.2
476.426	761.4
476.841	746.4
477.256	791.2
477.649	744.2
478.064	740.4
478.479	751.4
478.872	738.4
479.287	729
479.702	749.4
480.118	745.2
480.511	752
480.927	754.4
481.342	751.2
481.736	750.6
482.151	745.4
482.566	761.6
482.96	753.6
483.376	760.8
483.792	738
484.186	758.8
484.602	744.4
485.017	744.2
485.412	750.2
485.827	751
486.243	742.6
486.638	773.2
487.054	749
487.47	757
487.865	746.8
488.281	740.4
488.697	728.2
489.092	741.2
489.508	728.8
489.925	750.4
490.32	734.8
490.736	740.4
491.153	742.4
491.548	738.4
491.964	741.4
492.381	723.8
492.776	755.6
493.193	739.2
493.61	745.6
494.006	737.4
494.422	738.4
494.84	727.4
495.235	758.4
495.652	733.4
496.069	736
496.465	721.8
496.883	737.4
497.3	775.8
497.696	730.8
498.113	735.2
498.509	724.4
498.927	718
499.344	715
499.741	716
500.158	744.6
500.576	736.8
500.973	726.8
501.39	727.8
501.787	719.2
502.205	726
502.623	718.8
503.02	720.4
503.438	714.2
503.856	717.6
504.253	724.4
504.671	730.4
505.068	715.4
505.486	725.8
505.905	743.8
506.302	721.8
506.72	736.8
507.118	719.2
507.536	723.2
507.955	724.6
508.352	724.8
508.771	724.2
509.169	724.2
509.587	711.6
510.006	718
510.404	699.6
510.823	713.8
511.221	711.4
511.64	711.8
512.038	731
512.457	711.2
512.877	716.6
513.275	710.8
513.694	704.6
514.092	705.4
514.512	710
514.91	705
515.33	712
515.749	710
516.148	715.4
516.568	719
516.966	711.8
517.386	708.6
517.785	707
518.205	702.6
518.603	693
519.024	696.6
519.444	706.6
519.843	720
520.263	719.2
520.662	717
521.082	696.6
521.481	709.4
521.902	704.8
522.301	701
522.722	713.2
523.121	705.6
523.542	694.2
523.963	699.8
524.362	707.6
524.783	706.6
525.183	702.4
525.604	714
526.003	695
526.425	701
526.824	702.6
527.246	707.2
527.646	714.4
528.067	696.8
528.467	706.2
528.888	701.6
529.289	701
529.71	703.6
530.11	697.6
530.532	698.4
530.932	691.8
531.354	687.2
531.755	727.8
532.176	699.8
532.577	699
532.999	691
533.4	688.2
533.822	694.8
534.223	692.4
534.645	687.6
535.046	699
535.468	698.6
535.869	710.8
536.292	690.8
536.693	736.8
537.115	686.8
537.516	690.4
537.939	683.8
538.34	716.2
538.742	701
539.165	684.8
539.566	689.8
539.989	685
540.391	676.4
540.814	692.8
541.216	690
541.639	687.6
542.041	701.4
542.464	694
542.866	688.2
543.268	682.4
543.691	695.2
544.093	697.2
544.517	707.8
544.919	685.4
545.343	713.8
545.745	682.2
546.147	690.8
546.571	685.4
546.974	678
547.398	685.8
547.8	705.6
548.224	676.4
548.627	676.6
549.03	696.2
549.454	684.2
549.857	678
550.281	670.4
550.684	678
551.087	695
551.512	689.8
551.915	681.4
552.34	677.2
552.743	678.8
553.146	675.6
553.571	673.2
553.975	704
554.399	671.8
554.803	737.2
555.207	679.2
555.632	672
556.036	682.2
556.461	684
556.865	683.6
557.268	674.6
557.694	681.6
558.098	689.8
558.502	689.6
558.927	676.6
559.332	683.2
559.736	677.4
560.162	682.2
560.566	680.2
560.992	677
561.396	687.2
561.801	683.2
562.227	683.6
562.631	683.2
563.036	681.2
563.462	683
563.867	679.8
564.272	666.2
564.698	692
565.103	668.2
565.508	691.8
565.935	679
566.34	670.6
566.745	701.4
567.172	671
567.577	710.6
567.982	697.8
568.409	677.4
568.815	669.2
569.22	682.6
569.626	680
570.053	663.8
570.459	685.6
570.865	688
571.292	688.6
571.698	681.2
572.104	663.8
572.531	670
572.937	680.2
573.343	680.6
573.75	679.6
574.177	679.2
574.583	678
574.99	678.2
575.396	681
575.824	673.8
576.231	679.6
576.637	670
577.065	703.6
577.472	673
577.879	672
578.286	699.2
578.714	669.2
579.121	682.6
579.528	670.6
579.935	686.2
580.364	674
580.771	652.6
581.178	667.4
581.585	679
582.014	683.8
582.421	667
582.829	673
583.236	678
583.644	670.4
584.073	672.8
584.481	677
584.889	659.6
585.296	675.4
585.726	675.8
586.134	661.4
586.542	671.8
586.95	690.4
587.358	654.2
587.787	679.8
588.196	667.2
588.604	669.8
589.012	673
589.421	661
589.851	671.2
590.259	678.2
590.668	667.2
591.076	721.8
591.485	669.4
591.894	674.4
592.324	678.8
592.733	681.4
593.142	655.2
593.551	664.4
593.96	707.8
594.369	656.8
594.8	659.6
595.209	665.8
595.618	652.6
596.028	661.6
596.437	657.6
596.847	668.8
597.256	668.6
597.687	670.4
598.097	667.6
598.507	658
598.917	677.4
599.327	682.2
599.736	674.8
600.146	686.4
600.556	666.6
600.988	688.4
601.398	667.8
601.808	688.2
602.219	655.6
602.629	671
603.039	672.6
603.45	700.6
603.86	669.4
604.271	672.4
604.703	674.8
605.114	671.2
605.525	676.4
605.935	672.8
606.346	699
606.757	676.6
607.168	674.6
607.579	654.2
607.99	675.4
608.402	664.2
608.813	686.6
609.224	661.2
609.636	660.6
610.047	659
610.48	679.2
610.892	674.6
611.303	682.6
611.715	668.4
612.127	660.2
612.539	668.4
612.95	678.4
613.362	653.8
613.774	649.6
614.186	663.8
614.599	662.2
615.011	677.2
615.423	660.8
615.835	661.6
616.248	667.6
616.66	672.2
617.073	662.6
617.485	665.6
617.898	679.2
618.311	675.8
618.723	670
619.136	694.2
619.549	683.4
619.962	697.4
620.375	664.6
620.788	669.8
621.201	663.8
621.614	674.2
622.028	667.4
622.441	666.2
622.854	684
623.268	663.4
623.681	671.2
624.095	666.6
624.509	679.6
624.922	672.2
625.336	658.8
625.728	673.2
626.142	674.8
626.556	681
626.97	673.6
627.384	664
627.799	662
628.213	674.4
628.627	667.4
629.041	673.4
629.456	664
629.87	671.8
630.285	669.6
630.699	682.2
631.093	668.6
631.507	673.8
631.922	669
632.337	684
632.752	657.4
633.167	669.2
633.582	666.6
633.997	661.4
634.412	650.4
634.806	666.6
635.221	658.8
635.637	681.4
636.052	652.8
636.468	663
636.883	683
637.299	657
637.715	657.2
638.109	660.2
638.525	648
638.941	689
639.357	670.2
639.773	680
640.189	657.8
640.584	648.8
641	664.2
641.416	648.6
641.832	658.8
642.249	659.6
642.665	661.2
643.06	672.4
643.477	670
643.894	651.2
644.31	652.8
644.727	662.8
645.123	657.8
645.54	664.8
645.957	659.8
646.374	683
646.77	654.8
647.187	697.4
647.604	659
648.021	648.6
648.439	665.6
648.835	668.2
649.252	668.2
649.67	661.8
