#lambda/nm	C1
208.295	541.4
208.67	492.8
209.045	451.4
209.419	453.6
209.794	686
210.169	666.4
210.544	808.8
210.919	683.8
211.295	679.8
211.67	683.2
212.045	680
212.421	678.2
212.796	736.2
213.172	687.8
213.547	685.4
213.923	687
214.299	686.4
214.675	684.4
215.051	689.8
215.427	696
215.803	703.8
216.179	695.2
216.555	675.8
216.932	697.4
217.308	684.8
217.684	683.8
218.061	689.6
218.438	688.2
218.814	679.2
219.191	699.2
219.568	688.2
219.945	685.2
220.322	703.4
220.699	698
221.076	701.8
221.453	699.4
221.83	680
222.208	681.6
222.585	685.2
222.962	688.8
223.34	691.6
223.717	695
224.095	684.2
224.473	695.8
224.851	693.8
225.229	682.8
225.607	711.8
225.985	670
226.363	683.6
226.741	689.6
227.119	686.4
227.497	701.8
227.876	675.2
228.254	692.2
228.633	690.6
229.011	686.2
229.39	695
229.769	690.2
230.148	684.4
230.527	711.8
230.905	687.8
231.284	686.8
231.664	684.6
232.043	711.8
232.422	693.2
232.801	687.2
233.181	697.4
233.56	687
233.94	687.2
234.319	671.4
234.699	681.2
235.079	732.4
235.458	727
235.838	712.2
236.218	680.8
236.598	678.2
236.978	682.2
237.358	685.4
237.738	685
238.119	696.6
238.499	677.6
238.88	688.6
239.26	705.6
239.641	678.6
240.021	683.2
240.402	686
240.783	687.2
241.163	684.8
241.544	687.6
241.925	683.8
242.306	702.2
242.687	677.2
243.069	690
243.45	694
243.831	679.4
244.212	682.4
244.594	725.4
244.975	689.8
245.357	689
245.739	682.4
246.12	691.4
246.502	697.6
246.884	692
247.266	685
247.648	690.4
248.03	715
248.412	699.6
248.794	695.4
249.176	675.4
249.559	698.6
249.941	689
250.323	681.8
250.706	674.2
251.089	694
251.471	685.6
251.854	683.4
252.237	692
252.62	698.6
253.002	691.2
253.385	689
253.769	709
254.152	696.4
254.535	689.2
254.918	684.2
255.301	688
255.685	682.4
256.068	680.2
256.452	724.2
256.835	700.6
257.219	694
257.603	703.2
257.986	678
258.37	701
258.754	676.6
259.138	699.2
259.522	698.6
259.906	680.8
260.29	691.6
260.675	688.6
261.059	689.2
261.443	679.2
261.828	697.6
262.212	697.6
262.597	676.8
262.981	688.6
263.366	708.8
263.751	690.8
264.136	686.6
264.521	677
264.906	679.8
265.291	709.2
265.676	687.2
266.061	695.2
266.446	712.4
266.831	697.6
267.217	713.6
267.602	693
267.987	693.8
268.373	680.4
268.759	698.2
269.144	697.2
269.53	694
269.916	681.2
270.302	687.6
270.688	703
271.074	692.2
271.46	699.4
271.846	727.8
272.232	691.8
272.618	672.8
273.004	694.4
273.391	697.2
273.777	705
274.164	690.2
274.55	705.8
274.937	689.8
275.324	685.4
275.71	694.8
276.097	692.6
276.484	685.8
276.871	688.4
277.258	695.4
277.645	664.4
278.032	683.2
278.419	678.6
278.807	685
279.194	678.2
279.581	682
279.969	691
280.356	689.6
280.744	687.6
281.131	717.2
281.519	701.6
281.907	690.8
282.295	682.8
282.682	695.8
283.07	687.4
283.458	698.6
283.846	704.8
284.235	702
284.623	704.6
285.011	678
285.399	690.4
285.788	689.6
286.176	689.2
286.565	705
286.953	687.4
287.342	696.4
287.731	682.4
288.119	679.8
288.508	690.6
288.897	684.4
289.286	683.6
289.675	693.8
290.064	705.8
290.453	695
290.821	694
291.21	713.4
291.599	680.2
291.989	696
292.378	691.6
292.768	720.2
293.157	689.2
293.547	705.6
293.936	690.8
294.326	687
294.716	684.8
295.106	686.2
295.496	700
295.886	702.8
296.276	690.2
296.666	682.4
297.056	696
297.446	681
297.836	712.2
298.227	683.4
298.617	692
299.008	705.4
299.398	691
299.789	678
300.179	699.4
300.57	706.8
300.961	690.6
301.352	691
301.742	700.4
302.133	694.4
302.524	690
302.915	692.8
303.307	683
303.698	706.8
304.089	702.6
304.48	684.4
304.872	698.6
305.263	688.2
305.655	690.4
306.046	704
306.438	699
306.829	687
307.221	701.2
307.613	701.8
308.005	701.8
308.397	708.4
308.789	725.2
309.181	723.4
309.573	721.6
309.965	704.8
310.357	689.4
310.749	703.6
311.142	687.4
311.534	682.8
311.926	702.8
312.319	691
312.711	680.6
313.104	701.8
313.497	702
313.889	730.6
314.282	719
314.675	723
315.068	697.2
315.461	699.4
315.854	721.8
316.247	695.8
316.64	693.6
317.033	692.6
317.405	707.6
317.798	686.8
318.192	695.6
318.585	678.8
318.979	704.2
319.372	682
319.766	680
320.16	701.6
320.553	705.8
320.947	716.8
321.341	683.2
321.735	692
322.129	675.2
322.523	723.6
322.917	684.6
323.311	697.4
323.705	691.4
324.099	698.6
324.494	721.2
324.888	703.8
325.282	693
325.677	707.2
326.071	698.6
326.466	712
326.861	705.4
327.255	709.2
327.65	708.4
328.045	717.4
328.44	696.2
328.835	689
329.23	687.6
329.625	717
330.02	686
330.415	720
330.81	699.6
331.206	698
331.601	681.4
331.996	702.6
332.37	718.2
332.766	674.6
333.161	715.8
333.557	689.8
333.953	688.8
334.348	1091
334.744	689.4
335.14	690.2
335.536	686.6
335.932	702.6
336.328	690.4
336.724	698
337.12	688.8
337.516	701.8
337.913	697.8
338.309	704.4
