#lambda/nm	C1
208.295	543.4
208.67	488.2
209.045	454.8
209.419	453.6
209.794	678.2
210.169	667.8
210.544	804.2
210.919	698
211.295	676.6
211.67	689.8
212.045	686.6
212.421	680.6
212.796	722.6
213.172	690.8
213.547	675.6
213.923	683.4
214.299	681
214.675	688.4
215.051	687.4
215.427	692
215.803	705.8
216.179	693.8
216.555	677.8
216.932	698.4
217.308	682.4
217.684	679
218.061	692.4
218.438	689.2
218.814	676.6
219.191	697.8
219.568	670.6
219.945	688
220.322	695.2
220.699	691.8
221.076	693.8
221.453	686.4
221.83	671.8
222.208	679.8
222.585	671.2
222.962	688.4
223.34	688.4
223.717	684.6
224.095	687.6
224.473	683.2
224.851	680.8
225.229	672.6
225.607	695.8
225.985	674.6
226.363	686.8
226.741	678.8
227.119	690.4
227.497	711.8
227.876	669.2
228.254	690.4
228.633	693.8
229.011	689
229.39	687.6
229.769	683
230.148	692.2
230.527	713.8
230.905	684
231.284	686
231.664	681.6
232.043	706.6
232.422	682.4
232.801	679.6
233.181	686
233.56	689
233.94	683.2
234.319	673.8
234.699	679.2
235.079	736.8
235.458	736.2
235.838	711.8
236.218	685.2
236.598	671.2
236.978	683.4
237.358	672.6
237.738	683.2
238.119	689.2
238.499	673.6
238.88	683.2
239.26	709
239.641	683.4
240.021	677.2
240.402	690.6
240.783	680.6
241.163	673.6
241.544	688
241.925	687.8
242.306	703.8
242.687	684.6
243.069	693.4
243.45	683.2
243.831	686.6
244.212	696.6
244.594	724.8
244.975	695.2
245.357	695
245.739	678.2
246.12	689.4
246.502	694
246.884	684.4
247.266	687.8
247.648	688.8
248.03	714.2
248.412	698.6
248.794	690
249.176	686.6
249.559	696.2
249.941	686.6
250.323	680.6
250.706	676.8
251.089	690.2
251.471	694.2
251.854	681.8
252.237	685.8
252.62	696.6
253.002	686.4
253.385	683.4
253.769	707
254.152	689
254.535	695.8
254.918	680.8
255.301	691.2
255.685	682.8
256.068	676
256.452	711.8
256.835	699.8
257.219	694
257.603	702.4
257.986	675.8
258.37	703.4
258.754	678.8
259.138	700.8
259.522	702.4
259.906	691.4
260.29	698.2
260.675	692.6
261.059	701.8
261.443	681.4
261.828	703.2
262.212	695.6
262.597	673.6
262.981	687.8
263.366	700.6
263.751	696.8
264.136	680.4
264.521	685.8
264.906	683.2
265.291	700.8
265.676	683.6
266.061	699
266.446	706
266.831	687.6
267.217	706.6
267.602	699.6
267.987	686.4
268.373	681.6
268.759	695.2
269.144	691.6
269.53	686
269.916	670.2
270.302	685.2
270.688	690.2
271.074	683.4
271.46	709.6
271.846	728.4
272.232	680
272.618	678.2
273.004	686
273.391	697
273.777	700.6
274.164	690.6
274.55	702.4
274.937	689.2
275.324	681.6
275.71	691
276.097	688.4
276.484	686.8
276.871	689
277.258	687.4
277.645	676.8
278.032	690
278.419	681.6
278.807	687.6
279.194	675.4
279.581	679
279.969	686.6
280.356	691
280.744	692.6
281.131	714.4
281.519	695.2
281.907	689.8
282.295	688
282.682	701
283.07	696.6
283.458	702.6
283.846	704.8
284.235	702.2
284.623	700
285.011	678.2
285.399	686
285.788	692.4
286.176	687.2
286.565	700.6
286.953	690.8
287.342	688.4
287.731	680.2
288.119	679
288.508	685.8
288.897	689
289.286	682.4
289.675	685.4
290.064	702.2
290.453	693.6
290.821	687.8
291.21	712.6
291.599	690.8
291.989	694.4
292.378	702.8
292.768	704.8
293.157	689.6
293.547	695.8
293.936	681.2
294.326	683.2
294.716	697.2
295.106	684.6
295.496	695
295.886	702
296.276	690
296.666	683
297.056	687.2
297.446	677.4
297.836	714.8
298.227	689
298.617	693.6
299.008	706.6
299.398	692
299.789	690.6
300.179	694.6
300.57	708.4
300.961	694.8
301.352	689.8
301.742	702.4
302.133	685.8
302.524	686.2
302.915	699.8
303.307	684.2
303.698	700
304.089	702
304.48	686.6
304.872	705.2
305.263	684.8
305.655	685
306.046	699.6
306.438	691.8
306.829	683.8
307.221	706.4
307.613	699.2
308.005	705.8
308.397	708.2
308.789	714
309.181	721.2
309.573	703.2
309.965	702
310.357	681.8
310.749	703.8
311.142	679.6
311.534	687.8
311.926	703.6
312.319	692.4
312.711	677.2
313.104	699.4
313.497	695.6
313.889	729.8
314.282	715.4
314.675	719.8
315.068	695.8
315.461	699.6
315.854	731.2
316.247	700.4
316.64	688
317.033	698.8
317.405	700.4
317.798	685.8
318.192	697
318.585	691
318.979	706
319.372	693.8
319.766	687
320.16	708.6
320.553	708.6
320.947	707
321.341	692
321.735	693.4
322.129	680.4
322.523	716.4
322.917	677.8
323.311	701.2
323.705	688
324.099	702.4
324.494	716.6
324.888	707.2
325.282	689.6
325.677	702.4
326.071	699.8
326.466	700.2
326.861	689.8
327.255	704
327.65	707.4
328.045	711
328.44	690
328.835	686.8
329.23	683.6
329.625	720.4
330.02	675.2
330.415	706.4
330.81	695
331.206	692
331.601	683.2
331.996	706.2
332.37	705.6
332.766	680
333.161	710.8
333.557	686.6
333.953	692.6
334.348	1087.2
334.744	692.8
335.14	690.8
335.536	686.8
335.932	705.8
336.328	695.4
336.724	697
337.12	694.4
337.516	698.2
337.913	687
338.309	708
338.705	698
339.102	706
339.498	689
339.895	710
340.291	690.6
340.688	703.4
341.085	675.8
341.481	692.2
341.878	695
342.275	715.2
342.672	690.2
343.069	690.2
343.466	681.4
343.842	706.6
344.239	680.4
344.636	692
345.033	687
345.431	685
345.828	692.8
346.225	684.6
346.623	740
347.02	685.8
347.418	699.6
347.816	703
348.213	682.8
348.611	695.8
349.009	693.6
349.407	704.4
349.805	679.6
350.203	676.8
350.601	697.6
350.999	683
351.397	748.2
351.795	687.2
352.193	699.6
352.57	693.2
352.969	700.2
353.367	678.4
353.766	671.8
354.164	684.2
354.563	698.8
354.961	681.4
355.36	689
355.759	686.2
356.158	685.2
356.557	675.8
356.956	676.6
357.355	675.2
357.754	694
358.153	684.4
358.552	717.2
358.951	681.2
359.35	701
359.75	680.2
360.149	674
360.527	668.4
360.926	678.4
361.326	686
361.726	678
362.125	677.8
362.525	691.6
362.925	685.2
363.325	682.4
363.724	683.8
364.124	683.6
364.524	683.2
364.924	676.6
365.324	689.6
365.725	672.4
366.125	689.8
366.525	690.6
366.904	680.2
367.304	668.8
367.705	705.2
368.105	700.4
368.506	678.2
368.906	681.8
369.307	682.2
369.708	697.6
370.108	680
370.509	692
370.91	690
371.311	690
371.712	685
372.113	676.2
372.514	667.6
372.894	685
373.295	673.2
373.696	683
374.097	683
374.499	717.6
374.9	678.4
375.301	669.4
375.703	681.6
376.105	664.2
376.506	690.4
376.908	687.8
377.309	689
377.711	688.8
378.113	676.4
378.493	681.2
378.895	672.6
379.297	695
379.699	661.4
380.102	687.8
380.504	682.8
380.906	670.4
381.308	706.2
381.71	687.4
382.113	687.2
382.515	682.8
382.918	687.2
383.299	676.6
383.701	702
384.104	678.2
384.507	662.6
384.909	685.6
385.312	661
385.715	668.6
386.118	680
386.521	673.2
386.924	682.2
387.327	675
387.709	671
388.112	657.2
388.515	678.4
388.918	684.4
389.322	693.2
389.725	685
390.129	701.6
390.532	689
390.936	674
391.339	675
391.743	680.6
392.125	677.6
392.529	692.8
392.933	696.6
393.337	687.6
393.74	682.6
394.144	685
394.548	674.8
394.953	684.2
395.357	686.8
395.761	682.6
396.144	686.8
396.548	677.2
396.952	681.2
397.357	680.2
397.761	687.2
398.166	673.8
398.57	676.2
398.975	672.4
399.379	684.8
399.763	745.6
400.168	686.8
400.572	684.4
400.977	683.4
401.382	705
401.787	703.6
402.192	698.6
402.597	697
403.002	665.6
403.386	697
403.791	703.4
404.197	675
404.602	679.4
405.007	690.8
405.413	679
405.818	680.4
406.224	679.6
406.608	678.8
407.014	675.8
407.42	701
407.825	679.6
408.231	695.8
408.637	685.2
409.043	693.2
409.449	677.4
409.834	676.6
410.24	677.4
410.646	706
411.052	697.6
411.458	686.4
411.865	697.8
412.271	697.4
412.677	679.6
413.062	695.2
413.469	667.4
413.875	722
414.282	696
414.689	684.6
415.095	700
415.502	683.2
415.888	687.4
416.294	671.2
416.701	734.8
417.108	684.6
417.515	688.6
417.923	695.6
418.33	700.4
418.715	697
419.123	692.2
419.53	687
419.937	682.8
420.345	706.8
420.752	677.8
421.16	702.8
421.546	685.2
421.953	697.2
422.361	684.8
422.769	696.4
423.177	676.4
423.585	716
423.992	710
424.379	696.8
424.787	702.4
425.195	715.2
425.603	686
426.011	704.6
426.419	703.2
426.806	686.2
427.214	700
427.623	699
428.031	705.4
428.44	691.8
428.848	701.2
429.235	707.2
429.644	691.2
430.053	682.4
430.461	705.2
430.87	720
431.279	696.4
431.666	675.8
432.075	692.4
432.484	693
432.893	681.6
433.302	699.6
433.711	748
434.099	688.6
434.508	682.6
434.918	674.6
435.327	693.2
435.737	691
436.125	690.6
436.534	687.4
436.944	699.8
437.353	695.4
437.763	719.2
438.173	677.8
438.561	706.8
438.971	668.8
439.381	684.2
439.791	692.4
440.201	672.2
440.589	697.4
440.999	706.6
441.409	702
441.819	678.4
442.23	708.2
442.619	701.8
443.029	694.6
443.439	696.8
443.85	704.8
444.26	703.8
444.649	706.6
445.06	701
445.471	686
445.881	702
446.292	717
446.682	711
447.092	684.2
447.503	773.2
447.914	692
448.325	693.6
448.715	692.2
449.126	690
449.537	699
449.948	703.6
450.338	707.8
450.75	710
451.161	701
451.572	706.8
451.984	684.6
452.374	683
452.786	691.4
453.197	704.8
453.609	703
453.999	687.4
454.411	696.4
454.823	713
455.235	700.2
455.647	701.4
456.037	698
456.449	686
456.862	703.4
457.274	692.2
457.665	682
458.077	702.2
458.489	732.6
458.902	689.8
459.293	696.6
459.705	701.2
460.118	686.8
460.53	698.4
460.921	697.4
461.334	701.4
461.747	691.4
462.16	713.6
462.551	706
462.964	704.4
463.377	683.8
463.79	702.6
464.182	696.2
464.595	680
465.008	703.6
465.421	704.4
465.813	693.6
466.226	703
466.64	695.2
467.053	752.4
467.445	707.2
467.859	718
468.272	694
468.686	711
469.078	697.2
469.492	688.2
469.906	699.4
470.298	705
470.712	691.2
471.126	760
471.54	681
471.933	691.2
472.347	696.6
472.761	694.4
473.175	679.6
473.568	685.6
473.982	687
474.397	702.8
474.79	690.6
475.204	704.2
475.619	692.6
476.033	700.8
476.426	699.4
476.841	681.8
477.256	730
477.649	685
478.064	670
478.479	672.4
478.872	685.8
479.287	678.4
479.702	682
480.118	690.8
480.511	693.6
480.927	686.4
481.342	680.6
481.736	695.4
482.151	675.2
482.566	695.8
482.96	683.8
483.376	693
483.792	682.2
484.186	697.6
484.602	684.6
485.017	689.8
485.412	687.8
485.827	692.6
486.243	691
486.638	712
487.054	693.6
487.47	699.4
487.865	671.4
488.281	681.8
488.697	684.2
489.092	684.4
489.508	681
489.925	702.2
490.32	683.2
490.736	695.8
491.153	697
491.548	701.6
491.964	699.2
492.381	665.8
492.776	693.8
493.193	687.8
493.61	693
494.006	688.2
494.422	705
494.84	672.2
495.235	705.8
495.652	693.2
496.069	694.4
496.465	674.6
496.883	682.4
497.3	712.6
497.696	678.4
498.113	685.4
498.509	666.2
498.927	669
499.344	678.8
499.741	686
500.158	695.2
500.576	701.6
500.973	680.8
501.39	676
501.787	685.6
502.205	694.6
502.623	680.6
503.02	672
503.438	678
503.856	682.8
504.253	693
504.671	681.2
505.068	680.2
505.486	687.6
505.905	708.6
506.302	688.6
506.72	700.4
507.118	678.2
507.536	683.4
507.955	681.4
508.352	686.8
508.771	692.6
509.169	688.2
509.587	674.2
510.006	689.4
510.404	672.2
510.823	676.2
511.221	671.4
511.64	683.4
512.038	694.8
512.457	680.4
512.877	679.4
513.275	678.4
513.694	673.2
514.092	681
514.512	679.6
514.91	673.6
515.33	679
515.749	685.8
516.148	684.6
516.568	686.2
516.966	685.2
517.386	678.8
517.785	685.6
518.205	679.6
518.603	676.8
519.024	667.6
519.444	672.6
519.843	692.8
520.263	695.4
520.662	681.8
521.082	682.8
521.481	680.8
521.902	681
522.301	685.2
522.722	683.2
523.121	677.8
523.542	668.6
523.963	688.2
524.362	687.8
524.783	686.4
525.183	686.8
525.604	689.6
526.003	669.4
526.425	678.4
526.824	687.2
527.246	687.2
527.646	686
528.067	671.2
528.467	684.8
528.888	684.6
529.289	675
529.71	677
530.11	676.8
530.532	675.8
530.932	667.6
531.354	663.2
531.755	714.2
532.176	684.8
532.577	677
532.999	675.4
533.4	676.4
533.822	688.8
534.223	687.6
534.645	661.6
535.046	664
535.468	679.8
535.869	678.2
536.292	672.4
536.693	715.6
537.115	671.6
537.516	670.6
537.939	672
538.34	684.2
538.742	683.8
539.165	676.8
539.566	669.6
539.989	666.8
540.391	659.2
540.814	682.8
541.216	665.8
541.639	680.6
542.041	684
542.464	668.4
542.866	664.6
543.268	655.6
543.691	679.2
544.093	683
544.517	698
544.919	656.2
545.343	700
545.745	668.6
546.147	677.4
546.571	666.6
546.974	656.2
547.398	670.2
547.8	691.2
548.224	673.2
548.627	669.2
549.03	681.4
549.454	661.2
549.857	664.2
550.281	667.6
550.684	662.2
551.087	686.4
551.512	675
551.915	676.6
552.34	682.8
552.743	668.6
553.146	667
553.571	671.2
553.975	686
554.399	673
554.803	730.4
555.207	670
555.632	665.8
556.036	681
556.461	656.4
556.865	668.8
557.268	663.8
557.694	669.2
558.098	677.6
558.502	674.8
558.927	666.2
559.332	674.2
559.736	668.2
560.162	681.8
560.566	673.2
560.992	670
561.396	670.8
561.801	678.2
562.227	673
562.631	665.6
563.036	664.6
563.462	676.2
563.867	669.6
564.272	650.8
564.698	668.6
565.103	659.8
565.508	686
565.935	660.8
566.34	668
566.745	678.4
567.172	663.2
567.577	688.2
567.982	684.8
568.409	680.2
568.815	644.6
569.22	677.2
569.626	679.2
570.053	652
570.459	678.6
570.865	671
571.292	672
571.698	674.2
572.104	651.8
572.531	660.4
572.937	684.8
573.343	663.4
573.75	666.2
574.177	671.8
574.583	669.4
574.99	665.8
575.396	675
575.824	672.8
576.231	678.6
576.637	668.4
577.065	694.4
577.472	663.4
577.879	672.6
578.286	686.2
578.714	660.8
579.121	674.4
579.528	671.2
579.935	668.4
580.364	662
580.771	642.8
581.178	653.2
581.585	676.6
582.014	668.6
582.421	653.6
582.829	657
583.236	675.8
583.644	666.8
584.073	658.8
584.481	670.8
584.889	652.2
585.296	669
585.726	662
586.134	655
586.542	662.4
586.95	685.2
587.358	648.8
587.787	666.8
588.196	654.2
588.604	663.6
589.012	665.2
589.421	660.8
589.851	659
590.259	660.6
590.668	660.8
591.076	707.8
591.485	651.2
591.894	660.4
592.324	674
592.733	689.8
593.142	639.8
593.551	662.2
593.96	672.2
594.369	651.2
594.8	659.4
595.209	668.4
595.618	646.2
596.028	664.6
596.437	649.4
596.847	667.8
597.256	671.8
597.687	659.2
598.097	659
598.507	659.4
598.917	665.4
599.327	666.6
599.736	676.8
600.146	679.2
600.556	669.4
600.988	683.2
601.398	668.6
601.808	672.4
602.219	658
602.629	660
603.039	670.6
603.45	693
603.86	666.8
604.271	685
604.703	673.8
605.114	664.6
605.525	661.4
605.935	682.8
606.346	693
606.757	672.6
607.168	659.4
607.579	659
607.99	683.2
608.402	671.6
608.813	673.2
609.224	658.4
609.636	660.8
610.047	651
610.48	665.6
610.892	672.2
611.303	677.8
611.715	662.8
612.127	654.8
612.539	665.6
612.95	666.6
613.362	653.4
613.774	659.2
614.186	664.4
614.599	663.6
615.011	679.8
615.423	668.8
615.835	661.8
616.248	661.4
616.66	677.6
617.073	661.8
617.485	654.8
617.898	678.6
618.311	672
618.723	667
619.136	686.4
619.549	684.4
619.962	687.8
620.375	660.6
620.788	669.8
621.201	662.4
621.614	673.8
622.028	655.4
622.441	665.4
622.854	678.2
623.268	662.8
623.681	670.6
624.095	670.6
624.509	682.6
624.922	669.8
625.336	649.2
625.728	666.4
626.142	671
626.556	688.2
626.97	674.8
627.384	664.6
627.799	669
628.213	681.8
628.627	661.6
629.041	664.8
629.456	659
629.87	671.4
630.285	666.6
630.699	668.4
631.093	662
631.507	663.6
631.922	669.8
632.337	680
632.752	653.4
633.167	663.6
633.582	667.4
633.997	664.6
634.412	657.6
634.806	669.8
635.221	654.8
635.637	667.6
636.052	657
636.468	667
636.883	685.4
637.299	659.8
637.715	646.8
638.109	655.2
638.525	642.2
638.941	677.2
639.357	662.6
639.773	680.4
640.189	660
640.584	661.8
641	668.2
641.416	650.4
641.832	654.8
642.249	655.4
642.665	660.6
643.06	666.2
643.477	671.8
643.894	645.4
644.31	662
644.727	663.2
645.123	661.4
645.54	649
645.957	658.6
646.374	678
646.77	668.6
647.187	693.4
647.604	670.2
648.021	646.6
648.439	651.4
648.835	657.6
649.252	655.4
649.67	662.4
650.088	668.4
650.484	670.6
650.902	663.4
651.32	671.6
651.738	661.8
652.134	668.2
652.552	687
652.971	678.8
653.389	670
653.786	675.4
654.204	679.8
654.622	657.6
655.019	671.4
655.438	667.4
655.857	672.4
656.275	665.4
656.673	661
657.091	746.2
657.51	662.6
657.908	673.2
658.327	680.2
658.746	646.6
659.144	663
659.563	679.6
659.982	665.2
660.38	649.6
660.8	661.8
661.219	665
661.617	664.8
662.037	667
662.457	686.2
662.855	649
663.275	705.2
663.695	661.2
664.094	659
664.514	662.8
664.934	660.2
665.333	669.2
665.753	655
666.152	655.4
666.572	655.4
666.993	676.4
667.392	655.2
667.812	656.2
668.212	654.6
668.632	675.6
669.053	660.6
669.453	662.2
669.874	661.6
670.273	667.8
670.694	649.4
671.116	678
671.515	673.4
671.937	665
672.337	652.8
672.758	655.4
673.158	669.8
673.58	654.4
673.98	669.8
674.402	681.4
674.824	665.6
675.224	649
675.646	649.6
676.047	659.8
676.469	660
676.869	667.4
677.292	664.8
677.693	654.6
678.115	657
678.516	672.8
678.939	663.2
679.34	659.2
679.762	675.4
680.164	670.8
680.586	657
680.988	670.8
681.411	686.4
681.812	663.6
682.236	643.4
682.637	649.6
683.061	651.6
683.462	669.6
683.864	656.6
684.288	668.4
684.69	652.8
685.114	673.2
685.516	665
685.94	646.4
686.342	673
686.766	645.2
687.168	652.2
687.571	676.4
687.995	659
688.398	651
688.822	652.2
689.225	672.2
689.628	681.8
690.052	655.2
690.456	671.6
690.88	655.6
691.284	661.8
691.687	662.4
692.112	651.4
692.515	645.6
692.919	668
693.344	664
693.747	659
694.173	646.2
694.577	674.8
694.98	655.6
695.406	657.2
695.81	657.2
696.214	667.4
696.64	665.4
697.044	662.6
697.448	659.4
697.874	654.4
698.279	665.8
698.684	644.6
699.11	657.4
699.514	657.8
699.919	658.4
700.324	657.2
700.75	663
701.156	661
701.561	671
701.987	670.2
702.393	681
702.798	674.8
703.203	665.6
703.63	649.4
704.036	653.6
704.442	663
704.847	654.8
705.274	655.8
705.68	665.8
706.086	670.8
706.492	642.8
706.92	657.2
707.326	678
707.732	653.8
708.139	660.4
708.545	657.2
708.973	657.6
709.38	663.2
709.786	652.4
710.193	690.4
710.6	661.8
711.028	654
711.435	664
711.842	663
712.249	670.2
712.656	656
713.064	668.4
713.492	656.8
713.9	658.2
714.307	673.2
714.715	672.2
715.123	664.6
715.53	660.4
715.938	666.8
716.367	668.8
716.775	657
717.184	654.6
717.592	651.6
718	675.2
718.408	703.4
718.816	711.2
719.225	661.8
719.633	662.6
720.042	652.4
720.472	661.8
720.881	688.8
721.29	665.4
721.699	645.4
722.108	666.2
722.517	659
722.926	659.8
723.335	667.6
723.744	660
724.154	665.6
724.563	663.4
724.973	658.8
725.382	653.4
725.792	654.2
726.202	649.2
726.612	674.2
727.022	661.8
727.432	655.8
779.813	656
780.223	701.2
780.634	652.8
781.044	663
781.454	662.4
781.865	670.2
782.276	646.6
782.686	670.4
783.097	659
783.508	655.2
783.919	659.6
784.33	670.6
784.741	672.6
785.152	651.2
785.563	645.4
785.974	646.2
786.386	667.2
786.776	657.4
787.188	663.2
787.599	645
788.011	669.4
788.423	665.6
788.835	666.2
789.247	646.2
789.659	655
790.071	653.6
790.483	694.6
790.874	660.6
791.286	660.8
791.699	660.6
792.111	662.2
792.524	657.8
792.937	660.2
793.349	648.2
793.741	649
794.154	649.2
794.567	675.2
794.98	655.2
795.393	646.4
795.785	678.6
796.198	643.6
796.612	656.2
797.026	650.8
797.439	641.6
797.831	651
798.245	646.2
798.659	654.6
799.073	643.8
799.487	643
799.88	657.2
800.294	658.8
800.708	656.8
801.123	660.6
801.516	672
801.93	649
802.345	649
802.76	664.6
803.153	670.4
803.568	665.6
803.983	669.6
804.377	659.6
804.792	640.2
805.207	636.6
805.601	658.8
806.016	699.6
806.432	666.8
806.826	700
807.242	681.4
807.658	666
808.052	655.2
808.468	649.6
808.884	655.6
809.279	658
809.695	673.4
810.111	687.6
810.506	654.4
810.922	686
811.339	648
811.734	670.2
812.151	650.6
812.546	641.6
812.963	651.2
813.38	666.6
813.776	661.4
814.193	682.2
814.589	645.4
815.006	657
815.402	654.8
815.82	649.4
816.237	653.2
816.633	658.4
817.051	652.8
817.448	658
817.866	636.8
818.262	677.6
818.68	644.4
819.077	657.6
819.495	664.6
819.892	698.2
820.311	649.2
820.708	659.2
821.127	657.8
821.524	664.2
821.943	647.4
822.34	674.2
822.759	659.6
823.157	665.2
823.576	666.4
823.974	668.4
824.393	771
824.791	647.2
825.189	647.8
825.609	652.2
826.007	659.8
826.427	643.2
826.826	651.6
827.246	654
827.644	633.8
828.043	677
828.463	657.6
828.862	661.4
829.261	667
829.682	650.8
830.081	660
830.502	647.8
830.901	665
831.301	647.4
831.722	651.4
832.121	657
832.521	654.2
832.943	660
833.342	656.6
833.742	643.8
834.164	657.6
834.564	655.4
834.965	658.6
835.386	651.8
835.787	651.8
836.188	657.8
836.588	660.8
837.01	654.6
837.411	651.6
837.812	669
838.213	659
838.636	649.8
839.037	734.8
839.438	657.2
839.84	657.8
840.263	649
840.664	652.4
841.066	659.4
841.468	654.2
841.891	645.8
842.293	658.4
842.695	659.8
843.098	664.8
843.5	651.8
843.902	666.2
844.326	652.2
844.729	652
845.131	675.8
845.534	654
845.937	670.8
846.34	673
846.764	651.8
847.167	656.2
847.571	644.2
847.974	648.8
848.377	653.4
848.781	702.8
849.184	667.4
849.588	651.2
849.992	650.8
850.396	658.4
850.821	670.2
851.225	655.6
851.63	653.6
852.034	679
852.438	658.8
852.843	698.4
853.247	652.2
853.652	655
854.057	675
854.462	662.4
854.867	660.2
855.272	683.6
855.677	660.2
856.082	658.8
856.487	652.2
856.893	663.2
857.298	657.2
857.704	649.2
858.11	651.6
858.516	662.6
858.922	662.4
859.328	669.8
859.734	660.6
860.14	663.8
860.525	665.6
860.931	648.6
861.338	649.8
861.745	671.8
862.151	661.8
862.558	666.6
862.965	653.4
863.372	649.8
863.779	652
864.186	679.6
864.572	654.4
864.98	684.4
865.387	688.4
865.795	649
866.203	662
866.61	634.8
867.018	657.8
867.405	656.6
867.813	654.8
868.221	655.6
868.63	651.8
869.038	662.8
869.425	705.4
869.834	663.4
870.243	647.6
870.652	641.6
871.039	657.2
871.448	651.6
871.857	666.4
872.266	655.8
872.654	655.4
873.064	649.2
873.473	667.4
873.883	650
874.271	654.2
874.681	668
875.091	653.6
875.48	660.6
875.89	669.2
876.3	656
876.689	639.6
877.1	662.4
877.51	661.2
877.9	677.2
878.31	656.8
878.721	687.8
879.111	658.2
879.522	654.4
879.933	644.4
880.323	637
880.734	649.6
881.125	651
881.536	653.8
881.948	640.6
882.338	655.6
882.75	661.8
883.141	647.2
883.553	657.8
883.944	684.2
884.356	661.2
884.769	657.2
885.16	654.2
885.573	655.4
885.964	656.6
886.377	661.2
886.768	640
887.181	648
887.573	651.8
887.987	658.2
888.378	673.8
888.792	659.2
889.184	703
889.598	649.8
889.99	654.2
890.383	647.4
890.797	649.2
891.19	663.8
891.604	653.6
891.997	645.2
892.411	656.4
892.805	637.8
893.198	648.4
893.613	643
894.006	651.6
894.421	642.2
894.815	641
895.209	648.4
895.624	703.4
896.018	681.6
896.412	647.8
896.828	646.8
897.222	650.6
897.617	642.2
898.033	675
898.427	648.6
898.822	647.4
899.239	636
899.634	636.8
900.029	669
900.424	643.2
900.841	645
901.236	664.2
901.632	653.4
902.027	720
902.445	667
902.841	661.6
903.237	654.6
903.633	670.8
904.05	670
904.447	646.6
904.843	669.6
905.24	656.6
905.636	639
906.033	657.4
906.451	664.6
906.848	639.6
907.246	656.2
907.643	658
908.04	662.6
908.438	673.4
908.835	656.2
909.254	645.6
909.652	664
910.05	659.6
910.448	642.6
910.846	658.6
911.244	651.8
911.643	649.4
912.041	653
912.44	671.4
912.839	644.6
913.237	656
913.636	645.8
914.035	659.6
914.434	650.2
914.834	666.2
915.233	666
915.633	650
916.032	654
916.432	651.4
916.832	673.4
917.232	646
917.632	639.4
918.032	662.2
918.432	648.4
918.833	646
919.233	654
919.634	641.4
920.035	669.8
920.436	650
920.837	656.4
921.238	646.6
921.639	641.2
922.019	656.4
922.42	651.2
922.822	662.6
923.224	655.4
923.625	648.2
924.027	652
924.429	674.2
924.81	649
925.212	653.8
925.615	654.4
926.017	651.8
926.42	667.2
926.801	654.2
927.204	651.6
927.607	654.8
928.01	669.2
928.413	645.2
928.795	637.4
929.199	653.2
929.602	656.4
930.006	643.6
930.388	643.6
930.792	657.4
931.196	656.2
931.579	689.2
931.983	638.2
932.388	699.6
932.771	651
933.176	642.6
933.58	652.2
933.964	666
934.369	643.4
934.774	659.8
935.158	652.6
935.563	655
935.947	653.2
936.353	659.2
936.759	644
937.143	665.2
937.549	658
937.934	663.4
938.34	682.2
938.746	646
939.131	642.8
939.538	644.8
939.923	652.8
940.33	633.2
940.716	642.8
941.123	658.4
941.508	652.4
941.916	666.2
942.302	656.4
942.709	627
943.096	642.2
943.503	656.2
943.89	645
944.298	642.6
944.685	682.4
945.072	646.2
945.48	672.8
945.867	650.6
946.276	640
946.663	670.6
947.051	670
947.46	656.2
947.848	650
948.257	649.2
948.645	654.8
949.033	648
949.443	636.4
949.831	694.6
950.22	639.6
950.63	654
951.018	682.6
951.407	655.6
951.796	642
952.207	662.4
952.596	662.2
952.985	641.6
953.375	704.8
953.786	653.4
954.176	643.8
954.566	661.4
954.956	644
955.367	651.2
955.758	674.8
956.148	637.6
956.539	661.8
956.929	639.6
957.341	636.6
957.732	656
958.123	661.8
958.515	641
958.906	652.2
959.297	650.4
959.689	660.6
960.102	653.4
960.494	650
960.886	654.2
961.278	647.2
961.67	671.4
962.062	698.6
962.455	648.8
962.847	642
963.24	647.8
963.633	650.4
964.026	642.6
964.419	659
964.812	671.4
965.206	637.2
965.599	661.4
965.993	655.6
966.386	644.4
966.78	669.2
967.174	665.2
967.569	650.8
967.963	643.2
968.357	644.2
968.752	645.6
969.146	647.2
969.541	641.8
969.936	646.4
970.331	654.6
970.705	653.6
971.1	641
971.496	661.4
971.892	643
972.287	648
