#lambda/nm	C1
208.295	541.2
208.67	490.8
209.045	457.6
209.419	451.2
209.794	687.2
210.169	669.2
210.544	807.2
210.919	697.4
211.295	677.8
211.67	679.4
212.045	688.8
212.421	683
212.796	726
213.172	683.8
213.547	675.2
213.923	687.4
214.299	681.4
214.675	688.4
215.051	682.8
215.427	694.2
215.803	699.8
216.179	690.8
216.555	679.2
216.932	699.2
217.308	688
217.684	682.6
218.061	694.4
218.438	689.6
218.814	678
219.191	690
219.568	680.8
219.945	676
220.322	688.2
220.699	701.8
221.076	693.6
221.453	692
221.83	683.6
222.208	678.6
222.585	678.8
222.962	695.6
223.34	693.4
223.717	689.4
224.095	684.4
224.473	693.8
224.851	675.8
225.229	675
225.607	702.8
225.985	676.8
226.363	688
226.741	683.8
227.119	684
227.497	696.8
227.876	671
228.254	691.2
228.633	691.8
229.011	689.4
229.39	689.2
229.769	689
230.148	702.2
230.527	717.8
230.905	682.4
231.284	696.4
231.664	686.6
232.043	703.2
232.422	694.6
232.801	682.4
233.181	691.2
233.56	684.4
233.94	689.6
234.319	672
234.699	685.2
235.079	737.6
235.458	732.4
235.838	710.2
236.218	680.4
236.598	677.8
236.978	673.8
237.358	686.6
237.738	678.8
238.119	698.6
238.499	668.8
238.88	694.2
239.26	702.2
239.641	677.2
240.021	680.2
240.402	690.8
240.783	687.4
241.163	681.8
241.544	682
241.925	685
242.306	705.8
242.687	672.4
243.069	681.2
243.45	698.2
243.831	677.2
244.212	679.4
244.594	724.6
244.975	689.2
245.357	688.6
245.739	678.8
246.12	687.4
246.502	702.2
246.884	681
247.266	688
247.648	686
248.03	711.4
248.412	683
248.794	695
249.176	684.2
249.559	698.6
249.941	682.6
250.323	670.4
250.706	677.2
251.089	690.8
251.471	690.8
251.854	692.4
252.237	693.4
252.62	690.6
253.002	688.8
253.385	693.4
253.769	712.6
254.152	689.8
254.535	694.2
254.918	680.8
255.301	685.6
255.685	680.4
256.068	678.6
256.452	717.4
256.835	695.8
257.219	696.4
257.603	707.6
257.986	680.6
258.37	701
258.754	678.6
259.138	700.6
259.522	704.2
259.906	689.8
260.29	696.4
260.675	691.2
261.059	693
261.443	670.2
261.828	697.6
262.212	695
262.597	669.2
262.981	679.8
263.366	691
263.751	694.4
264.136	685.2
264.521	678.2
264.906	673
265.291	699
265.676	680.2
266.061	687.6
266.446	710.6
266.831	691
267.217	716.8
267.602	693.6
267.987	683.2
268.373	690.4
268.759	706.8
269.144	699.8
269.53	684.6
269.916	684
270.302	677
270.688	700
271.074	693.8
271.46	695.4
271.846	727.2
272.232	680.4
272.618	684.4
273.004	687.6
273.391	702.6
273.777	703.2
274.164	690.4
274.55	706.2
274.937	699
275.324	692.8
275.71	698
276.097	697.4
276.484	672.6
276.871	691
277.258	692.2
277.645	677.2
278.032	677.2
278.419	692.4
278.807	699.8
279.194	681.2
279.581	680.2
279.969	688.4
280.356	696.2
280.744	688.8
281.131	722
281.519	704.4
281.907	693.8
282.295	683.2
282.682	701
283.07	696
283.458	702.6
283.846	705.6
284.235	701.8
284.623	710.4
285.011	680
285.399	680.2
285.788	692.6
286.176	675.8
286.565	710.8
286.953	677.4
287.342	679.4
287.731	679.8
288.119	672.2
288.508	681
288.897	692.8
289.286	673.2
289.675	687.2
290.064	701.8
290.453	681.2
290.821	691.4
291.21	709.6
291.599	679.4
291.989	681.4
292.378	707.8
292.768	712.4
293.157	691.6
293.547	702.4
293.936	685.6
294.326	683.2
294.716	689.2
295.106	684.8
295.496	694.4
295.886	697.6
296.276	685.6
296.666	681.8
297.056	679
297.446	677.8
297.836	706
