#lambda/nm	C1
208.295	537.6
208.67	490.8
209.045	451.4
209.419	456
209.794	688
210.169	672
210.544	813.2
210.919	696.2
211.295	675.8
211.67	689
212.045	683.4
212.421	682.4
212.796	731.8
213.172	688
213.547	680.8
213.923	685.2
214.299	682.6
214.675	699
215.051	695.4
215.427	694
215.803	707
216.179	692.8
216.555	686.4
216.932	687.4
217.308	689
217.684	688.4
218.061	697.8
218.438	691.4
218.814	679.8
219.191	703.4
219.568	676.2
219.945	680.8
220.322	693.2
220.699	692.2
221.076	702.6
221.453	687.8
221.83	671.2
222.208	682
222.585	680.8
222.962	688.2
223.34	690.8
223.717	689.2
224.095	681.8
224.473	679.8
224.851	679.6
225.229	679.4
225.607	703.6
225.985	676.6
226.363	693.8
226.741	688
227.119	679.8
227.497	703.2
227.876	680.4
228.254	692.2
228.633	692.4
229.011	694.8
229.39	695.4
229.769	693.8
230.148	701.2
230.527	708.2
230.905	685.4
231.284	691.2
231.664	677.2
232.043	701.2
232.422	687.8
232.801	685.2
233.181	695
233.56	683.8
233.94	690.4
234.319	672.2
234.699	680.4
235.079	733.2
235.458	728.6
235.838	706.2
236.218	673.4
236.598	669.2
236.978	676.2
237.358	677.2
237.738	676.8
238.119	697.4
238.499	668.4
238.88	683.6
239.26	701.4
239.641	675.8
240.021	675
240.402	689.4
240.783	686.2
241.163	686.2
241.544	678.2
241.925	689.8
242.306	706.4
242.687	674
243.069	679.8
243.45	690.2
243.831	682.2
244.212	681.4
244.594	731.6
244.975	697.4
245.357	691
245.739	688.6
246.12	690.6
246.502	702.2
246.884	685
247.266	679.6
247.648	690.6
248.03	716.8
248.412	692
248.794	686.2
249.176	681.6
249.559	702.6
249.941	680
250.323	679.4
250.706	689
251.089	690
251.471	693.2
251.854	689.4
252.237	682.4
252.62	703.2
253.002	684.2
253.385	688
253.769	705.8
254.152	679.8
254.535	698.4
254.918	680
255.301	686.6
255.685	686.8
256.068	677.8
256.452	709
256.835	700
257.219	695.4
257.603	713
257.986	679
258.37	693
258.754	674.8
259.138	706.2
259.522	702.4
259.906	694.6
260.29	697
260.675	689
261.059	685.2
261.443	677.4
261.828	704.4
262.212	692.8
262.597	665.2
262.981	683.8
263.366	693.8
263.751	689.4
264.136	687.2
264.521	686.2
264.906	682.2
265.291	704.8
265.676	689.8
266.061	692.6
266.446	704.6
266.831	690.4
267.217	707.2
267.602	700
267.987	695.2
268.373	691
268.759	709
269.144	698.6
269.53	685.6
269.916	675.4
270.302	687.4
270.688	701
271.074	692.2
271.46	706.2
271.846	735.6
272.232	689
272.618	683.6
273.004	687.2
273.391	704
273.777	703.4
274.164	698.6
274.55	713.4
274.937	694.4
275.324	685
275.71	697.8
276.097	692
276.484	685.2
276.871	693
277.258	698.2
277.645	669.4
278.032	691.4
278.419	678
278.807	699.2
279.194	683.2
279.581	684.4
279.969	695.6
280.356	695
280.744	693.8
281.131	719.6
281.519	707.8
281.907	692.6
282.295	680.2
282.682	695.8
283.07	690.4
283.458	702.6
283.846	704.2
284.235	701.8
284.623	713
285.011	676.6
285.399	690.6
285.788	701.2
286.176	677
286.565	710.4
286.953	686
287.342	682
287.731	689
288.119	689.2
288.508	686.2
288.897	688.4
289.286	675.4
289.675	705.8
290.064	699
290.453	680.6
290.821	689.8
291.21	705.4
291.599	687.8
291.989	685.8
292.378	701.4
292.768	709.4
293.157	708
293.547	704.4
293.936	689.2
294.326	685.8
294.716	694.2
295.106	692.6
295.496	702.6
295.886	701.2
296.276	690.2
296.666	678.2
297.056	687.2
297.446	682.2
297.836	714
298.227	686.2
298.617	699.6
299.008	710.6
299.398	684.2
299.789	687.8
300.179	698
300.57	709.8
300.961	691.8
301.352	680.6
301.742	703.6
302.133	692
302.524	685
302.915	687.8
303.307	679.4
303.698	695.6
304.089	689
304.48	682.6
304.872	697.8
305.263	688.4
305.655	686.8
306.046	699.8
306.438	695.4
306.829	681.2
307.221	701.8
307.613	697.6
308.005	702.8
308.397	705.6
308.789	716.2
309.181	723
309.573	712.6
309.965	699.2
310.357	691.4
310.749	703.6
311.142	685.4
311.534	687.8
311.926	702.6
312.319	688.8
312.711	687.6
313.104	711.6
313.497	682.8
313.889	737.4
314.282	715.2
314.675	713
315.068	689.2
315.461	694
315.854	716.6
316.247	700.8
316.64	691.6
317.033	696
317.405	699.6
317.798	690.4
318.192	702.2
318.585	685
318.979	689
319.372	688.2
319.766	695.2
320.16	704.4
320.553	715.2
320.947	718.4
321.341	688.4
321.735	690
322.129	679
322.523	720
322.917	690.2
323.311	707.4
323.705	700.4
324.099	697.2
324.494	712.2
324.888	698.2
325.282	689.4
325.677	712.8
326.071	705.8
326.466	709
326.861	693
327.255	709.4
327.65	703.8
328.045	710.6
328.44	706.8
328.835	694.2
329.23	688.8
329.625	717
330.02	692.6
330.415	717.4
330.81	691.6
331.206	697.2
331.601	682.4
331.996	696.2
332.37	715.2
332.766	686
333.161	712.4
333.557	695
333.953	687.8
334.348	1090.4
334.744	697
335.14	690.2
335.536	694.8
335.932	703
336.328	698
336.724	705
337.12	688.4
337.516	695.2
337.913	694.2
338.309	705.4
338.705	695.6
339.102	704.2
339.498	679.2
339.895	710.8
340.291	687.6
340.688	702.8
341.085	685.2
341.481	690.2
341.878	692.4
342.275	714.2
342.672	687
343.069	681
343.466	667.8
343.842	699.4
344.239	679.4
344.636	687.4
345.033	668.6
345.431	687.4
345.828	685.6
346.225	681.4
346.623	730.4
347.02	691.8
347.418	696.8
347.816	706.2
348.213	678.6
348.611	690.2
349.009	687.6
349.407	700
349.805	691.2
350.203	676
350.601	701.8
350.999	682
351.397	740.2
351.795	690.4
352.193	696.4
352.57	696.8
352.969	702.8
353.367	683.6
353.766	677.8
354.164	682.6
354.563	714.2
354.961	687.8
355.36	686.2
355.759	692.4
356.158	680.8
356.557	684.2
356.956	679.8
357.355	679.6
357.754	700.8
358.153	691.8
358.552	713.8
358.951	688.2
359.35	697.8
359.75	695.8
360.149	685.4
360.527	665.6
360.926	677.6
361.326	692.8
361.726	689.6
362.125	688.2
362.525	694.8
362.925	688
363.325	689
363.724	691
364.124	674.4
364.524	677
364.924	683.2
365.324	700
365.725	662.4
366.125	693.6
366.525	690.2
366.904	675.4
367.304	666.8
367.705	699.4
368.105	696.8
368.506	678.8
368.906	684.8
369.307	682.8
369.708	695.2
370.108	666
370.509	699.2
370.91	688.8
371.311	681.8
371.712	692.4
372.113	692.8
372.514	668.6
372.894	681
373.295	676.2
373.696	707
374.097	689
374.499	729.4
374.9	683
375.301	672.8
375.703	685.2
376.105	672.4
376.506	674.4
376.908	687.6
377.309	682.4
377.711	690.4
378.113	676.6
378.493	683.6
378.895	673.4
379.297	686.4
379.699	674
380.102	689.4
380.504	689.4
380.906	677
381.308	712.4
381.71	674
382.113	692.2
382.515	687.4
382.918	690.8
383.299	691.4
383.701	697.8
384.104	682.4
384.507	661
384.909	683.6
385.312	674.8
385.715	675.2
386.118	683.4
386.521	672.2
386.924	699.4
387.327	679.2
387.709	666.8
388.112	665.4
388.515	676.6
388.918	678.6
389.322	694.6
389.725	685.8
390.129	700.6
390.532	688.4
390.936	673.2
391.339	668.8
391.743	690.4
392.125	670
392.529	691.4
392.933	691
393.337	682.4
393.74	684
394.144	682.6
394.548	677.8
394.953	691
395.357	691.6
395.761	668.8
396.144	681.6
396.548	679.6
396.952	683
397.357	694.6
397.761	673.8
398.166	685
398.57	681
398.975	676
399.379	685.6
399.763	739
400.168	683.2
400.572	679.6
400.977	683
401.382	704.4
401.787	685.8
402.192	700.6
402.597	709.8
403.002	670.4
403.386	705.4
403.791	704.8
404.197	679.2
404.602	683.8
405.007	689
405.413	667.6
405.818	696.4
406.224	683.4
406.608	674.8
407.014	673.4
407.42	696
407.825	678.8
408.231	694.8
408.637	682.8
409.043	699.8
409.449	683.2
409.834	675.2
410.24	685.8
410.646	689.4
411.052	697.6
411.458	679.2
411.865	700.4
412.271	698
412.677	689.4
413.062	687
413.469	673.4
413.875	721.4
414.282	697.4
414.689	681.2
415.095	693.8
415.502	680.8
415.888	681
416.294	658.6
416.701	733.8
417.108	675.4
417.515	693.6
417.923	676.6
418.33	701.8
418.715	694
419.123	684.6
419.53	683.4
419.937	690
420.345	703
420.752	682.8
421.16	698.4
421.546	676.8
421.953	688.8
422.361	669.2
422.769	676
423.177	675.2
423.585	715.4
423.992	710
424.379	708.2
424.787	696.2
425.195	707.8
425.603	694.4
426.011	699.2
426.419	696.8
426.806	690.4
427.214	687.8
427.623	712.4
428.031	707
428.44	693.8
428.848	697.8
429.235	710.2
429.644	688.4
430.053	695
430.461	704.8
430.87	718.4
431.279	695.8
431.666	681.4
432.075	681
432.484	693.6
432.893	678.2
433.302	708.6
433.711	745.2
434.099	687.6
434.508	689.2
434.918	669.6
435.327	690.2
435.737	691.2
436.125	691
436.534	685.8
436.944	683.8
437.353	689.8
437.763	707.4
438.173	680.6
438.561	706.4
438.971	669.4
439.381	683.8
439.791	687.8
440.201	661.6
440.589	680.6
440.999	688.8
441.409	678.4
441.819	674
