#lambda/nm	C1
208.295	543.8
208.67	493.2
209.045	458.4
209.419	450
209.794	683.4
210.169	664.8
210.544	811
210.919	692.4
211.295	678.8
211.67	689.2
212.045	698.6
212.421	682
212.796	722.2
213.172	677.2
213.547	672.2
213.923	687.4
214.299	679
214.675	697.2
215.051	689.2
215.427	692.2
215.803	706.6
216.179	687.2
216.555	681
216.932	697.2
217.308	684
217.684	680.2
218.061	696.8
218.438	691
218.814	675.6
219.191	688.4
219.568	682.8
219.945	682.2
220.322	694
220.699	690.4
221.076	702.6
221.453	693.8
221.83	677.2
222.208	684.6
222.585	688.8
222.962	693.2
223.34	694.4
223.717	679.8
224.095	686.2
224.473	683.2
224.851	684.6
225.229	679
225.607	707.8
225.985	672.8
226.363	694.2
226.741	685.2
227.119	692.6
227.497	695.2
227.876	671.4
228.254	703.4
228.633	694.6
229.011	687
229.39	696
229.769	692.6
230.148	694.8
230.527	715.2
230.905	681.6
231.284	688.8
231.664	684.6
232.043	706.2
232.422	692.4
232.801	683.4
233.181	700.6
233.56	691.6
233.94	686
234.319	673.4
234.699	678.2
235.079	730.2
235.458	729.6
235.838	703.6
236.218	676.4
236.598	679
236.978	682
237.358	676
237.738	682.2
238.119	700.8
238.499	678.6
238.88	696.2
239.26	716.8
239.641	676.6
240.021	687.8
240.402	698.4
240.783	682.2
241.163	683.6
241.544	695.2
241.925	689.2
242.306	701.8
242.687	693.2
243.069	682.2
243.45	698.4
243.831	678.2
244.212	691.2
244.594	725.6
244.975	699.2
245.357	699
245.739	681.8
246.12	693
246.502	703.6
246.884	697
247.266	687.4
247.648	696.8
248.03	716.4
248.412	690.2
248.794	697
249.176	684.2
249.559	697.2
249.941	680.2
250.323	681.6
250.706	685.2
251.089	694.8
251.471	695.4
251.854	689.4
252.237	702.2
252.62	692.6
253.002	688.8
253.385	699.4
253.769	710.8
254.152	688.8
254.535	695.2
254.918	674.6
255.301	693.4
255.685	687.6
256.068	689
256.452	708.2
256.835	698.4
257.219	690.2
257.603	712
257.986	679
258.37	698.6
258.754	677.6
259.138	703
259.522	703.8
259.906	681.6
260.29	696.6
260.675	689
261.059	689.4
261.443	680.4
261.828	695.2
262.212	693
262.597	676.2
262.981	677.2
263.366	695.4
263.751	691
264.136	685.2
264.521	684.6
264.906	679.8
265.291	697.8
265.676	689
266.061	699.2
266.446	709.4
266.831	688.8
267.217	700
267.602	689.2
267.987	692
268.373	689
268.759	700.4
269.144	697.4
269.53	693.4
269.916	692.6
270.302	687.4
270.688	694
271.074	699.8
271.46	700
271.846	725
272.232	686.6
272.618	675.4
273.004	688.4
273.391	706
273.777	715.6
274.164	695.8
274.55	713.4
274.937	695.2
275.324	684.2
275.71	693.8
276.097	704
276.484	680.6
276.871	698.8
277.258	690.4
277.645	673.2
278.032	690.4
278.419	684
278.807	686.6
279.194	685.2
279.581	686.8
279.969	693.8
280.356	688.6
280.744	692
281.131	717.6
281.519	702
281.907	686.6
282.295	689
282.682	700.6
283.07	697.8
283.458	705.4
283.846	701
284.235	712.8
284.623	706.8
285.011	676.4
285.399	698.4
285.788	685.8
286.176	674.8
286.565	706.6
286.953	691
287.342	684
287.731	685.6
288.119	686.4
288.508	686.8
288.897	687.2
289.286	673
289.675	680.8
290.064	689.4
290.453	681
290.821	683.6
291.21	706.6
291.599	681
291.989	688.2
292.378	695
292.768	710.8
293.157	695.2
293.547	695.4
293.936	685.6
294.326	690
294.716	696.6
295.106	695.6
295.496	706.2
295.886	701.2
296.276	693.2
296.666	684.2
297.056	686
297.446	673.6
297.836	712.4
298.227	693.6
298.617	696
299.008	700.6
299.398	691.6
299.789	682
300.179	687.4
300.57	707
300.961	694.2
301.352	694.6
301.742	697.8
302.133	694.6
302.524	688.6
302.915	691.4
303.307	679.8
303.698	698.8
304.089	696.4
304.48	695.2
304.872	702.8
305.263	697.2
305.655	685.4
306.046	699.8
306.438	697.2
306.829	683.2
307.221	711.8
307.613	702
308.005	700.6
308.397	704.8
308.789	715
309.181	719.6
309.573	708.6
309.965	697.2
310.357	681.4
310.749	706.6
311.142	677.2
311.534	677.8
311.926	700.2
312.319	696
312.711	671
313.104	700.4
313.497	701.6
313.889	740.2
314.282	716
314.675	720.6
315.068	697.4
315.461	704
315.854	730.2
316.247	692.8
316.64	685.8
317.033	692.4
317.405	696.8
317.798	689.6
318.192	696.8
318.585	682
318.979	698
319.372	683.8
319.766	684
320.16	693.2
320.553	705.8
320.947	711.2
321.341	690.2
321.735	687
322.129	679.4
322.523	721.8
322.917	673.8
323.311	694.8
323.705	685.6
324.099	702.2
324.494	707
324.888	701.2
325.282	691.8
325.677	708.6
326.071	690.4
326.466	707.6
326.861	705.6
327.255	709.4
327.65	706.4
328.045	711.4
328.44	697.8
328.835	697
329.23	689.8
329.625	731.4
330.02	685
330.415	720.8
330.81	691.4
331.206	694.8
331.601	685.2
331.996	696.6
332.37	716
332.766	682.6
333.161	717.2
333.557	689.6
333.953	691.2
334.348	1095.4
334.744	687.6
335.14	687.8
335.536	686.2
335.932	708
336.328	694.8
336.724	696.2
337.12	696
337.516	693.6
337.913	694.2
338.309	703.2
338.705	689.8
339.102	703.6
339.498	686.2
339.895	702
340.291	681.6
340.688	698.4
341.085	683.6
341.481	689.2
341.878	688.6
342.275	717.6
342.672	684.8
343.069	688
343.466	681
343.842	692
344.239	687.2
344.636	697.6
345.033	693.4
345.431	673.8
345.828	695.4
346.225	680.8
346.623	726.6
347.02	694
347.418	696.2
347.816	707.6
348.213	684.4
348.611	702.2
349.009	692.8
349.407	699.6
349.805	681
350.203	670
350.601	704
350.999	681.4
351.397	768.2
351.795	695
352.193	702.8
352.57	703.8
352.969	701.2
353.367	680.6
353.766	676
354.164	693.6
354.563	689.2
354.961	687.8
355.36	683.4
355.759	691
356.158	685.6
356.557	684.8
356.956	673.4
357.355	676.8
357.754	701.4
358.153	700.6
358.552	717.8
358.951	685.8
359.35	699.8
359.75	679.8
360.149	672.8
360.527	671.4
360.926	687.8
361.326	693.6
361.726	682.6
362.125	671
362.525	693.6
362.925	682.8
363.325	685.4
363.724	686
364.124	684.4
364.524	678
364.924	678.4
365.324	697
365.725	676
366.125	697.4
366.525	689.2
366.904	675.6
367.304	669.8
367.705	709.4
368.105	704.8
368.506	687
368.906	686
369.307	682.8
369.708	689.4
370.108	665.8
370.509	692.8
370.91	676.8
371.311	689
371.712	683.2
372.113	685
372.514	669.6
372.894	682.4
373.295	686.6
373.696	698.2
374.097	696.8
374.499	722
374.9	689
375.301	674.2
375.703	682
376.105	679.2
376.506	686
376.908	689.8
377.309	678.8
377.711	686
378.113	686
378.493	685.8
378.895	672.4
379.297	693
379.699	669.8
380.102	687.6
380.504	691.8
380.906	672.8
381.308	718.6
381.71	683
382.113	693.6
382.515	670.4
382.918	674.8
383.299	687.6
383.701	692
384.104	695.4
384.507	660.4
384.909	680
385.312	667.6
385.715	675
386.118	677.6
386.521	665.2
386.924	696.6
387.327	678.6
387.709	656.6
388.112	664.2
388.515	674.4
388.918	675.8
389.322	683.6
389.725	672.4
390.129	713.8
390.532	693.8
390.936	675.6
391.339	671.2
391.743	688
392.125	671.8
392.529	694.4
392.933	691.2
393.337	684.4
393.74	674.6
394.144	682.8
394.548	663.6
394.953	679.6
395.357	689.2
395.761	683.2
396.144	681.6
396.548	681.8
396.952	681
397.357	678.6
397.761	677.4
398.166	678
398.57	685.4
398.975	670.2
399.379	686.2
399.763	731.8
400.168	680
400.572	678
400.977	678.2
401.382	705.2
401.787	699
402.192	697
402.597	702
403.002	682.4
403.386	703.4
403.791	702.4
404.197	681
404.602	675.8
405.007	686.8
405.413	677.8
405.818	688.2
406.224	675.6
406.608	684.2
407.014	672.8
407.42	700
407.825	674.2
408.231	694.6
408.637	686.2
409.043	704.8
409.449	679.2
409.834	671.2
410.24	682.6
410.646	697.2
411.052	686.8
411.458	688.4
411.865	692.2
412.271	686.8
412.677	686.6
413.062	687.2
413.469	674.6
413.875	712.4
414.282	698.2
414.689	683.8
415.095	696.2
415.502	679.8
415.888	689.6
416.294	668.2
416.701	726.4
417.108	671.2
417.515	695.8
417.923	676.4
418.33	706.4
418.715	697.4
419.123	682.4
419.53	683
419.937	683.6
420.345	703.4
420.752	693.2
421.16	698
421.546	689.6
421.953	692.4
