#lambda/nm	C1
208.295	545.6
208.67	494.2
209.045	456.2
209.419	456.6
209.794	693
210.169	672.2
210.544	811.6
210.919	695.8
211.295	687
211.67	683.2
212.045	684.6
212.421	685.4
212.796	740.2
213.172	690.6
213.547	675.2
213.923	679
214.299	674
214.675	690.8
215.051	699.8
215.427	699.4
215.803	706.4
216.179	686.4
216.555	683.4
216.932	691
217.308	685.6
217.684	678.4
218.061	690
218.438	690.2
218.814	672.4
219.191	694.6
219.568	685.2
219.945	684.8
220.322	704.6
220.699	709.2
221.076	691
221.453	691.4
221.83	683.4
222.208	681.4
222.585	686.2
222.962	694
223.34	687.8
223.717	694.6
224.095	686.2
224.473	689
224.851	677.4
225.229	680.2
225.607	700.4
225.985	679.2
226.363	699.2
226.741	688
227.119	692.2
227.497	710.4
227.876	675.6
228.254	693.8
228.633	689.6
229.011	690.4
229.39	691
229.769	692
230.148	702.2
230.527	720.4
230.905	690.6
231.284	692.6
231.664	682.2
232.043	706
232.422	695.4
232.801	678.6
233.181	698.4
233.56	685.2
233.94	684.4
234.319	677
234.699	681.2
235.079	730.6
235.458	738.2
235.838	706.2
236.218	686.2
236.598	675.6
236.978	680
237.358	687.4
237.738	670.2
238.119	694.8
238.499	674.6
238.88	693.8
239.26	705.6
239.641	667.6
240.021	678.6
240.402	691.4
240.783	690.4
241.163	690.2
241.544	691.8
241.925	683.2
242.306	708.4
242.687	680.2
243.069	689.8
243.45	692.4
243.831	682
244.212	683
244.594	739.2
244.975	698
245.357	698.8
245.739	682.6
246.12	686
246.502	695.6
246.884	682.6
247.266	682.2
247.648	690.6
248.03	708.6
248.412	686.2
248.794	695.2
249.176	682.4
249.559	697.8
249.941	679.4
250.323	679.6
250.706	688.2
251.089	689
251.471	693.4
251.854	689
252.237	687.8
252.62	701.6
253.002	689.6
253.385	692.8
253.769	700.8
254.152	687
254.535	697.6
254.918	682.8
255.301	679.6
255.685	686
256.068	671
256.452	709
256.835	695.2
257.219	702.4
257.603	698.8
257.986	679.4
258.37	691.8
258.754	674
259.138	698
259.522	702.4
259.906	696.4
260.29	694.8
260.675	692.8
261.059	693
261.443	673.2
261.828	692.6
262.212	694
262.597	684.6
262.981	685.6
263.366	700
263.751	695.2
264.136	687.4
264.521	694
264.906	682.8
265.291	699.4
265.676	686.4
266.061	699.4
266.446	718.8
266.831	688.6
267.217	708.6
267.602	690.4
267.987	690.6
268.373	683.2
268.759	704.2
269.144	699.6
269.53	683.6
269.916	679.8
270.302	683.6
270.688	695.4
271.074	698.6
271.46	711.2
271.846	734.2
272.232	683.2
272.618	686.2
273.004	688.8
273.391	703.2
273.777	708
274.164	693.8
274.55	704.4
274.937	693.6
275.324	693.4
275.71	690.4
276.097	706.2
276.484	680.2
276.871	681.2
277.258	694.2
277.645	665.8
278.032	685.4
278.419	686.4
278.807	695.8
279.194	677.4
279.581	681.4
279.969	691.2
280.356	695.2
280.744	688
281.131	708.2
281.519	702.6
281.907	685.2
282.295	694
282.682	704.6
283.07	690
283.458	707
283.846	703.8
284.235	697.8
284.623	711
285.011	675.8
285.399	685.4
285.788	693.6
286.176	677
286.565	710.8
286.953	688.2
287.342	681
287.731	684.6
288.119	681.2
288.508	686.6
288.897	687.2
289.286	676.2
289.675	689.2
290.064	709.8
290.453	691.4
290.821	686.8
291.21	709.2
291.599	691
291.989	692.2
292.378	701
292.768	718.2
293.157	702.2
293.547	706.2
293.936	691.6
294.326	683.4
294.716	696.8
295.106	687.4
295.496	700.4
295.886	699
296.276	694.8
296.666	685.8
297.056	691
297.446	675.6
297.836	720.6
298.227	692.6
298.617	691.4
299.008	710.4
299.398	694
299.789	691.4
300.179	697
300.57	703
300.961	683.4
301.352	678.2
301.742	700.2
302.133	692.4
302.524	694
302.915	689.2
303.307	677.2
303.698	706.6
304.089	688.4
304.48	689.2
304.872	692
305.263	686.4
305.655	681.6
306.046	691.8
306.438	695.4
306.829	668.8
307.221	707.2
307.613	700.8
308.005	710.4
308.397	708.2
308.789	709.2
309.181	708.4
309.573	705.6
309.965	709.2
310.357	682
310.749	710
311.142	679.4
311.534	691.4
311.926	694.8
312.319	683
312.711	682.4
313.104	715.2
313.497	692.6
313.889	738
314.282	709.8
314.675	722.2
315.068	697
315.461	701
315.854	725.8
316.247	698.8
316.64	692
317.033	690.8
317.405	703
317.798	685.8
318.192	697.8
318.585	683.2
318.979	702
319.372	691.2
319.766	682.8
320.16	708.6
320.553	704.8
320.947	712.6
321.341	684.6
321.735	695.6
322.129	682
322.523	716.6
322.917	680.6
323.311	704.2
323.705	696.2
324.099	701.8
324.494	710.8
324.888	705.8
325.282	688.2
325.677	705.4
326.071	694.8
326.466	703.8
326.861	689.4
327.255	706.6
327.65	710.4
328.045	712.2
328.44	686.2
328.835	705.6
329.23	684.8
329.625	719.2
330.02	687.4
330.415	715.6
330.81	691
331.206	697
331.601	685.6
331.996	695.4
332.37	714.6
332.766	678.4
333.161	723.8
333.557	690.8
333.953	695.4
334.348	1199.4
334.744	695
335.14	682.2
335.536	693.4
335.932	708.6
336.328	699.2
336.724	713
337.12	688.4
337.516	689
337.913	701
338.309	704
338.705	689.4
339.102	718.4
339.498	692.2
339.895	709.8
340.291	695
340.688	702.6
341.085	684.4
341.481	694
341.878	697.8
342.275	712.6
342.672	688
343.069	690
343.466	674
343.842	708.8
344.239	685.4
344.636	689.8
345.033	686
345.431	676.4
345.828	694
346.225	675
346.623	731.8
347.02	691.6
347.418	707.8
347.816	711
348.213	676
348.611	698
349.009	689
349.407	700
349.805	682.6
350.203	675
350.601	699
350.999	680.2
351.397	746.2
351.795	684
352.193	690.8
352.57	694.2
352.969	704.2
353.367	680.6
353.766	681.4
354.164	690
354.563	696.4
354.961	685
355.36	680.2
355.759	685.2
356.158	679.6
356.557	679.6
356.956	673.2
357.355	673.2
357.754	691.4
358.153	697.4
358.552	720.6
358.951	690.4
359.35	706.4
359.75	685.6
360.149	678.6
360.527	680.4
360.926	672
361.326	694.2
361.726	681
362.125	678
362.525	687.8
362.925	673.8
363.325	689.8
363.724	687.6
364.124	676.6
364.524	676.4
364.924	683.2
365.324	702.6
365.725	666.8
366.125	688.4
366.525	692.8
366.904	678
367.304	658.4
367.705	707
368.105	705.2
368.506	692.2
368.906	683.4
369.307	690
369.708	685.2
370.108	670.6
370.509	702.6
370.91	675
371.311	683.6
371.712	679.2
372.113	683
372.514	672.2
372.894	680.2
373.295	675.6
373.696	696.8
374.097	693.2
374.499	716.6
374.9	686.2
375.301	678.6
375.703	688.8
376.105	675.2
376.506	683
376.908	682.6
377.309	690.8
377.711	688
378.113	679.2
378.493	686.2
378.895	675
379.297	691.6
379.699	666
380.102	688.4
380.504	680.8
380.906	678.4
381.308	703
381.71	687
382.113	693.6
382.515	677.2
382.918	681.8
383.299	682.4
383.701	696.6
384.104	689.4
384.507	667.6
384.909	678.6
385.312	669.4
385.715	677.2
386.118	689.6
386.521	673
386.924	693.4
387.327	675.8
387.709	670.8
388.112	662
388.515	678
388.918	679.4
389.322	689.6
389.725	680.6
390.129	701.6
390.532	697.4
390.936	681
391.339	671.8
391.743	688
392.125	669
392.529	694.6
392.933	695.4
393.337	682.4
393.74	679.4
394.144	683.6
394.548	676.8
394.953	686.4
395.357	685.2
395.761	676.8
396.144	683.4
396.548	680.4
396.952	678.8
397.357	682.4
397.761	677.8
398.166	682.8
398.57	681.6
398.975	679.8
399.379	688.2
399.763	734.8
400.168	689.2
400.572	676.6
400.977	680
401.382	699.4
401.787	694.6
402.192	707
402.597	697.6
403.002	672.8
403.386	705.6
403.791	704.2
404.197	672.8
404.602	681.6
405.007	683.4
405.413	676.6
405.818	682.2
406.224	673.8
406.608	670.6
407.014	669.6
407.42	691
407.825	675
408.231	698.8
408.637	682.2
409.043	695.2
409.449	677.8
409.834	673.2
410.24	687.6
410.646	696.2
411.052	689.2
411.458	690.2
411.865	694.4
412.271	701.4
412.677	690.2
413.062	691
413.469	667
413.875	710.6
414.282	700.4
414.689	680.2
415.095	685.2
415.502	670.8
415.888	687.6
416.294	666.8
416.701	731.2
417.108	674.4
417.515	695
417.923	676.6
418.33	713.2
418.715	698.6
419.123	671.8
419.53	670.8
419.937	697.2
420.345	698.2
420.752	685
421.16	691
421.546	684.8
421.953	688.4
422.361	672.2
422.769	693.4
423.177	678
423.585	710.8
423.992	707.6
424.379	687
424.787	699.4
425.195	705.8
425.603	690
426.011	698
426.419	704.2
426.806	692
427.214	693
427.623	697
428.031	699
428.44	689.6
428.848	696
429.235	700
429.644	691.4
430.053	688
430.461	705.4
430.87	718.4
431.279	703.8
431.666	677.6
432.075	693
432.484	698.2
432.893	692.6
433.302	715.8
433.711	747
434.099	695.6
434.508	685.8
434.918	672.4
435.327	702.4
435.737	682
436.125	687
436.534	686.4
436.944	693
437.353	695.4
437.763	712.2
438.173	680.4
438.561	702
438.971	669.6
439.381	684
439.791	688
440.201	657
440.589	685
440.999	689.2
441.409	688.8
441.819	673
442.23	697.4
442.619	695.2
443.029	689.6
443.439	685.2
443.85	694.2
444.26	704.4
444.649	691
445.06	682.4
445.471	675
445.881	680.4
446.292	704.4
446.682	697.6
447.092	664.8
447.503	737.4
447.914	690.2
448.325	682
448.715	682
449.126	674.6
449.537	681
449.948	680.6
450.338	683
450.75	692.2
451.161	684.6
451.572	695.2
451.984	677.4
452.374	659.2
452.786	680.6
453.197	694.4
453.609	689
453.999	662
454.411	673.8
454.823	698.2
455.235	679.8
455.647	682
456.037	685.6
456.449	664.8
456.862	680.4
457.274	686.8
457.665	671.8
458.077	687.2
458.489	714.2
458.902	675.2
459.293	688.4
459.705	682.4
460.118	672.6
460.53	679
460.921	680
461.334	682.4
461.747	671.8
462.16	688.2
462.551	701.4
462.964	685.4
463.377	668.6
463.79	675.4
464.182	697.6
464.595	671.6
465.008	686.4
465.421	689
465.813	678.8
466.226	691.4
466.64	676.2
467.053	741.2
467.445	687.2
467.859	699
468.272	680.4
468.686	689.8
469.078	673.8
469.492	664.4
469.906	679.8
470.298	686
470.712	666.4
471.126	747
471.54	673.2
471.933	672.8
472.347	679
472.761	664
473.175	663.4
473.568	669.8
473.982	661.2
474.397	683.6
474.79	677.4
475.204	682.6
475.619	677.6
476.033	682.4
476.426	687.2
476.841	676.6
477.256	703
477.649	672.6
478.064	664.6
478.479	677.6
478.872	668.6
479.287	662.2
479.702	665.4
480.118	673.6
480.511	679
480.927	677
481.342	672
481.736	671.4
482.151	670.4
482.566	691.8
482.96	670.8
483.376	688.4
483.792	669.4
484.186	677.8
484.602	666.4
485.017	667.4
485.412	670.6
485.827	676
486.243	667.6
486.638	703.2
487.054	687.8
487.47	688.4
487.865	677.4
488.281	666.6
488.697	670.4
489.092	673.6
489.508	669
489.925	694.2
490.32	666.6
490.736	682.8
491.153	680
491.548	680.8
491.964	687.6
492.381	670.4
492.776	679.2
493.193	679.6
493.61	678.6
494.006	675.6
494.422	689
494.84	667
495.235	691
495.652	673.6
496.069	672.4
496.465	662
496.883	676
497.3	704.4
497.696	669.4
498.113	683.8
498.509	666.6
498.927	666.8
499.344	676.4
499.741	660
500.158	683
500.576	695.2
500.973	676.2
501.39	664.6
501.787	666.6
502.205	679.2
502.623	671
503.02	663.8
503.438	671.6
503.856	667
504.253	678.2
504.671	674
505.068	665
505.486	667.8
505.905	695.8
506.302	676.6
506.72	690.6
507.118	670.4
507.536	679.2
507.955	669.4
508.352	672.4
508.771	681
509.169	684.2
509.587	663.8
510.006	671
510.404	650
510.823	660.8
511.221	663.6
511.64	666.4
512.038	676
512.457	663
512.877	670.6
513.275	657.4
513.694	671.4
514.092	667
514.512	667.6
514.91	663
515.33	675.2
515.749	672.6
516.148	675
516.568	673
516.966	668
517.386	670
517.785	664.6
518.205	659.6
518.603	667.8
519.024	658
519.444	673.2
519.843	679
520.263	679.4
520.662	675.2
521.082	670.8
521.481	668.6
521.902	677.4
522.301	665.6
522.722	670.8
523.121	671
523.542	671.6
523.963	670
524.362	677.4
524.783	674.6
525.183	670.2
525.604	677.6
526.003	658
526.425	665.2
526.824	682.6
527.246	685.8
527.646	682.8
528.067	669.4
528.467	678.6
528.888	673
529.289	668.6
529.71	674.2
530.11	663.8
530.532	667.6
530.932	661.4
531.354	655.6
531.755	701
532.176	683.2
532.577	675.8
532.999	675.2
533.4	663.8
533.822	681.6
534.223	677.6
534.645	665.2
535.046	661.6
535.468	668.2
535.869	684.4
536.292	669.8
536.693	721.8
537.115	670.8
537.516	664.4
537.939	665.6
538.34	693.4
538.742	675
539.165	673.4
539.566	665.2
539.989	670.8
540.391	669.8
540.814	677.2
541.216	675.4
541.639	680.8
542.041	671.6
542.464	669
542.866	673.4
543.268	657.8
543.691	678
544.093	673
544.517	695.8
544.919	666.4
545.343	699
545.745	665.4
546.147	673
546.571	668.4
546.974	662.8
547.398	673.2
547.8	679.2
548.224	676.4
548.627	664.4
549.03	675
549.454	669.8
549.857	658
550.281	665.4
550.684	664.2
551.087	681.2
551.512	673.6
551.915	676.8
552.34	682.4
552.743	662.8
553.146	677.2
553.571	678.2
553.975	682.6
554.399	659.8
554.803	724.2
555.207	664.8
555.632	665.2
556.036	685
556.461	657.8
556.865	669
557.268	664.2
557.694	668.2
558.098	676.8
558.502	668.8
558.927	670.6
559.332	665.4
559.736	669
560.162	664.2
560.566	668.4
560.992	668
561.396	664.4
561.801	664.6
562.227	673.8
562.631	665.8
563.036	662.8
563.462	679
563.867	662.8
564.272	659.4
564.698	686.6
565.103	654.4
565.508	685.6
565.935	667.6
566.34	664.6
566.745	683
567.172	668
567.577	693
567.982	687.4
568.409	675.8
568.815	662.8
569.22	670
569.626	674.4
570.053	657.2
570.459	675.6
570.865	680.8
571.292	674.8
571.698	676.8
572.104	653.4
572.531	662
572.937	683.8
573.343	679.2
573.75	665.6
574.177	670.4
574.583	678.6
574.99	665.4
575.396	666.8
575.824	666
576.231	670
576.637	660.4
577.065	697.2
577.472	660.4
577.879	666.6
578.286	683.2
578.714	656.2
579.121	672.6
579.528	667.4
579.935	684.4
580.364	671.8
580.771	656.6
581.178	664
581.585	667.6
582.014	683.6
582.421	662
582.829	657
583.236	683.2
583.644	661
584.073	668
584.481	661
584.889	667
585.296	665.8
585.726	670.2
586.134	662.4
586.542	661
586.95	684.6
587.358	657
587.787	662.6
588.196	656.6
588.604	660
589.012	661
589.421	659.6
589.851	663.6
590.259	664.6
590.668	665
591.076	716.8
591.485	653.2
591.894	676.6
592.324	683.4
592.733	680.2
593.142	657.2
593.551	659.4
593.96	697
594.369	656.4
594.8	652.4
595.209	671.6
595.618	658.4
596.028	670.8
596.437	651.2
596.847	676.6
597.256	674.4
597.687	675.6
598.097	664.6
598.507	655.4
598.917	676.6
599.327	681
599.736	670.8
600.146	681.8
600.556	668
600.988	684
601.398	658.8
601.808	678.2
602.219	659.4
602.629	672.2
603.039	663.8
603.45	711.2
603.86	674.8
604.271	684.6
604.703	666.8
605.114	672.8
605.525	674.6
605.935	677.4
606.346	686.4
606.757	677.2
607.168	664.2
607.579	659.2
607.99	674.2
608.402	671.4
608.813	673.8
609.224	657.2
609.636	661.8
610.047	659.6
610.48	672.4
610.892	667.8
611.303	679.2
611.715	667.8
612.127	658.2
612.539	658.8
612.95	666.4
613.362	648.6
613.774	648.4
614.186	650.8
614.599	657.6
615.011	662
615.423	661.8
615.835	656
616.248	650.6
616.66	669
617.073	652.8
617.485	656.2
617.898	668.8
618.311	659.2
618.723	668.2
619.136	703
619.549	677
619.962	694.8
620.375	662.2
620.788	666.4
621.201	653
621.614	671.4
622.028	653.4
622.441	663
622.854	680.2
623.268	655.6
623.681	668.8
624.095	656.4
624.509	677.2
624.922	668.8
625.336	652.6
625.728	672.2
626.142	672
626.556	690.6
626.97	667
627.384	656.4
627.799	662.4
628.213	675.4
628.627	657.6
629.041	670.8
629.456	661.2
629.87	662
630.285	670.4
630.699	671.6
631.093	660
631.507	669.8
631.922	682.8
632.337	686.6
632.752	649.6
633.167	663
633.582	662.4
633.997	654.6
634.412	660.6
634.806	664
635.221	657
635.637	671
636.052	658.6
636.468	665.8
636.883	688.8
637.299	662.6
637.715	649.8
638.109	667
638.525	660
638.941	678.2
639.357	665.6
639.773	678.8
640.189	661.4
640.584	676.8
641	670.8
641.416	653.4
641.832	661
642.249	661
642.665	662.4
643.06	678.6
643.477	675.6
643.894	648
644.31	659.4
644.727	666.8
645.123	664
645.54	650
645.957	667.4
646.374	678.4
646.77	670
647.187	695.2
647.604	665.2
648.021	648.2
648.439	657.8
648.835	669.2
649.252	665.8
649.67	659.6
650.088	666
650.484	672
650.902	670.2
651.32	672.2
651.738	659.2
652.134	666.6
652.552	689.8
652.971	671.6
653.389	666.6
653.786	678.8
654.204	689.8
654.622	652.6
655.019	662.4
655.438	671.4
655.857	667
656.275	669.6
656.673	651.8
657.091	742.8
657.51	658.8
657.908	669.4
658.327	686.2
658.746	656.8
659.144	665.8
659.563	677
659.982	663.6
660.38	654
660.8	664.8
661.219	675
661.617	673
662.037	669.2
662.457	671
662.855	648.2
663.275	688.4
663.695	673.6
664.094	658.6
664.514	658.6
664.934	649.6
665.333	668.6
665.753	649
666.152	649
666.572	656.6
666.993	674.6
667.392	655
667.812	656
668.212	655
668.632	665
669.053	655.6
669.453	673.4
669.874	667
670.273	665.8
670.694	654.8
671.116	677
671.515	683.4
671.937	661
672.337	671
672.758	662.4
673.158	666.4
673.58	650.4
673.98	673.2
674.402	673.8
674.824	665.8
675.224	652.6
675.646	657.2
676.047	663
676.469	665.4
676.869	668.8
677.292	668.2
677.693	661.6
678.115	661
678.516	673.4
678.939	668
679.34	658
679.762	676.4
680.164	669.8
680.586	661.4
680.988	660.4
681.411	689.4
681.812	665.8
682.236	652.6
682.637	655.6
683.061	650.6
683.462	666
683.864	663
684.288	666.8
684.69	656.6
685.114	668.6
685.516	670.2
685.94	655.8
686.342	675.4
686.766	656.6
687.168	658.4
687.571	676.6
