#lambda/nm	C1
208.295	536.2
208.67	486.2
209.045	445.2
209.419	454
209.794	687.6
210.169	671.2
210.544	817.2
210.919	695.6
211.295	674.8
211.67	690.4
212.045	687.8
212.421	687.6
212.796	729.2
213.172	676.6
213.547	677
213.923	681.6
214.299	679
214.675	689.2
215.051	682.2
215.427	692
215.803	711.4
216.179	694.8
216.555	681.4
216.932	696.2
217.308	681.8
217.684	682.6
218.061	700
218.438	687
218.814	677.8
219.191	693.6
219.568	682
219.945	684.4
220.322	696.2
220.699	694.6
221.076	698
221.453	700.4
221.83	680
222.208	689.6
222.585	686
222.962	689.8
223.34	697.4
223.717	689
224.095	693.8
224.473	691.4
224.851	681.4
225.229	681.4
225.607	707.4
225.985	674.8
226.363	683.4
226.741	685
227.119	690.8
227.497	709.8
227.876	674
228.254	695.2
228.633	684.8
229.011	696.2
229.39	691.8
229.769	679.4
230.148	700.2
230.527	713.6
230.905	695
231.284	690
231.664	675.8
232.043	694
232.422	692
232.801	677.2
233.181	704.6
233.56	683.8
233.94	693.6
234.319	671.2
234.699	682.4
235.079	732.6
235.458	742
235.838	706.6
236.218	680.8
236.598	674.6
236.978	690.6
237.358	677.6
237.738	685.6
238.119	699.4
238.499	677
238.88	688
239.26	709
239.641	670.6
240.021	681.4
240.402	680.2
240.783	676.8
241.163	688.6
241.544	694
241.925	686
242.306	703.8
242.687	669.8
243.069	697.4
243.45	697.6
243.831	682.2
244.212	686
244.594	729.2
244.975	693.2
245.357	683.4
245.739	679
246.12	689.6
246.502	716.2
246.884	686.8
247.266	687.6
247.648	695.4
248.03	714.2
248.412	692
248.794	693.8
249.176	690.8
249.559	700.2
249.941	685.6
250.323	684.6
250.706	684.4
251.089	691.4
251.471	693.6
251.854	692
252.237	684.2
252.62	708.6
253.002	694
253.385	687.4
253.769	706.2
254.152	687.2
254.535	695.8
254.918	684.4
255.301	691.8
255.685	692.4
256.068	680.2
256.452	721.4
256.835	700
257.219	695.4
257.603	710
257.986	681.4
258.37	703.2
258.754	682.4
259.138	700.8
259.522	712.2
259.906	686.2
260.29	701.4
260.675	699.8
261.059	695.2
261.443	671.8
261.828	700.2
262.212	693.2
262.597	673.6
262.981	693.6
263.366	703.4
263.751	691.8
264.136	681.8
264.521	684.8
264.906	683.6
265.291	696.4
265.676	683.8
266.061	701.4
266.446	710
266.831	697.6
267.217	717.8
267.602	695.2
267.987	684.8
268.373	683.4
268.759	706
269.144	701.6
269.53	692.2
269.916	687.2
270.302	681.6
270.688	702
271.074	698.8
271.46	700.8
271.846	733.8
272.232	693
272.618	691
273.004	686.8
273.391	697.6
273.777	713
274.164	687.6
274.55	706.8
274.937	693.4
275.324	682.4
275.71	699.6
276.097	699.8
276.484	678.2
276.871	696.6
277.258	697.6
277.645	688.4
