#lambda/nm	C1
208.295	540.2
208.67	491.2
209.045	452.6
209.419	453.4
209.794	679.6
210.169	666.2
210.544	814.6
210.919	690.6
211.295	683.2
211.67	700.2
212.045	694
212.421	683.2
212.796	734.4
213.172	683
213.547	680.6
213.923	681.2
214.299	680.4
214.675	695.4
215.051	683.6
215.427	697.4
215.803	705.4
216.179	682.6
216.555	679.2
216.932	688
217.308	689.4
217.684	686
218.061	695
218.438	695
218.814	681.4
219.191	686.8
219.568	677.2
219.945	682.4
220.322	690.4
220.699	689.2
221.076	698.8
221.453	695.2
221.83	675.2
222.208	677
222.585	683.8
222.962	680
223.34	694
223.717	684.8
224.095	682.4
224.473	694.2
224.851	669.8
225.229	678.4
225.607	703.6
225.985	673.8
226.363	688.4
226.741	687.6
227.119	684.8
227.497	705.6
227.876	681
228.254	698.6
228.633	693.4
229.011	686.2
229.39	701
229.769	682.4
230.148	695
230.527	717.8
230.905	687.8
231.284	692.2
231.664	687.6
232.043	697
232.422	698.6
232.801	685.4
233.181	697.2
233.56	685.8
233.94	691.8
234.319	667
234.699	686
235.079	734
235.458	734.2
235.838	716.2
236.218	678.2
236.598	673.4
236.978	678
237.358	678.6
237.738	678.8
238.119	700.6
238.499	678.8
238.88	691.4
239.26	716.8
239.641	677.2
240.021	676
240.402	687
240.783	678.4
241.163	686.8
241.544	692.6
241.925	692.8
242.306	711.4
242.687	688.2
243.069	690.8
243.45	703.2
243.831	681
244.212	682.8
244.594	736.6
244.975	701.2
245.357	694
245.739	684
246.12	699.8
246.502	708.8
246.884	697.4
247.266	689.8
247.648	690.8
248.03	715.8
248.412	697.6
248.794	699.6
249.176	691.4
249.559	695.6
249.941	680.8
250.323	684.2
250.706	679.4
251.089	691.4
251.471	692.8
251.854	685
252.237	688
252.62	700
253.002	690.2
253.385	677.8
253.769	706.8
254.152	691.2
254.535	699.4
254.918	677.2
255.301	680.6
255.685	686.6
256.068	673.8
256.452	722.2
256.835	702.8
257.219	696
257.603	702
257.986	684
258.37	698
258.754	685.2
259.138	693.6
259.522	707.6
259.906	691.8
260.29	691.8
260.675	685.8
261.059	684.6
261.443	677.6
261.828	700.2
262.212	696.4
262.597	665.6
262.981	687
263.366	698.6
263.751	693.4
264.136	686.8
264.521	681.8
264.906	681.6
265.291	699.2
265.676	676.2
266.061	697.6
266.446	703.6
266.831	689.4
267.217	719.6
267.602	695
267.987	693
268.373	685.2
268.759	700.6
269.144	696.6
269.53	696.6
269.916	686.8
270.302	685
270.688	690.8
271.074	691.4
271.46	702.6
271.846	732
272.232	692
272.618	692
273.004	691.8
273.391	703.2
273.777	700.6
274.164	687
274.55	706.8
274.937	698.4
275.324	689
275.71	703.6
