#lambda/nm	C1
208.295	529
208.67	485.2
209.045	444.8
209.419	441.2
209.794	686.8
210.169	660
210.544	804.8
210.919	699.8
211.295	678.2
211.67	692.6
212.045	687.4
212.421	678.6
212.796	733.4
213.172	682.4
213.547	680.4
213.923	687.6
214.299	683.8
214.675	699.4
215.051	691.4
215.427	695
215.803	704.6
216.179	694.2
216.555	687.6
216.932	697.4
217.308	697
217.684	687.8
218.061	695.4
218.438	697.8
218.814	683.2
219.191	691.2
219.568	680.2
219.945	684.6
220.322	700.8
220.699	699.4
221.076	700
221.453	701.4
221.83	687
222.208	685.2
222.585	683
222.962	694.2
223.34	695.8
223.717	696.4
224.095	694.2
224.473	696.8
224.851	684.8
225.229	688.6
225.607	704.2
225.985	673.8
226.363	700.4
226.741	697
227.119	691.2
227.497	703.2
227.876	667.2
228.254	693.8
228.633	691.2
229.011	690.4
229.39	692.2
229.769	690.4
230.148	696.4
230.527	714
230.905	684.4
231.284	688.8
231.664	683
232.043	698
232.422	697.2
232.801	687.8
233.181	693
233.56	688.8
233.94	693.8
234.319	676.6
234.699	691.2
235.079	738.2
235.458	733.8
235.838	712.2
236.218	689
236.598	670.8
236.978	694.2
237.358	682.6
237.738	680
238.119	700.2
238.499	683.8
238.88	689.6
239.26	707.8
239.641	671
240.021	681.8
240.402	691.2
240.783	683.2
241.163	685
241.544	689.8
241.925	686
242.306	707.6
242.687	689.2
243.069	691
243.45	701.8
243.831	689.2
244.212	692
244.594	731.4
244.975	692.8
245.357	691.6
245.739	682
246.12	681
246.502	703
246.884	684.6
247.266	687.2
247.648	695.4
248.03	718.2
248.412	694.8
248.794	693
249.176	692.8
249.559	694.4
249.941	687.4
250.323	670.4
250.706	685.4
251.089	697.6
251.471	701.8
251.854	697.2
252.237	691.8
252.62	698.4
253.002	693.6
253.385	688.8
253.769	706.4
254.152	686.2
254.535	701
254.918	672.6
255.301	683.4
255.685	685.2
256.068	682.2
256.452	712
256.835	699.2
257.219	705
257.603	705.6
257.986	675.6
258.37	701.2
258.754	672.6
259.138	698
259.522	705.4
259.906	683
260.29	700.6
260.675	685.6
261.059	700.6
261.443	685.6
261.828	695.8
262.212	696.6
262.597	675
262.981	691.8
263.366	695.6
263.751	686.6
264.136	687.2
264.521	695.2
264.906	688.6
265.291	705.4
265.676	690.4
266.061	699.2
266.446	707.8
266.831	693.8
267.217	717.4
267.602	698.6
267.987	700.2
268.373	692
268.759	698.2
269.144	707.8
269.53	689
269.916	684.2
270.302	685.8
270.688	701.2
271.074	687.4
271.46	719.8
271.846	736.4
272.232	693.6
272.618	687.2
273.004	694.2
273.391	715.6
273.777	712.8
274.164	699.2
274.55	714
274.937	705.4
275.324	692.8
275.71	701.6
276.097	700.8
276.484	682.8
276.871	701.2
