#lambda/nm	C1
208.295	558.6
208.67	504.4
209.045	467.6
209.419	463.6
209.794	692.8
210.169	675
210.544	802.4
210.919	694
211.295	675.6
211.67	694.2
212.045	681
212.421	682.2
212.796	716
213.172	682
213.547	685.2
213.923	686.4
214.299	684
214.675	692
215.051	691.6
215.427	695
215.803	711
216.179	689.8
216.555	680.8
216.932	690.8
217.308	684.8
217.684	690.6
218.061	689.6
218.438	683.6
218.814	683.4
219.191	693.2
219.568	683.6
219.945	685.6
220.322	684.8
220.699	691.8
221.076	699
221.453	685.4
221.83	682.8
222.208	683.2
222.585	680.2
222.962	695.2
223.34	694.4
223.717	689.8
224.095	688.6
224.473	694.4
224.851	681.4
225.229	682
225.607	705.4
225.985	667.2
226.363	679.2
226.741	682.4
227.119	682.2
227.497	698.4
227.876	665.6
228.254	692.8
228.633	688.6
229.011	686.4
229.39	691.8
229.769	690.4
230.148	689.4
230.527	705.6
230.905	683.4
231.284	685.4
231.664	679.6
232.043	704.6
232.422	694.2
232.801	681.4
233.181	685.2
233.56	686.2
233.94	689
234.319	679.2
234.699	687.2
235.079	729.8
235.458	732.6
235.838	714.6
236.218	683.6
236.598	675
236.978	678.2
237.358	673.4
237.738	684.6
238.119	694.4
238.499	680.8
238.88	686.2
239.26	705.8
239.641	675.4
240.021	687.6
240.402	688.6
240.783	684.6
241.163	682.4
241.544	698.8
241.925	686
242.306	705.6
242.687	683.2
243.069	690.4
243.45	695.2
243.831	678.6
244.212	684.6
244.594	728.6
244.975	695.8
245.357	687.8
245.739	675.4
246.12	692.2
246.502	707
246.884	681.2
247.266	684.8
247.648	681.4
248.03	714
248.412	686
248.794	700.8
249.176	687.8
249.559	706.8
249.941	685.4
250.323	673
250.706	688.2
251.089	686
251.471	689.2
251.854	682
252.237	678.2
252.62	698.2
253.002	687.8
253.385	686.6
253.769	691.6
254.152	678.8
254.535	697
254.918	679.4
255.301	683.2
255.685	683.6
256.068	680.8
256.452	710.8
256.835	699.2
257.219	694
257.603	695.4
257.986	678.6
258.37	693.4
258.754	671.6
259.138	695.2
259.522	700.6
259.906	686.6
260.29	687.6
260.675	687
261.059	684
261.443	678.8
261.828	687.8
262.212	694.4
262.597	670.4
262.981	675.6
263.366	686
263.751	681.4
264.136	674.8
264.521	685.6
264.906	677.4
265.291	686
265.676	682.8
266.061	694.2
266.446	705.4
266.831	689.2
267.217	706.8
267.602	679.8
267.987	676.8
268.373	677.2
