#lambda/nm	C1
208.295	549
208.67	502.6
209.045	458.2
209.419	457.2
209.794	687.4
210.169	683.4
210.544	824.6
210.919	701.6
211.295	686.4
211.67	686.8
212.045	693.8
212.421	680.6
212.796	733.8
213.172	681.4
213.547	675.2
213.923	684.8
214.299	689.6
214.675	697.4
215.051	703.4
215.427	696.6
215.803	713.4
216.179	698.2
216.555	678
216.932	692.4
217.308	687.6
217.684	682
218.061	696.8
218.438	700
218.814	678.4
219.191	694.8
219.568	686.6
219.945	689.6
220.322	690.4
220.699	697.6
221.076	702.2
221.453	696
221.83	692.8
222.208	682.2
222.585	694.2
222.962	698.8
223.34	694.8
223.717	687.8
224.095	690.6
224.473	691.8
224.851	686
225.229	689
225.607	707.2
225.985	682.2
226.363	701
226.741	688.8
227.119	697.6
227.497	703
227.876	675
228.254	697.6
228.633	690.6
229.011	687.8
229.39	693.4
229.769	695.2
230.148	691.2
230.527	711.4
230.905	697.6
231.284	694
231.664	687
232.043	704
232.422	697.8
232.801	684.2
233.181	702.4
233.56	687.8
233.94	700
234.319	675.4
234.699	694.4
235.079	738.8
235.458	735.2
235.838	713.4
236.218	682.8
236.598	670
236.978	680.8
237.358	681.8
237.738	688.8
238.119	695.2
238.499	680
238.88	690.4
239.26	704
239.641	685.8
240.021	687.6
240.402	689.2
240.783	681.8
241.163	682.4
241.544	695.2
241.925	693.6
242.306	707.8
242.687	690.6
243.069	688.6
243.45	697.8
243.831	686
244.212	687.8
244.594	729.4
244.975	706.4
245.357	695.6
245.739	688.6
246.12	697.4
246.502	709.6
246.884	686.8
247.266	688
247.648	700.8
248.03	710.6
248.412	694.8
248.794	702.6
249.176	684.4
249.559	706.2
249.941	681.2
250.323	688
250.706	680
251.089	693
251.471	697.8
251.854	688.8
252.237	686.4
252.62	689.4
253.002	690
253.385	683
253.769	707
254.152	689.4
254.535	698.2
254.918	684.2
255.301	690.8
255.685	686.8
256.068	681.2
256.452	717.4
256.835	700.2
257.219	700.4
257.603	708
257.986	682.2
258.37	700.6
258.754	679
259.138	693
259.522	704.8
259.906	689.4
260.29	693.4
260.675	686
261.059	688.6
261.443	667.2
261.828	695.4
262.212	696.2
262.597	670.6
262.981	683.4
263.366	695
263.751	693.2
264.136	677.4
264.521	688.4
264.906	673.4
265.291	701.8
265.676	683
266.061	697.8
266.446	715.2
266.831	691.2
267.217	715.2
267.602	686.4
267.987	693.6
268.373	693.2
268.759	708.6
269.144	694.2
269.53	697.8
269.916	685.6
270.302	686.4
270.688	696.6
271.074	695.4
271.46	708.8
271.846	729.6
272.232	687
272.618	680.6
273.004	686
273.391	705
273.777	706.8
274.164	694.6
274.55	706.4
274.937	698
275.324	690.6
275.71	701.4
276.097	707.8
276.484	691
276.871	696.6
277.258	697
277.645	683
278.032	692.6
278.419	688.6
278.807	693.6
279.194	685.6
279.581	685.6
279.969	693.2
280.356	697
280.744	699.4
281.131	720.4
281.519	699.8
281.907	690.8
282.295	694.4
282.682	696.4
283.07	689.6
283.458	705.6
283.846	708
284.235	694
284.623	703.6
285.011	687.2
285.399	692.8
285.788	691.6
286.176	682.4
286.565	696.4
286.953	685.8
287.342	699.2
287.731	680.8
288.119	680.2
288.508	677.4
288.897	696.2
289.286	675
289.675	688.8
290.064	703.6
290.453	695.8
290.821	689.6
291.21	707.2
291.599	682.2
291.989	691
292.378	696.6
292.768	719.2
293.157	695.2
293.547	698.6
293.936	689
294.326	691.8
294.716	693.4
295.106	684.2
295.496	702.4
295.886	708
296.276	687.4
296.666	685.4
297.056	683.4
297.446	677.6
297.836	707.6
298.227	698.4
298.617	696.8
299.008	707
299.398	688.4
299.789	685.4
300.179	701.8
300.57	709.2
300.961	688.8
301.352	680
301.742	698.6
302.133	692.6
302.524	692
302.915	693.8
303.307	690.8
303.698	700.6
304.089	706.8
304.48	688.6
304.872	709.8
305.263	704.6
305.655	686.8
306.046	711.8
306.438	695
306.829	694.2
307.221	704.6
307.613	702
308.005	701
308.397	702.8
308.789	723.6
309.181	720.2
309.573	720.2
309.965	708.4
310.357	699.2
310.749	701
311.142	684.6
311.534	692.2
311.926	697
312.319	701.2
312.711	687.8
313.104	704.6
313.497	697.6
313.889	744.4
314.282	720
314.675	731
315.068	701.2
315.461	701.4
315.854	737.6
316.247	702.4
316.64	694.2
317.033	697
317.405	713.4
317.798	694.6
318.192	708
318.585	692
318.979	698.4
319.372	697.8
319.766	688.6
320.16	708
320.553	718.8
320.947	714.2
321.341	693
321.735	695
322.129	679.4
322.523	718.6
322.917	682.6
323.311	706.8
323.705	700
324.099	698.6
324.494	720.8
324.888	710.4
325.282	692.8
325.677	717.8
326.071	703.2
326.466	703
326.861	699.8
327.255	709.4
327.65	714.8
328.045	716.6
328.44	691.4
328.835	691.4
329.23	692.2
329.625	720.6
330.02	691.4
330.415	723.2
330.81	703.8
331.206	689
331.601	690.6
331.996	696.2
332.37	718.4
332.766	676
333.161	724
333.557	687.4
333.953	692
334.348	1121
334.744	699.2
335.14	692.4
335.536	695.2
335.932	710
336.328	694.4
336.724	711.6
337.12	696.6
337.516	697.4
337.913	690.4
338.309	705.8
338.705	697.4
339.102	709.8
339.498	685.6
339.895	716.4
340.291	690.4
340.688	700.6
341.085	687.6
341.481	697.2
341.878	692
342.275	720
342.672	690.8
343.069	692.6
343.466	681.2
343.842	710.4
344.239	684.6
344.636	690
345.033	679.8
345.431	692
345.828	695.8
346.225	692
346.623	732
347.02	691.6
347.418	704.6
347.816	709.4
348.213	685.6
348.611	699
349.009	693.8
349.407	712.2
349.805	685.2
350.203	674.8
350.601	709.2
350.999	697.8
351.397	774.8
351.795	698.6
352.193	694.2
352.57	699.6
352.969	717
353.367	684.4
353.766	687.4
354.164	689
354.563	705.8
354.961	692
355.36	682.4
355.759	688.4
356.158	681
356.557	680.4
356.956	677.4
357.355	668.4
357.754	686.8
358.153	691.6
358.552	722.6
358.951	689.4
359.35	700.2
359.75	679.2
360.149	679
360.527	678
360.926	681.4
361.326	689.4
361.726	682.6
362.125	684.4
362.525	696.2
362.925	682.4
363.325	686.8
363.724	690
364.124	680.8
364.524	683
364.924	679.4
365.324	694
365.725	660.6
366.125	682.2
366.525	683.6
366.904	672.6
367.304	669
367.705	701.6
368.105	689.8
368.506	684.4
368.906	689.8
369.307	689.8
369.708	686.8
370.108	677.6
370.509	698.4
370.91	672.6
371.311	684
371.712	689
372.113	677.6
372.514	668.4
372.894	681.6
373.295	674.4
373.696	695.4
374.097	702.4
374.499	716.6
374.9	695
375.301	674.6
375.703	695.2
376.105	675.6
376.506	685.8
376.908	689.8
377.309	689.8
377.711	688.6
378.113	677
378.493	693.4
378.895	670
379.297	695.2
379.699	680.2
380.102	688.6
380.504	684
380.906	673.2
381.308	722
381.71	688.2
382.113	694.2
382.515	688
382.918	689.6
383.299	680.6
383.701	701.8
384.104	685.6
384.507	666.4
384.909	686.8
385.312	669.8
385.715	672.2
386.118	682.8
386.521	666.8
386.924	698.2
387.327	679.4
387.709	667.6
388.112	669.4
388.515	681.4
388.918	683.8
389.322	695.4
389.725	676.8
390.129	714.4
390.532	692
390.936	675.4
391.339	679.6
391.743	694
392.125	674.6
392.529	683.6
392.933	695.2
393.337	678.8
393.74	682.8
394.144	684.4
394.548	670.4
394.953	685.8
395.357	694.6
395.761	672.2
396.144	674.8
396.548	685.4
396.952	679.6
397.357	686.2
397.761	678.8
398.166	680.2
398.57	683.4
398.975	667.2
399.379	686.8
399.763	739.6
400.168	693.2
400.572	681.4
400.977	681.4
401.382	705.6
401.787	692.8
402.192	708.8
402.597	707
403.002	684.8
403.386	704.4
403.791	710.2
404.197	675
404.602	679.2
405.007	683
405.413	683.4
405.818	695.4
406.224	685.4
406.608	678.8
407.014	676.8
407.42	705.2
407.825	676.6
408.231	693.8
408.637	678.8
409.043	707.2
409.449	681.6
409.834	683.4
410.24	685.4
410.646	691.2
411.052	700.6
411.458	685.8
411.865	697.8
412.271	705.4
412.677	691.8
413.062	690.2
413.469	671.4
413.875	713.8
414.282	706
414.689	692.4
415.095	699.8
415.502	675.2
415.888	689
416.294	679.4
416.701	742.4
417.108	676.2
417.515	701
417.923	684.4
418.33	709.6
418.715	700.8
419.123	686.6
419.53	674
419.937	698.2
420.345	710.8
420.752	681.6
421.16	710.6
421.546	700.8
421.953	701
422.361	682.2
422.769	691.8
423.177	676.6
423.585	718.8
423.992	716
424.379	714
424.787	705.2
425.195	711.4
425.603	691.4
426.011	702.6
426.419	705.6
426.806	697.2
427.214	690.4
427.623	697.4
428.031	708.8
428.44	692.2
428.848	710.2
429.235	705.4
429.644	694.8
430.053	697.6
430.461	703.6
430.87	719.8
431.279	701.8
431.666	681.4
432.075	692.2
432.484	692
432.893	691.4
433.302	709.6
433.711	757.4
434.099	689.4
434.508	690.8
434.918	687.2
435.327	700.4
435.737	686.2
436.125	692.6
436.534	691.2
436.944	687.6
437.353	694.2
437.763	717.6
438.173	674.6
438.561	698
438.971	677.8
439.381	689.2
439.791	692
440.201	675
440.589	697.8
440.999	693.4
441.409	695.4
441.819	682.4
442.23	704
442.619	706.8
443.029	699.4
443.439	694.8
443.85	709
444.26	712.4
444.649	700.6
445.06	701.2
445.471	697
445.881	700.2
446.292	719
446.682	719.8
447.092	684.2
447.503	761.8
447.914	702.4
448.325	702
448.715	703.6
449.126	693.2
449.537	699.4
449.948	700.4
450.338	699.2
450.75	709.8
451.161	699.8
451.572	710.2
451.984	687.6
452.374	681
452.786	695.8
453.197	705.4
453.609	711
453.999	685.2
454.411	687.8
454.823	706
455.235	710
455.647	698.6
456.037	706.6
456.449	681.6
456.862	697.6
457.274	708.8
457.665	692.4
458.077	696.2
458.489	729.2
458.902	702.4
459.293	698.6
459.705	702.6
460.118	685.8
460.53	712.2
460.921	707
461.334	703.6
461.747	700.8
462.16	717.2
462.551	719.6
462.964	706.2
463.377	691.6
463.79	695.8
464.182	713
464.595	688.2
465.008	700.6
465.421	709.4
465.813	692.6
466.226	703.8
466.64	699.4
467.053	750.6
467.445	705.2
467.859	711.8
468.272	698.2
468.686	710
469.078	703.2
469.492	678.4
469.906	701
470.298	704
470.712	696
471.126	757
471.54	686.2
471.933	684
472.347	709.4
472.761	690.4
473.175	682.6
473.568	695.8
473.982	679
474.397	701
474.79	703.4
475.204	710
475.619	695
476.033	698.4
476.426	707.2
476.841	691.4
477.256	729.2
477.649	690.2
478.064	697.8
478.479	693.2
478.872	697.2
479.287	679.4
479.702	696.2
480.118	698.6
480.511	691.4
480.927	698.8
481.342	697.4
481.736	701.6
482.151	692
482.566	712.6
482.96	691.6
483.376	714
483.792	695.4
484.186	709.4
484.602	698.2
485.017	700.6
485.412	699
485.827	704.2
486.243	699
486.638	734
487.054	704.8
487.47	716.8
487.865	694.6
488.281	690.8
488.697	691.2
489.092	691.6
489.508	688.8
489.925	702.6
490.32	689.4
490.736	697.6
491.153	703.6
491.548	703
491.964	709.4
492.381	682.8
492.776	715.2
493.193	695
493.61	709.8
494.006	710
494.422	709
494.84	699.2
495.235	710.8
495.652	697.8
496.069	697.4
496.465	679.6
496.883	685.6
497.3	720.2
497.696	681
498.113	699.8
498.509	675.8
498.927	685.4
499.344	679.2
499.741	678.8
500.158	697
500.576	703.2
500.973	691.4
501.39	683.8
501.787	685.6
502.205	696.4
502.623	677.6
503.02	685
503.438	685
503.856	684
504.253	695.4
504.671	698
505.068	688.6
505.486	689.2
505.905	706.4
506.302	691.4
506.72	705.6
507.118	686
507.536	690
507.955	689.4
508.352	691.6
508.771	698
509.169	705.2
509.587	685.8
510.006	697.2
510.404	677.6
510.823	683
511.221	693.6
511.64	683.8
512.038	706.6
512.457	688
512.877	693.8
513.275	682
513.694	682.4
514.092	696
514.512	695.6
514.91	689.2
515.33	691.6
515.749	690.4
516.148	699.2
516.568	694.8
516.966	695.4
517.386	680.6
517.785	696.2
518.205	689.6
518.603	680.8
519.024	680.8
519.444	688.6
519.843	696.2
520.263	698
520.662	690.4
521.082	678.8
521.481	689.4
521.902	681.4
522.301	681.8
522.722	690.8
523.121	684
523.542	681.2
523.963	681.6
524.362	686.4
524.783	692.6
525.183	692.2
525.604	692.2
526.003	681.4
526.425	684.6
526.824	687.6
527.246	695.6
527.646	692.6
528.067	687.4
528.467	681
528.888	691.4
529.289	686.4
529.71	698.2
530.11	681.2
530.532	681.2
530.932	682
531.354	675.8
531.755	722.8
532.176	693.6
532.577	682.8
532.999	675.4
533.4	675.6
533.822	702.2
534.223	681.6
534.645	684.6
535.046	682.4
535.468	686.2
535.869	701.4
536.292	677.4
536.693	727.2
537.115	687.8
537.516	673.4
537.939	683.4
538.34	699
538.742	696.2
539.165	673.2
539.566	680.8
539.989	675.6
540.391	667
540.814	682
541.216	673.8
541.639	673.8
542.041	686.4
542.464	669.8
542.866	675.6
543.268	656.6
543.691	695.8
544.093	683
544.517	698
544.919	683
545.343	708.2
545.745	673.4
546.147	681.6
546.571	673.2
546.974	670.8
