#lambda/nm	C1
208.295	562
208.67	497
209.045	466
209.419	456
209.794	683
210.169	657.4
210.544	796.6
210.919	690.6
211.295	672.4
211.67	683.6
212.045	678.6
212.421	674.6
212.796	732.6
213.172	682.8
213.547	676
213.923	674.6
214.299	671
214.675	685.8
215.051	687.8
215.427	689.4
215.803	705.6
216.179	694
216.555	675.4
216.932	696.6
217.308	686.4
217.684	675.8
218.061	691.2
218.438	687.8
218.814	671.6
219.191	687.6
219.568	673.8
219.945	676.2
220.322	683.6
220.699	680.4
221.076	697.4
221.453	691.4
221.83	674.8
222.208	680.2
222.585	686.2
222.962	682.8
223.34	676.8
223.717	679
224.095	684
224.473	681
224.851	670.2
225.229	665
225.607	688.2
225.985	670.4
226.363	685.8
226.741	682.8
227.119	680
227.497	691.4
227.876	661.6
228.254	685.8
228.633	678.6
229.011	678.8
229.39	685.4
229.769	679.8
230.148	693.4
230.527	707.6
230.905	682.8
231.284	680.8
231.664	673
232.043	696.4
232.422	687.4
232.801	684.6
233.181	690.2
233.56	680
233.94	678.2
234.319	661.4
234.699	679.8
235.079	733.2
235.458	728.2
235.838	707
236.218	665.2
236.598	672.4
236.978	679.4
237.358	675.6
237.738	677.2
238.119	693.4
238.499	671.2
238.88	686.2
239.26	697.4
239.641	675.8
240.021	666.6
240.402	685.2
240.783	666.8
241.163	683
241.544	685
241.925	682
242.306	697.2
242.687	684.8
243.069	689
243.45	696.4
243.831	686.2
244.212	679.2
244.594	711.8
244.975	699.8
245.357	678.4
245.739	679.2
246.12	687
246.502	695
246.884	682.6
247.266	686.2
247.648	684.8
248.03	711.8
248.412	684
248.794	689
249.176	678.2
249.559	691
249.941	681.4
250.323	670.8
250.706	674.6
251.089	688.4
251.471	691.4
251.854	677.8
252.237	684.8
252.62	699.2
253.002	681
253.385	681.6
253.769	687.4
254.152	685.6
254.535	683.2
254.918	677.2
255.301	670.8
255.685	672.6
256.068	667.8
256.452	712
256.835	695.2
257.219	682.6
257.603	696.4
257.986	665.8
258.37	690.2
258.754	670.6
259.138	692.8
259.522	700.2
259.906	683.8
260.29	689.2
260.675	685.8
261.059	687.4
261.443	663.6
261.828	700.4
262.212	690.2
262.597	670.2
262.981	682.2
263.366	693.4
263.751	692.6
264.136	673.8
264.521	680.6
264.906	672.8
265.291	696.2
265.676	676.4
266.061	688.4
266.446	701.6
266.831	678.8
267.217	714
267.602	682.2
267.987	680.2
268.373	687.2
268.759	695.8
269.144	690.4
269.53	680.6
269.916	684
270.302	681
270.688	700.6
271.074	689
271.46	690.4
271.846	728.2
272.232	685
272.618	676.4
273.004	675
273.391	692.8
273.777	698
274.164	698
274.55	703.2
274.937	697
275.324	678.6
275.71	693.4
276.097	686.8
276.484	680.4
276.871	685.2
277.258	692.4
277.645	671.4
278.032	681.8
278.419	683
278.807	690.6
279.194	675.6
279.581	680
279.969	685.6
280.356	688.2
280.744	688.2
281.131	717.4
281.519	688.4
281.907	686
282.295	686
282.682	703.8
283.07	685.8
283.458	702.8
283.846	697.2
284.235	701.2
284.623	699
285.011	682
285.399	686
285.788	679.6
286.176	673
286.565	698.4
286.953	672.2
287.342	685.4
287.731	680.4
288.119	673.4
288.508	685.4
288.897	681.2
289.286	671.4
289.675	692.6
290.064	694.4
290.453	681.8
290.821	687.8
291.21	708.2
291.599	678.8
291.989	693.2
292.378	700.6
292.768	707.2
293.157	687.8
293.547	706.6
293.936	680
294.326	678
294.716	682.8
295.106	685.8
295.496	692.6
295.886	693.4
296.276	678.8
296.666	671.4
297.056	677.4
297.446	670.2
297.836	704
298.227	683.2
298.617	684.6
299.008	697.2
299.398	679.2
299.789	678.4
300.179	692.4
300.57	698
300.961	676.6
301.352	681.2
301.742	703.8
302.133	684.8
302.524	683
302.915	688.2
303.307	671.4
303.698	693.4
304.089	694
304.48	681.8
304.872	696.2
305.263	684.8
305.655	676.6
306.046	699
306.438	686.4
306.829	678.4
307.221	709.2
307.613	689.8
308.005	697.4
308.397	704
308.789	713.2
309.181	711.2
309.573	713.6
309.965	704.6
310.357	682.2
310.749	698.6
311.142	676.2
311.534	691.6
311.926	696.8
312.319	686.2
312.711	677.4
313.104	695.2
313.497	687.2
313.889	725.2
314.282	701.6
314.675	712.2
315.068	688
315.461	698.4
315.854	719
316.247	687.4
316.64	684.2
317.033	678.6
317.405	697.4
317.798	685.4
318.192	689.4
318.585	669.8
318.979	681.6
319.372	680.2
319.766	675.4
320.16	697.2
320.553	697.8
320.947	709.2
321.341	678
321.735	694
322.129	671.8
322.523	719.4
322.917	680.4
323.311	698.6
323.705	687.2
324.099	699
324.494	703.4
324.888	692
325.282	684
325.677	698
326.071	701.8
326.466	713.8
326.861	692.2
327.255	709.6
327.65	706.4
328.045	700.2
328.44	683.2
328.835	689.8
329.23	675.4
329.625	709.8
330.02	671.6
330.415	706.6
330.81	685
331.206	685.4
331.601	677
331.996	693.4
332.37	708.4
332.766	671.2
333.161	713.4
333.557	677.2
333.953	683
334.348	1053.8
334.744	687
335.14	677.2
335.536	673.4
335.932	702.2
336.328	684.4
336.724	696.2
337.12	684.8
