#lambda/nm	C1
208.295	547.6
208.67	496
209.045	463.8
209.419	459
209.794	701.6
210.169	674.2
210.544	810
210.919	698.2
211.295	684.4
211.67	695.4
212.045	698
212.421	694.6
212.796	724.4
213.172	688
213.547	676
213.923	690.6
214.299	676.2
214.675	695.4
215.051	693.2
215.427	696
215.803	711.6
216.179	705.4
216.555	684.8
216.932	701.6
217.308	687.4
217.684	692.4
218.061	694.6
218.438	697.2
218.814	690.6
219.191	697
219.568	678.2
219.945	685.8
220.322	695.6
220.699	700.2
221.076	699.8
221.453	700
221.83	683.6
222.208	695.4
222.585	693.6
222.962	691.6
223.34	688.2
223.717	691.2
224.095	683.8
224.473	689.2
224.851	684.2
225.229	675.8
225.607	704.8
225.985	672.6
226.363	690
226.741	681.2
227.119	684.2
227.497	708.4
227.876	672.8
228.254	702.4
228.633	691
229.011	689
229.39	696.2
229.769	699.4
230.148	698
230.527	709
230.905	694.6
231.284	689.6
231.664	683.2
232.043	711.8
232.422	698.6
232.801	691.2
233.181	697.8
233.56	687.6
233.94	699.8
234.319	677.4
234.699	688.6
235.079	737.6
235.458	737.4
235.838	710.8
236.218	684
236.598	680.2
236.978	682
237.358	683.4
237.738	678
238.119	698.8
238.499	672.2
238.88	693.4
239.26	709.2
239.641	683.6
240.021	688
240.402	700.4
240.783	683.2
241.163	683.4
241.544	691.2
241.925	687.2
242.306	699.4
242.687	683
243.069	681
243.45	695.2
243.831	685.8
244.212	686.8
244.594	734.4
244.975	702.6
245.357	690.2
245.739	686.2
246.12	684.6
246.502	701.6
246.884	697.8
247.266	695.6
247.648	699.6
248.03	714
248.412	691.4
248.794	690
249.176	682.6
249.559	700.4
249.941	689.6
250.323	682.2
250.706	686.6
251.089	693.6
251.471	694
251.854	689
252.237	687.8
252.62	698
253.002	686
253.385	688.4
253.769	701.4
254.152	686
254.535	697.8
254.918	676.4
255.301	688.2
255.685	690.8
256.068	687.4
256.452	719.6
256.835	704
257.219	701
257.603	704.8
257.986	675
258.37	696
258.754	679.2
259.138	688.6
259.522	701.6
259.906	692
260.29	689
260.675	687.2
261.059	699
261.443	681.6
261.828	705.6
262.212	698
262.597	676.4
262.981	691.2
263.366	693.2
263.751	690
264.136	686.8
264.521	683
264.906	674.8
265.291	708.4
265.676	686.2
266.061	697.2
266.446	708
266.831	698.6
267.217	707.2
267.602	700.6
267.987	694
268.373	681.4
268.759	703.4
269.144	697.8
269.53	681
269.916	682.8
270.302	686.4
270.688	699.2
271.074	692.8
271.46	706.4
271.846	728.4
272.232	684.2
272.618	674.4
273.004	693
273.391	701.8
273.777	705
274.164	695.2
274.55	708
274.937	688.4
275.324	685.8
275.71	702.6
276.097	703
276.484	684.6
276.871	687
277.258	700
277.645	685.2
278.032	690
278.419	685.8
278.807	692.4
279.194	681.6
279.581	681.2
279.969	688.6
280.356	695.2
280.744	696.2
281.131	717.8
281.519	706
281.907	691.6
282.295	692.4
282.682	707.6
283.07	693.6
283.458	701.2
283.846	699
